id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
274932186,Tập Chép Nhạc - Vanlangbooks,17820,18000,1,0,0,4,,VanLangBooks,Không có,,Bìa mềm,,,Văn Lang Official Store,available,1000,True,True,True
274949996,Sách Tập Chép Nhạc 3,17100,18000,5,0,0,3,,VanLangBooks,VanLangBooks,,Bìa mềm,,,Tiki Trading,available,1000,True,True,True
278067443,Vở Chép Nhạc 40 Trang (20.5*29.5)  (Huy Hoàng),18000,18000,0,0,0,0,Minh Nhật,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,40,,MinhThaoBooks,available,1000,True,True,True
274949995,Sách Tập Chép Nhạc 1,15000,18000,17,0,0,1,,VanLangBooks,VanLangBooks,,Bìa mềm,,,Tiki Trading,available,1000,True,True,True
248502053,Vở Chép Nhạc 40 Trang,17600,18000,2,5,1,5,Minh Nhật,Huy Hoàng Bookstore,NXB Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
273374156,Vở Chép Nhạc 40 Trang (20.5*29.5) (HH),17460,18000,3,5,1,5,Minh Nhật,Huy Hoàng Bookstore,NXB Dân Trí,,Bìa mềm,40,,Văn Lang Official Store,available,1000,True,True,True
213997304,Vở Chép Nhạc - 36 Trang,14800,15000,1,0,0,1,Minh Nhật,Huy Hoàng Bookstore,NXB Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
274950001,Sách Tập Chép Nhạc 2,17400,18000,3,0,0,1,,VanLangBooks,VanLangBooks,,Bìa mềm,,,Tiki Trading,available,1000,True,True,True
276054192,Tập Chép Nhạc - Xanh Dương - 32 Trang - Vanlangbooks,9900,10000,1,0,0,2,,VanLangBooks,VanLangBooks,,Bìa mềm,,,Văn Lang Official Store,available,1000,True,True,True
276054217,Tập Chép Nhạc - Hồng - 32 Trang - Vanlangboks,9900,10000,1,0,0,0,,VanLangBooks,VanLangBooks,,Bìa mềm,32,,Văn Lang Official Store,available,1000,True,True,True
273374149,Vở Chép Nhạc 36 Trang (19*27) (HH),15520,16000,3,0,0,5,Minh Nhật,Huy Hoàng Bookstore,NXB Dân Trí,,Bìa mềm,36,,Văn Lang Official Store,available,1000,True,True,True
274949986,Sách Tập Chép Nhạc 4,17360,18000,4,0,0,2,,VanLangBooks,VanLangBooks,,Bìa mềm,,,Tiki Trading,available,1000,True,True,True
7887193,Sách Tập Chép Nhạc (Màu Xanh Lá),14850,15000,1,0,0,0,,Văn Lang,,,Bìa mềm,36,2018-01-11,Văn Lang Official Store,available,1000,True,True,True
