id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278899345,60 bí quyết vẽ sơn dầu,232000,320000,28,0.0,0,28,Nguyễn Đình Đăng,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Dân Trí,,Bìa mềm,312,,Tiki Trading,available,1000,False,True,True
270834150,Sách Họa Sỹ Trịnh Hữu Ngọc,918000,1350000,32,3.7,3,34,Trịnh Lữ,Alphabooks,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,388,2023-07-01,Tiki Trading,available,1000,False,True,True
66863431,Sách Vincent Van Gogh,254100,299000,15,5.0,15,34,Gérard Denizeau,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa cứng,128,2020-09-15,Nhà sách Fahasa,available,1000,True,True,True
276269704,Đi Vẽ - Nhật Ký Hội Hoạ 2014 Của Trịnh Lữ - Omega Plus ,180000,180000,0,0.0,0,0,Trịnh Lữ,Alpha Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,180,2024-09-28,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
67120582,Sách Đây Là Rembrandt,112450,150000,25,4.7,56,317,Jorella Andrews,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Dân Trí,,Bìa cứng,80,,Tiki Trading,available,1000,False,True,True
276163461,Nghệ Thuật Không Chỉ Để Ngắm | Liệu Pháp Trị Liệu Nghệ Thuật | Susie Hodge | San Hô Books,156800,196000,20,5.0,3,46,Susie Hodge,Công ty Cổ phần Sách và Truyền thông San Hô,Nhà Xuất Bản Thanh Niên,,Bìa mềm,192,,San Ho Books,available,1000,True,True,True
277390294,(Bìa cứng - Song ngữ Việt - Anh) NGỌC LINH - HỘI HỌA CỦA MÙA XUÂN - Vi Huyền Linh – Nxb Mỹ Thuật,1800000,1800000,0,0.0,0,1,,Nhà Xuất Bản Mỹ Thuật,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,,,BÌNH BÁN BOOK,available,1000,True,True,True
95039294,Sách - Danh Họa Larousse - Paul Cézanne,239000,299000,20,5.0,2,15,,Alphabooks,Nhà Xuất Bản Dân Trí,,,128,,Alpha Books Official,available,1000,True,True,True
273990147,"SIGHTS OF A CITY SAIGON - CHOLON - Họa sĩ Phạm Công Tâm - (Sách Tranh & Ký Họa, Ấn Bản Tiếng Anh, bìa cứng)",170000,199000,15,0.0,0,3,Phạm Công Tâm,Phương Nam Book,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa cứng,100,2024-01-19,Tiki Trading,available,1000,False,True,True
67120545,Sách Đây Là Dalí,115000,150000,23,4.7,76,395,Catherine Ingram,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Dân Trí,,Bìa cứng,80,,Tiki Trading,available,1000,False,True,True
276284951,Combo 6 cuốn Đây Là,900000,900000,0,0.0,0,1,nhieu tac gia,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Dân Trí,,Bìa cứng,80,,Cá Chép Bookstore,available,1000,True,True,True
276390994,Đi Vẽ - Nhật Ký Hội Họa 2014 Của Trịnh Lữ,180000,180000,0,0.0,0,0,Trịnh Lữ - Phạm Long,Công ty TNHH Tazano,NXB Dân Trí,,Bìa mềm,180,2024-10-16,Bamboo Books,available,1000,True,True,True
248994455,Rembrandt - Cuộc Đời Và Tác Phẩm Qua 500 Hình Ảnh,599000,599000,0,0.0,0,0,,Alphabooks,oem,,,,,info book,available,1000,True,True,True
270114160,Họa Sỹ Trịnh Hữu Ngọc - Di Sản Đặc Biệt Của Mỹ Thuật Đông Dương (Trịnh Lữ),1350000,1350000,0,0.0,0,0,Trịnh Lữ,Alpha Books,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,388,2023-06-30,info book,available,1000,True,True,True
276365558,Đi Vẽ - Nhật Ký Hội Họa 2014 Của Trịnh Lữ,144000,180000,20,0.0,0,0,Trịnh Lữ - Phạm Long,OMEGA PLUS+,Nhà Xuất Bản Dân Trí,,Bìa mềm,180,2024-10-10,Alpha Books Official,available,1000,True,True,True
270114623,Họa Sỹ Trịnh Hữu Ngọc - Di Sản Đặc Biệt Của Mỹ Thuật Đông Dương (Trịnh Lữ) ,1350000,1350000,0,0.0,0,0,Trịnh Lữ,Alphabooks,Nhà Xuất Bản Mỹ Thuật,,,,2023-06-30,info book,available,1000,True,True,True
276318042,Đi Vẽ - Nhật Ký Hội Hoạ 2014 Của Trịnh Lữ - Omega Plus ,144000,180000,20,4.0,1,22,Trịnh Lữ,Omega Plus,Nhà Xuất Bản Dân Trí,,Bìa mềm,180,2024-10-05,Alpha Books Official,available,1000,True,True,True
73376443,Combo Sách Về Những Danh Họa Vĩ Đại : Vincent Van Gogh + Claude Monet,598000,598000,0,0.0,0,0,Gérard Denizeau,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa cứng,,2020-09-15,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
264052089,(Chữ ký tác giả Trịnh Lữ) HỌA SỸ TRỊNH HỮU NGỌC - Di sản đặc biệt của Mỹ thuật Đông Dương - Trịnh Lữ - Omega plus - NXB Mỹ Thuật,1080000,1350000,20,0.0,0,1,,Công ty Cổ phần Sách Omega Việt Nam,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,,,Alpha Books Official,available,1000,True,True,True
97012348,Sách Van Gogh - Tiểu Sử Và Cuộc Đời,789000,789000,0,0.0,0,0,"Steven Naifeh, Gregory White Smith,",Alpha Books,NXB Dân Trí,,Bìa cứng,1296,2021-05-12,info book,available,1000,True,True,True
186635059,[Bìa cứng áo ôm] PICASSO VÀ BỨC TRANH KHIẾN THẾ GIỚI SỬNG SỐT - Miles J. Unger – OmegaPlus,319000,399000,20,0.0,0,9,Miles J. Unger,Omega Plus,Nhà Xuất Bản Dân Trí,,Bìa cứng,600,,Alpha Books Official,available,1000,True,True,True
196825637,Bộ 2 Cuốn Sách Về Những Danh Họa Nổi Tiếng Nhất: Vincent Van Gogh + Hokusai,598000,598000,0,0.0,0,0,"Johann Protais, Eloi Rousseau, Gérard Denizeau",Alphabooks,Nhiều Nhà Xuất Bản,,Bìa cứng,,,info book,available,1000,True,True,True
273984100,Họa sĩ Linh Chi sống trong nghệ thuật,1100000,1100000,0,0.0,0,3,Linh Chi,Liên Việt,Nhà Xuất Bản Hội Nhà Văn,,Bìa cứng,288,2024-01-19,Liên Việt Official Store,available,1000,True,True,True
273419996,Trạm Đọc|Picasso Và Bức Tranh Khiến Thế Giới Sửng Sốt,399000,399000,0,0.0,0,0,Miles J Unger,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa cứng,,2023-11-01,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
209722627,Sách Rembrandt: Cuộc Đời Và Tác Phẩm Qua 500 Hình Ảnh - Alphabooks - BẢN QUYỀN,599000,599000,0,0.0,0,0,,Alphabooks,Nhà Xuất Bản Thế Giới,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
95039255,Sách - Machiavelli - Omega plus,249000,249000,0,0.0,0,1,,Không có,Không có,,,552,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
