id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
195662913,Sách Sơn Hải Kinh,380000,380000,0,0.0,0,1,"Lương Siêu, Sam Trạch",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa cứng,432,2022-08-01,Bamboo Books,available,1000,True,True,True
200779122,Sách Bí Quyết Hội Họa - Luyện Vẽ Hình Khối,56000,88000,36,4.7,58,522,"Từ Hảo, Bạch Tuyết Tùng",VanLangBooks,,,Bìa mềm,64,2022-10-10,Tiki Trading,available,1000,False,True,True
277842134,Sách Lịch Sử Mỹ Thuật Trung Hoa - Truyền Thống Thẩm Mỹ Và Di Sản Nghệ Thuật Qua 5000 Năm - Dương Kỳ - Omega Plus,439200,568000,23,4.8,16,180,,Omega Plus,Nhà Xuất Bản Dân Trí,,Bìa cứng,436,2025-04-24,Tiki Trading,available,1000,False,True,True
276032067,Sách Câu chuyện nghệ thuật,523600,680000,23,5.0,11,62,DK,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,406,,Tiki Trading,available,1000,False,True,True
279218771,"(Bìa vải, In màu) SUY TƯ KIẾN TRÚC – Peter Zumthor – NXB Xây Dựng",385000,385000,0,5.0,1,8,Peter Zumthor,NXB Xây Dựng,Nhà Xuất Bản Xây Dựng,,Bìa vải,110,,BÌNH BÁN BOOK,available,1000,True,True,True
188665471,Content Và Nghệ Thuật Story Telling,299000,299000,0,0.0,0,0,,Alpha Books,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
74488127,Kỹ Thuật Kiến Trúc Cảnh Quan (Sách Màu),327000,350000,7,5.0,166,837,"Robert Holden, Jamie Liversedge",Phương Nam Book,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,242,2020-12-12,Tiki Trading,available,1000,False,True,True
200779106,Sách Bí Quyết Hội Họa - Ký Họa Chân Dung,56000,70000,20,4.5,34,320,"Từ Hảo, Tạ Tiên Lâm",VanLangBooks,,,Bìa mềm,48,2022-10-10,Tiki Trading,available,1000,True,True,True
174605338,Sách Bách Khoa Thư Về Nghệ Thuật,399000,499000,20,0.0,0,11,DK,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa cứng,208,2022-04-01,Alpha Books Official,available,1000,True,True,True
276148715,Sách Bách Khoa Toàn Thư Thực Hành Hội Họa - Tái Bản,201000,258000,22,4.5,2,40,Jean Arestein,VanLangBooks,,,Bìa mềm,316,,Tiki Trading,available,1000,False,True,True
