id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278489408,Sách Qua Lăng Kính Của Một Chú Mèo (Tô Màu Mùa Hè Rực Rỡ),60000,75000,20,0.0,0,10,Chaiyapat Tongkambunjong,Mintbooks,Nhà Xuất Bản Văn Học,,Bìa mềm,58,2025-08-13,Tiki Trading,available,1000,False,True,True
185067342,Sách Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản),67760,88000,23,5.0,418,4464,Kulzsc,Skybooks,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,96,2022-02-01,Tiki Trading,available,1000,False,True,True
275025272,Sách 999 Lá Thư Gửi Cho Chính Mình – Phiên Bản Tô Chữ Tiếng Trung,53130,69000,23,4.8,11,122,Miêu Công Tử,VanVietBooks,Nhà Xuất Bản Thanh Niên,,Bìa mềm,104,2024-01-24,Tiki Trading,available,1000,False,True,True
263049497,Sách Những Nỗi Buồn Cũng Cần Được Yêu Thương - Tô Bình Yên Vẽ Hạnh Phúc 2,106260,138000,23,4.8,72,910,Kulzsc,Skybooks,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,136,2023-07-07,Tiki Trading,available,1000,False,True,True
207841177,Sách Ở Tiệm Bánh Ngày Mai,101000,115000,12,5.0,104,1198,Múc,Skybooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,104,2022-01-01,Tiki Trading,available,1000,False,True,True
274946271,Sách Góc Nhỏ Có Nắng,55000,68000,19,5.0,9,216,Little Rainbow,Megabook,Nhà Xuất Bản Thanh Niên,,Bìa mềm,,2024-04-04,Tiki Trading,available,1000,False,True,True
48291558,Trăm Hoa Đua Nở (Tô Màu Dành Cho Người Lớn),56000,80000,30,4.8,122,1026,.,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,Nhà Xuất Bản Hồng Đức,,Bìa mềm,64,2020-02-06,VIETNAMBOOK,available,1000,True,True,True
271966494,Sách 999 Lá Thư Gửi Cho Chính Mình – Tô Màu Cuộc Sống,76230,99000,23,5.0,16,261,Miêu Công Tử,VanVietBooks,Nhà Xuất Bản Thanh Niên,,Bìa mềm,104,2023-09-20,Tiki Trading,available,1000,False,True,True
278694968,Sách Thích một mình nhưng chẳng thể quá lâu,91630,119000,23,0.0,0,48,Kulzsc,Nhà xuất bản Phụ Nữ,Nhà Xuất Bản Phụ Nữ,,,,,Tiki Trading,available,1000,False,True,True
277923424,Sách Qua Lăng Kính Của Một Chú Mèo (Phiên bản tô màu),83930,109000,23,0.0,0,25,Chaiyapat Tongkambunjong,Mintbooks,Nhà Xuất Bản Văn Học,,Bìa mềm,88,2025-03-12,Tiki Trading,available,1000,False,True,True
262744708,Nature - Adults Colouring Book (Sách tô màu dành cho người lớn: Thiên Nhiên),75000,75000,0,4.8,4,88,,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,Dreamland Publications,,Bìa mềm,32,2023-06-05,VIETNAMBOOK,available,1000,True,True,True
277008638,Sách Cùng cậu ngắm sao trời,53000,68000,22,0.0,0,16,Little Rainbow,Megabook,Nhà Xuất Bản Thanh Niên,,Bìa mềm,,2025-01-15,Tiki Trading,available,1000,False,True,True
90337931,Sách Tô Màu Người Lớn - THẾ GIỚI ĐẠI DƯƠNG: Tô Màu Cho Cuộc Sống Bình Yên Và Thư Giãn (Adult Colouring Book - Ocean: Colouring For Peace And Relaxation),56250,75000,25,5.0,46,214,,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,Dreamland Publications,,Bìa mềm,32,2021-04-09,VIETNAMBOOK,available,1000,True,True,True
277312618,Sách Cho Tôi Ươm Một Chút Nắng Vàng,87000,99000,12,5.0,1,10,Thu,BERRY BOOKS,Nhà Xuất Bản Dân Trí,,Bìa mềm,72,2025-05-01,Tiki Trading,available,1000,False,True,True
276286312,Sách Ở Nhà Ga Ký Ức Bắt Một Chuyến Tàu Trở Về Tuổi Thơ (Sổ Tô Màu),63200,79000,20,0.0,0,7,"2h Uống Trà Sữa, Nhi Vũ",Shinebooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,64,,Tiki Trading,available,1000,False,True,True
