id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278938997,An Toàn Điện Hạt Nhân ,415000,415000,0,0.0,0,0,Phạm Duy Hiển,NXB Thông Tin Và truyền Thông,Nhà Xuất Bản Thông Tin Và Truyền Thông,,Bìa mềm,456,2025-12-05,VIETNAMBOOK,available,1000,True,True,True
278730355,LẬP TRÌNH ĐIỀU KHIỂN ROBOT VỚI ARDUINO ,200000,200000,0,0.0,0,1,Đông Hải,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,416,,NHBook,available,1000,True,True,True
276591279,Bảo Vệ Rơ Le Và Điều Khiển Hệ Thống Điện - Lê Tiên Phong (Chủ biên),580000,580000,0,5.0,3,8,,Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa cứng,580,2024-11-15,VIETNAMBOOK,available,1000,True,True,True
275592646,Thiết Kế Cung Cấp Điện - Trần Quang Khánh,298000,298000,0,5.0,1,6,Trần Quang Khánh,Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,232,2024-07-12,VIETNAMBOOK,available,1000,True,True,True
275306986,Hướng Dẫn Thiết Kế Hệ Thống Điều Hòa Không Khí (In lần thứ sáu có bổ sung và sửa chữa) - Nguyễn Đức Lợi (Tái bản 2024),206000,206000,0,5.0,1,11,Nguyễn Đưc Lợi,Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,424,2024-06-18,VIETNAMBOOK,available,1000,True,True,True
271370008,Thực Hành Dây Quấn Động Cơ Điện,85000,85000,0,0.0,0,6,,Trí Dân,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,192,2023-08-16,Hiệu Sách Văn Hiến,available,1000,True,True,True
270791453,Bài tập cơ sở kỹ thuật mạch điện & điện tử tập 1: Mạch điện cơ bản,39000,39000,0,0.0,0,11,,Công Ty Cổ Phần Sách Đại Học - Dạy Nghề,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Cửa hàng Sách HEVOBOOKS,available,1000,True,True,True
270444974,Trang bị điện - máy gia công kim loại,40740,40740,0,0.0,0,2,,Công Ty Cổ Phần Sách Đại Học - Dạy Nghề,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Cửa hàng Sách HEVOBOOKS,available,1000,True,True,True
270131410,Sổ tay cơ điện tử,230000,230000,0,5.0,1,6,,Công Ty Cổ Phần Sách Đại Học - Dạy Nghề,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Cửa hàng Sách HEVOBOOKS,available,1000,True,True,True
259459483,"Truyền Động Điện (Dùng Cho Kỹ Sư, Sinh Viên Ngành Kỹ Thuật Điện, Kỹ Thuật Điều Khiển Và Tự Động Hóa)",216000,216000,0,5.0,3,16,,Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,380,2022-12-30,VIETNAMBOOK,available,1000,True,True,True
225386427,Điều Khiển Và Giám Sát Với PLC OM'RON Và WINCC,98000,98000,0,0.0,0,1,nhieu tac gia,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,366,2016-02-26,Hiệu Sách Văn Hiến,available,1000,True,True,True
225386188,Tự Động Hóa Với Cơ Điện Tử,185000,185000,0,0.0,0,1,Hà Quang Phúc,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,484,2021-04-30,Hiệu Sách Văn Hiến,available,1000,True,True,True
220795066,"Mô Hình Hóa, Mô Phỏng Và Điều Khiển Các Hệ Truyền Động Điện Thông Dụng",158000,158000,0,0.0,0,8,nhieu tac gia,NXB Bách Khoa Hà Nội,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,242,2023-02-14,VIETNAMBOOK,available,1000,True,True,True
218013677,Sổ Tay Chuyên Ngành Điện,65000,65000,0,0.0,0,6,Tăng Văn Mùi - Trần Duy Nam,Trí Dân,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,224,2022-02-28,Hiệu Sách Văn Hiến,available,1000,True,True,True
217991409,Tuyển Chọn 50 Mạch Điện Thông Minh Chuyên Về Hiện Tượng Tự Nhiên Lý Thú,80000,80000,0,5.0,1,4,Trần Thế San - Nguyễn Anh Dũng,Trí Dân,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,240,2010-02-28,Hiệu Sách Văn Hiến,available,1000,True,True,True
