id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279181737, PROMPT ĐIỀU KHIỂN AL,268000,268000,0,5.0,2,3,ĐƯỜNG CEOVIC,Công Ty TNHH TM - DV Chính Thông,NXB Dân Trí,,Bìa mềm tay gấp,214,2026-02-14,Chính Thông,available,1000,True,True,True
279131499,Sách - Kiến Trúc Sư Thần Tượng,465000,500000,7,0.0,0,1,nhieu tac gia,Cty Sách Á Châu,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279116215,Sách Năng lượng hạt nhân – vì sao? - Tác giả Bertrand Barré,165000,165000,0,0.0,0,0,Bertrand Barré,Công ty CP Xuất bản Khoa học và Giáo dục Thời Đại (TIMES BOOKS),Nhà xuất bản Khoa học - Công nghệ - Truyền thông,,Bìa mềm,220,2026-01-21,Taurus 1987 Books,available,1000,True,True,True
279106124,Sách Thuyền buồm Đông Dương,102000,150000,32,0.0,0,27,J.B. Piétri,NXB Trẻ,NXB Trẻ,,Bìa mềm,212,2026-01-27,Tiki Trading,available,1000,False,True,True
278279802,Bảo trì công nghiệp,200000,200000,0,4.0,1,6,"Bùi Minh Hiển, Đinh Đức Hạnh, Tào Quang Bảng, Nguyễn Phạm Thế Nhân",Trung Tâm Phát Hành Sách Và Văn Hóa Phẩm Khoa Học Và Kỹ Thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,208,2025-07-09,VIETNAMBOOK,available,1000,True,True,True
278070588,DeepSeek - Hướng Dẫn Sử Dụng Toàn Diện: Ứng Dụng Thực Tiễn Trong Mọi Lĩnh Vực Nghề Nghiệp ,286000,286000,0,0.0,0,4,nhieu tac gia,Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,416,2025-06-05,VIETNAMBOOK,available,1000,True,True,True
278070583,Lập Trình PLC Theo Thuật Toán ,188000,188000,0,0.0,0,8,nhieu tac gia,Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,368,2024-12-26,VIETNAMBOOK,available,1000,True,True,True
277740492,Cẩm Nang Phối Màu Phiên bản Pantone,450000,450000,0,5.0,4,97,Leatrice Eiseman,Công ty TNHH Sách Á Châu,Nhà Xuất Bản Thế Giới,,,,,Artbook,available,1000,True,True,True
277730059,Sách kiến trúc - Mười cuốn sách về kiến trúc (cuốn),155000,155000,0,0.0,0,7,Vitruvius,NXB Xây Dựng,Nhà Xuất Bản Xây Dựng,,Bìa cứng,281,2023-04-06,B9 books,available,1000,True,True,True
277728917,Sách kiến trúc - Lý Thuyết Thiết Kế Kiến Trúc Nhà Ở (cuốn),219000,219000,0,0.0,0,5,PGS. TS. KTS Phạm Trọng Thuật,NXB Xây Dựng,Nhà Xuất Bản Xây Dựng,,Bìa cứng,212,2024-03-09,B9 books,available,1000,True,True,True
