id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278860973,HÀNH TRÌNH VOLVO – Gần Một Thế Kỷ Đặt Con Người Làm Trung Tâm - Dong Anh Pham – Trạm Đọc,188000,188000,0,0.0,0,1,nhieu tac gia,Alpha Books,Nhà Xuất Bản Công Thương,,Bìa mềm,248,,BÌNH BÁN BOOK,available,1000,True,True,True
278730291,"Điện Tử Ô Tô - Sửa Chữa, Bảo Trì Ô Tô Với Quét Lỗi Và Bộ Đọc Mã Chuyên Nghiệp",100000,200000,50,0.0,0,0,KS Phạm Quang Huy,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,416,,NHBook,available,1000,True,True,True
278321320,Kỹ Thuật Sửa Chữa Ô Tô Nâng Cao  (HH),262240,298000,12,0.0,0,0,Đức Huy,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,480,,Văn Lang Official Store,available,1000,True,True,True
278146981,Sách - Kỹ Thuật Ô Tô Và Xe Máy Hiện Đại - Bài Tập Có Lời Giải,294000,350000,16,0.0,0,1,nhieu tac gia,PHANBOOK,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278011856,"Chẩn đoán, sửa chữa, bảo trì hệ thống điều khiển bằng máy tính trên ô tô- lý thuyết và thực hành - STK",102000,204000,50,0.0,0,1,,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,,,NHBook,available,1000,True,True,True
277504932,Kỹ Thuật Ô Tô Và Xe Máy Hiện Đại - Bài Tập Có Lời Giải (Tủ Sách Nhất Nghệ Tinh) - Bản in năm 2025,350000,350000,0,0.0,0,1,nhieu tac gia,VIETNAMBOOK,Nhà Xuất Bản Thế Giới,,Bìa mềm tay gấp,200,2025-03-14,VIETNAMBOOK,available,1000,True,True,True
277489880,Tủ Sách Nhất Nghệ Tinh - Kỹ Thuật Ô Tô Và Xe Máy Hiện Đại,350000,350000,0,0.0,0,0,,PHANBOOK,Nhà Xuất Bản Thế Giới,,Bìa mềm,200,2025-03-12,Nhà sách NetaBooks,available,1000,True,True,True
277483754,Kỹ Thuật Ô Tô Và Xe Máy Hiện Đại (Bài Tập Có Lời Giải Phần 1-4 _ Sách Màu),350000,350000,0,5.0,1,5,nhieu tac gia,PHANBOOK,Nhà Xuất Bản Thế Giới,,Bìa mềm,200,,PHAN LỆ & FRIENDS,available,1000,True,True,True
277457115,Kỹ Thuật Sửa Chữa Ô Tô Nâng Cao (Tái Bản 2024),298000,298000,0,0.0,0,0,Đức Huy,Gieobooks,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,480,2025-03-05,Tazano Official Store,available,1000,True,True,True
276348542,"Hệ Thống Điện - Điện Tử Trên Ô Tô Đời Mới (Phần Nâng Cao) - Trần Qúy Hữu, Vy Thị Thanh Hường, Phạm Quang Huy ",89000,178000,50,5.0,1,3,nhieu tac gia,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,400,2024-10-09,NHBook,available,1000,True,True,True
275706112,Điện Tử Ô Tô (Phần Cơ Bản) - Giáo Trình Điện Tử Ô Tô  - PGS. TS. Nguyễn Vũ Quỳnh ,175000,175000,0,0.0,0,4,,VIETNAMBOOK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,384,2024-07-22,VIETNAMBOOK,available,1000,True,True,True
275587717,Sách Kỹ thuật sửa chữa ô tô nâng cao,217000,298000,27,0.0,0,9,Đức Huy,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Bách Khoa,,Bìa mềm,480,,Tiki Trading,available,1000,False,True,True
275245076,Sách Kỹ thuật sửa chữa xe máy cơ bản,121000,168000,28,5.0,1,9,Trí Cường,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Bách Khoa,,Bìa mềm,276,2024-06-12,Tiki Trading,available,1000,False,True,True
274889709,"Chẩn Đoán, Sửa Chữa Các Mạch Điện, Điện Tử Trên Ô Tô",216000,216000,0,0.0,0,1,,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,480,2024-04-26,NHBook,available,1000,True,True,True
274831831,BIÊN NIÊN SỬ XE ĐẠP - Robert Penn - Hyo dịch - Huy Hoàng - Nhà xuất bản Thanh Niên,145000,145000,0,0.0,0,0,Robert Penn,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Thanh Niên,,Bìa mềm,344,,Bamboo Books,available,1000,True,True,True
274784555,"Chẩn Đoán, Sửa Chữa Các Mạch Điện, Điện Tử Trên Ô Tô - STK",216000,216000,0,5.0,1,1,Phạm Quang Huy,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,479,,NHBook,available,1000,True,True,True
273586959,Sách Học Nghề Phát Triển Kỹ Năng - Kỹ Thuật Sửa Chữa Ô Tô Cơ Bản (Tái Bản 2023),121500,121500,0,0.0,0,1,,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,,,AHABOOKS,available,1000,True,True,True
273380468,Kỹ Thuật Bảo Dưỡng Và Sửa Chữa Ô Tô Hiện Đại - Bảo Dưỡng Ô Tô ,99000,99000,0,0.0,0,1,"Vỹ Gia Tráng, Kha Túc Vỹ, Hứa Bình",Đông Tây,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,147,2023-10-18,Bamboo Books,available,1000,True,True,True
273129288,Kỹ Thuật Sửa Chữa Ô Tô Cơ Bản (Tái Bản 2023),124200,135000,8,0.0,0,10,Đức Huy,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,,,,Nhà sách Fahasa,available,1000,True,True,True
272421941, KỸ THUẬT SỮA CHỮA XE MÁY NÂNG CAO,135000,135000,0,0.0,0,0,,Huy Hoàng Bookstore,Nhà Xuất Bản Thanh Niên,,,,,AHABOOKS,available,1000,True,True,True
263208692,Tủ Sách Nhất Nghệ Tinh - Chuyên Ngành Kỹ Thuật Ô Tô Và Xe Máy Hiện Đại (Tái Bản 2020),931000,950000,2,0.0,0,5,Nhiều tác giả,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
250335998,Sách Kỹ Thuật : Hệ Thống Điện - Điện Tử Trên Ô Tô ( Lý Thuyết- Thực Hành )- Bìa  Mềm - STK- Tặng Kèm Sổ Tay Xương Rồng ,96000,192000,50,5.0,2,12,"KS. Phạm Quang Huy, Vũ Văn Hiếu",Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,432,,NHBook,available,1000,True,True,True
247930794,Kỹ Thuật Sữa Chữa Xe Máy Nâng Cao (Tái Bản 2020),124200,135000,8,0.0,0,0,Hùng Lê,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,,,,Nhà sách Fahasa,available,1000,True,True,True
225386271,Sửa Chữa Hệ Thống Điện - Điện Tử Trên Ô Tô (Phần Cơ Bản),91000,182000,50,0.0,0,0,nhieu tac gia,Công Ty TNHH Thương Mại STK,Nhà Xuất Bản Thanh Niên,,Bìa mềm,423,2022-04-29,NHBook,available,1000,True,True,True
