id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
210277880,Sách Con người và Biểu tượng - Man and his symbols,346500,450000,23,4.8,229,2686,Carl Gustav Jung,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa cứng,522,2022-12-01,Tiki Trading,available,1000,False,True,True
279189418,Sách Cảo thơm. Đại Nam kỳ nhân liệt truyện (bìa cứng),159000,205000,22,5.0,5,33,"Lê Quý Đôn, Vũ Nguyên Hanh",NXB Trẻ,NXB Trẻ,,Bìa cứng,180,2026-02-10,Tiki Trading,available,1000,False,True,True
276107155,Sách Lịch sử Việt Nam bằng hình - Gần 2000 minh họa tranh ảnh và bản đồ,752000,900000,16,4.8,50,411,Đông A,Đông A,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa cứng,660,,Tiki Trading,available,1000,False,True,True
277923330,Sách Các triều đại Việt Nam,97000,138000,30,4.8,5,89,"Quỳnh Cư, Đỗ Đức Hùng",Huy Hoàng Bookstore,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,420,2025-05-05,Tiki Trading,available,1000,False,True,True
276931151,Sách Lịch Sử Cơ Độc Giáo,195600,268000,27,3.5,2,53,Trịnh Vĩnh Thường,Alphabooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm tay gấp,468,,Tiki Trading,available,1000,False,True,True
275015938,Bộ Sách Chuyện Hay Sử Việt,54100,60000,10,5.0,1,23,"Nguyễn Như Mai, Nguyễn Quốc Tín, Nguyễn Huy Thắng",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,116,2024-05-05,Tiki Trading,available,1000,False,True,True
279259031,"Sách Hiệp Định Paris - Thắng Lợi Của Ý Chí Độc Lập, Tự Chủ Và Chính Nghĩa Việt Nam - Nguyễn Thị Bình",147900,199000,26,0.0,0,6,Nguyễn Thị Bình,Omega Plus,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm tay gấp,239,2026-03-22,Tiki Trading,available,1000,False,True,True
279189416,Sách Cảo thơm. Đại Việt thông sử (Bìa cứng),332000,430000,23,4.3,6,52,Lê Quý Đôn,NXB Trẻ,NXB Trẻ,,Bìa cứng,744,2026-02-10,Tiki Trading,available,1000,False,True,True
253366281,Sách Người Việt Gọi Tôi Là Cha Đắc Lộ - Hành Trình Sáng Tạo Chữ Quốc Ngữ,83000,105000,21,5.0,11,248,"Tạ Huy Long, Phạm Thị Kiều Ly",Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,128,2023-04-30,Tiki Trading,available,1000,False,True,True
278809645,Rồng đen voi đỏ,125000,160000,22,5.0,1,9,Võ Phúc Toàn,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,280,2025-10-26,Tiki Trading,available,1000,False,True,True
279257712,[Tủ sách Thanh Niên] DẤU CHÂN NGƯỜI LÍNH – Nguyễn Minh Châu – NXB Kim Đồng,165000,165000,0,0.0,0,1,Nguyễn Minh Châu,Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,380,,BÌNH BÁN BOOK,available,1000,True,True,True
275611539,Sách Những mảnh ký ức 1979-1989 - Chuyện kể từ biên giới phía Bắc,251000,335000,25,5.0,7,135,"Hà Hương, Đào Thanh Huyền, Phạm Hoài Thanh",NXB Trẻ,NXB Trẻ,,Bìa mềm,290,2024-07-16,Tiki Trading,available,1000,False,True,True
274728364,Sách Đại Việt Sử Ký Toàn Thư,176000,275000,36,4.8,118,626,"Đào Duy Anh, Cao Huy Giu",Nhà sách Minh Thắng,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1284,2022-03-03,Tiki Trading,available,1000,False,True,True
272353239,Sách Tang lễ của người An Nam – Nghiên cứu dân tộc học về tín ngưỡng cổ truyền,273350,355000,23,5.0,18,235,Gustave Dumoutier,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa cứng,412,,Tiki Trading,available,1000,False,True,True
279093674,Sách HỌ VÀ TÊN (Một lịch sử nhìn từ danh tính người Việt),263200,329000,20,5.0,3,47,Trần Quang Đức,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278474664,Sách Hồ Chí Minh - Tiểu Sử Bằng Hình (Gần 700 Tranh Ảnh Và Bản Đồ),567000,680000,17,5.0,3,92,Đông A Biên Soạn,Đông A,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa cứng,324,,Tiki Trading,available,1000,False,True,True
253396846,Sách Di sản Hồ Chí Minh. Bác Hồ với việc đọc và tự học,59000,80000,26,5.0,9,133,Vũ Dương Thúy Ngà,NXB Trẻ,NXB Trẻ,,Bìa mềm,176,2023-04-18,Tiki Trading,available,1000,False,True,True
278637446,Sách Vương Hồng Sển - Tả Quân Lê Và Tuồng San Hậu - Di Cảo (Bìa Cứng),138000,190000,27,4.8,5,71,Vương Hồng Sển,NXB Trẻ,NXB Trẻ,,Bìa cứng,180,2025-09-26,Tiki Trading,available,1000,False,True,True
277348449,MƯA ĐỎ - Chu Lai - Vietnambook,153750,205000,25,0.0,0,7,Chu Lai,VIETNAMBOOK,Nhà Xuất Bản Quân Đội Nhân Dân,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278749486,Sách Ngàn Năm Áo Mũ - Ấn Bản Đặc Biệt 20 Năm Thành Lập Nhã Nam - Bìa Cứng,495200,619000,20,5.0,1,31,Trần Quang Đức,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa cứng,400,,Tiki Trading,available,1000,False,True,True
