id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279131848,Sách - Ngữ Pháp Tiếng Thái Lan Thông Dụng,154500,168000,8,0.0,0,1,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279112588,Sách - Mindmap Deutsch Vokabeln - Từ Vựng Tiếng Đức Bằng Sơ Đồ Tư Duy,155200,199000,22,0.0,0,2,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279112220,Sách - 3300 Từ Vựng Tiếng Đức Thông Dụng Theo Chủ Đề Dành Cho Người Mới Bắt Đầu,92000,118000,22,0.0,0,4,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279008489,Sách - Giáo trình Hán ngữ BOYA Sơ cấp 1 + Sách bài tập (phiên bản 3) ,293560,358000,18,0.0,0,8,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,MCBooks,available,1000.0,True,True,True
278999747,Sách - Tự học Tiếng Pháp cho người mới bắt đầu,229000,229000,0,0.0,0,0,Th.S Vũ Thị Diệu Linh,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,Bamboo Books,available,1000.0,True,True,True
278952177,Học Ngoại Ngữ Siêu Tốc Cùng AI,124600,179000,30,4.5,2,20,1980Edu (Quỳnh Hương),1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,180,2025-01-12,Tiki Trading,available,1000.0,False,True,True
278761441,Sách - Ngữ Pháp Tiếng Tây Ban Nha Căn Bản,153000,189000,19,0.0,0,5,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278703574,Combo Tự Học Tiếng Nga Cho Người Mới Bắt Đầu,188000,247000,24,5.0,1,8,Nguyễn Thị Lệ Quyên,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
278703573,Sách Tự Học Tiếng Nga Cho Người Mới Bắt Đầu,123190,158000,22,5.0,2,13,Nguyễn Thị Lệ Quyên,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
278700223,Sách Tập Viết Tiếng Thái Lan Cho Người Mới Bắt Đầu,85000,85000,0,0.0,0,0,TS. Nguyễn Thị Thùy Châu,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,92,,Bamboo Books,available,1000.0,True,True,True
278698607,Sách 3000 Từ Vựng Tiếng Tây Ban Nha Thông Dụng,139000,139000,0,0.0,0,0,"TS. Nguyễn Thị Kim Dung, Th.S Nguyễn Hà My",MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,440,,Bamboo Books,available,1000.0,True,True,True
278698605,Sách Tự Học Tiếng Thái Lan Cho Người Mới Bắt Đầu,165000,165000,0,0.0,0,0,TS. Nguyễn Thị Thùy Châu,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,208,,Bamboo Books,available,1000.0,True,True,True
278698583,Combo 2 Cuốn Tự Học Tiếng Tây Ban Nha Cho Người Mới Bắt Đầu,243000,319000,24,0.0,0,10,"TS. Nguyễn Thị Kim Dung, Th.S Nguyễn Hà My",MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
278698533,Sách Tự Học Tiếng Tây Ban Nha Cho Người Mới Bắt Đầu,149400,180000,17,5.0,1,11,"TS. Nguyễn Thị Kim Dung, Th.S Nguyễn Hà My",MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,248,,Tiki Trading,available,1000.0,False,True,True
278668550,Combo Tự học tiếng Tây Ban Nha cho người mới bắt đầu - Lẻ/combo,139000,139000,0,5.0,1,12,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,MCBooks,available,1000.0,True,True,True
278210217,"Sách- combo: Kỹ năng biên phiên dịch Trung Việt, Việt Trung thực chiến Tập 1+Tập 2+Tập 3",220000,220000,0,0.0,0,0,,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,Khanhlinhbook,available,1000.0,True,True,True
276679504,Sách học tiếng Pháp LE NOUVEAU TAXI ! 1- LIVRE DE L'ELEVE,725000,725000,0,5.0,1,5,"Guy Capelle,  MENAND ROBERT",Hachette,Hachette Livre,,Bìa mềm,144,2008-12-05,Librairie francaise de Hanoi,available,1000.0,True,True,True
274970376,Sách Hành Trình Phiên Dịch Sống Động,320000,430000,26,0.0,0,90,Thanh Thanh Huyền,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,607,2024-10-04,Tiki Trading,available,1000.0,False,True,True
271319408,Sách Cẩm nang kỹ năng nghề phiên dịch,103000,130000,21,5.0,3,39,Lê Huy Khoa,NXB Tổng hợp TP.HCM,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,328,2023-08-01,Tiki Trading,available,1000.0,False,True,True
270453698,Nâng Cao Vốn Từ Vựng Tiếng Pháp Theo Chủ Đề Bằng Hình Ảnh (Tái Bản 2023),160200,180000,11,5.0,2,14,Phương Dung,Cty Trí Tuệ,nxb thanh nien,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
268504629,Sách 6000 từ vựng chuyên ngành Du lịch - Khách sạn - Nhà hàng: Anh - Việt - Hàn,200000,200000,0,0.0,0,0,"Lê Huy Khoa, ThS.Võ Thụy Nhật Minh",Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,512,2023-01-01,Bamboo Books,available,1000.0,True,True,True
263401693,Tiếng Việt Dành Cho Người Hàn Quốc (Free Audio Files),55000,55000,0,0.0,0,11,Vương Thị Hoa Hồng,Công Ty TNHH Văn Hóa Thiên Lộc,NXB Trẻ,,Bìa mềm,200,2006-04-11,Nhà sách Quốc Việt,available,1000.0,True,True,True
263394584,Tiếng Việt Cho Người Nước Ngoài - Vietnamese For Foreigners (Free Audio Files),75000,75000,0,4.0,5,33,Bửu Khải - Phan Văn Giưỡng,Công Ty TNHH Văn Hóa Thiên Lộc,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,,Bìa mềm,143,2017-04-21,Nhà sách Quốc Việt,available,1000.0,True,True,True
262804723,Combo sách dành cho BA: Sách BABOK v3 - phiên bản tiếng Việt & Sổ tay Business Analyst,903200,1129000,20,5.0,2,44,, NXB Hồng Đức,nxb hong duc,,,,,Phân tích Nghiệp Vụ và Tài Chính BAC,available,1000.0,True,True,True
258858348,Tiểu thuyết kinh điển tiếng Anh: Crime And Punishment,175500,175500,0,5.0,6,63,Fyodor Dostoevsky,Amazon,Wordworth Editions Ltd,,Bìa mềm,528,,Blue Horizon Books,available,1000.0,True,False,True
176937688,Bộ sách Tiếng Việt cho người nước ngoài 2 cấp độ Sơ cấp tái bản - Trung cấp (Kèm CD),893000,1191000,25,5.0,1,7,Lê Thị Hiệp,Công ty TNHH Phát triển giáo dục quốc tế AMAIN,Nhà Xuất Bản Thế Giới,,Bìa mềm,724,,Amain Books,available,1000.0,True,True,True
76023602,COMBO Ngữ Pháp Tiếng Việt Tập 1 - 2,113000,113000,0,5.0,12,173,nhieu tac gia,Nhà xuất bản Giáo dục Việt Nam,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,,,HaAnBooks,available,1000.0,True,False,True
73854345,Tiếng Việt Cơ Sở Dành Cho Người Nước Ngoài Quyển 1,130000,130000,0,4.6,25,206,Nguyễn Việt Hương,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,242,,HaAnBooks,available,1000.0,True,True,True
72851586,Tự Học Tiếng Thái Cho Người Mới Bắt Đầu,74100,95000,22,5.0,58,249,Trịnh Thế Thắng,Cty Văn Hóa Nhân Văn,Nhà Xuất Bản Hồng Đức,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
