id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278638861,Sách IELTS Writing: Viết Luận “Chất Như Nước Cất”,162000,219000,26,4.7,7,116,"Nguyễn Hoàng Huy, Nhiều tác giả",Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,240,,Tiki Trading,available,1000,False,True,True
220663057,Sách Basic IELTS Reading,137000,178000,23,4.8,37,418,Zhang Juan,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,192,2023-02-02,Tiki Trading,available,1000,False,True,True
42459032,Sách IELTS Advantage Writing Skills,129000,178000,28,4.8,105,744,"Richard Brown, Lewis Richards",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,132,2019-01-11,Tiki Trading,available,1000,False,True,True
272058579,Sách Basic Ielts Listening (Quét Mã QR Để Nghe File MP3),155000,248000,38,4.5,11,233,Li Ya Bin,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,176,2023-09-09,Tiki Trading,available,1000,False,True,True
365780,Sách Collins - Get Ready For IELTS - Reading,122400,136000,10,5.0,2,19,Els Van Geyte,Nhân Trí Việt,,,Bìa mềm,136,2013-04-15,Nhà sách Fahasa,available,1000,True,True,True
161310103,Sách Từ Vựng IELTS 8.0 - Từ Vựng Đắt Để Đạt Điểm Cao 4 Kỹ Năng,87000,135000,36,5.0,559,4473,Lê Thu Hà,Megabook,Nhà Xuất Bản Hà Nội,,Bìa mềm,204,2022-02-02,Tiki Trading,available,1000,False,True,True
48364403,Sách Collins Listening For IELTS – 2nd Edition (Kèm CD Hoặc Kèm File MP3),153000,188000,19,4.8,99,539,"Fiona Aish, Jo Tomlinson",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,160,2020-02-02,Tiki Trading,available,1000,False,True,True
367828,Sách Collins - Speaking For IELTS (Kèm 2 CD),105000,144000,27,4.8,92,988,Collins Cobuild,Nhân Trí Việt,Nhà Xuất Bản Tổng Hợp,,Bìa mềm,250,2012-12-19,Tiki Trading,available,1000,False,True,True
279258106,Takenote IELTS Từ vựng theo chủ đề (Band 5.5 - 7.5),62000,79000,22,5.0,1,15,Nguyễn Vân Hà,Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,224,2025-12-05,Tiki Trading,available,1000,False,True,True
80142837,Sách Hackers IELTS Basic- Listening,183200,229000,20,5.0,60,230,Hackers,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,448,2021-03-15,Nhà sách Fahasa,available,1000,True,True,True
42459026,Sách IELTS Intensive (Kèm CD),141000,178000,21,4.8,15,80,"Louis Rogers, Nick Thorner",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,120,2019-01-11,Tiki Trading,available,1000,False,True,True
271317433,Sách Collins Reading for IELTS (Tái bản 2023),106000,144000,26,4.7,14,164,Els Van Geyte,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,144,2023-08-12,Tiki Trading,available,1000,False,True,True
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),110000,144000,24,4.7,150,2378,Collins,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,144,2014-05-01,Tiki Trading,available,1000,False,True,True
48364407,Sách Collins Speaking For IELTS – 2nd Edition (Kèm CD Hoặc File MP3),160200,178000,10,5.0,1,36,Karen Kovacs,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,144,2020-02-02,Nhà sách Fahasa,available,1000,True,True,True
216090588,Sách Hackers IELTS Speaking,148900,229000,35,4.8,9,215,Hackers,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,412,2023-01-01,Tiki Trading,available,1000,False,True,True
278628034,Sách Ielts Premium Seventh Edition,287280,399000,28,0.0,0,0,Dr Lin Lougheed,1980 Books,Nhà Xuất Bản Dân Trí,,,,,1980 BOOKS HCM,available,1000,True,True,True
170466693,Cambridge Ielts 16 Academic With Answers (Savina),220800,230000,4,5.0,24,256,Cambridge,Cty Sách VN,CAMBRIDGE UNIVERSITY,,,,,Nhà sách Fahasa,available,1000,True,True,True
48364410,Sách Collins Reading For IELTS – 2nd Edition,142200,158000,10,5.0,1,13,"Els Van Geyte, Rhona Snelling",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,144,2020-02-02,Nhà sách Fahasa,available,1000,True,True,True
187934043,Sách Check Your English Vocabulary For Ielts (Tái Bản 2022),104000,149000,30,5.0,36,444,Rawdon Wyatt,1980 Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,272,2022-06-06,Tiki Trading,available,1000,False,True,True
278786010,Sách - Cambridge IELTS 20 - Academic - With Audio + Answers (Savina),237500,250000,5,0.0,0,19,Cambridge,Cty Sách VN,Cambridge University Press,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
365791,Sách Collins - Get Ready For IELTS - Speaking,125000,152000,18,4.7,95,1398,Rhona Snelling,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,136,2013-04-15,Tiki Trading,available,1000,False,True,True
278146997,Sách - Speaking Topics For Ielts - Luyện Nói Ielts Theo Chủ Đề,145800,180000,19,0.0,0,6,Lê Hồng Đăng,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
196150468,"Sách Get Ready for IELTS 
Speaking",129200,152000,15,5.0,1,93,Rhona Snelling,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,136,2022-08-01,Tiki Trading,available,1000,False,True,True
