id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279132203,Sách - Học Tiếng Anh Qua Truyện Cổ Tích Việt Nam - Song Ngữ Việt-Anh - Trọng Thủy Mỵ Châu,12000,15000,20,0.0,0,0,nhieu tac gia,Cty Văn Hóa Nhân Văn,Nhà Xuất Bản Đồng Nai,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279022862,Sách - Global Success - Jadoo Tiếng Anh - Luyện Viết Chữ Nhớ Từ Vựng - Tập 1,77400,79000,2,0.0,0,0,nhieu tac gia,1980 Books,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279022846,Sách - Global Success - Jadoo Tiếng Anh - Luyện Viết Chữ Nhớ Từ Vựng - Tập 5,77400,79000,2,0.0,0,0,nhieu tac gia,1980 Books,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278860413,Sách - Tư Duy Ngôn Ngữ - Đánh Vần Tiếng Anh - Oxford Phonics World,59800,65000,8,0.0,0,2,Ngọc Mai,Fahasa,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713494,Sách - Grammar Friends 1,111300,128000,13,0.0,0,1,Oxford University Press,MCBOOKS,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713484,Sách - Học Tiếng Anh Song Ngữ Qua Truyện Ngụ Ngôn - Con Cáo Và Chùm Nho,12800,16000,20,0.0,0,0,nhieu tac gia,Cty Văn Hóa Nhân Văn,Nhà Xuất Bản Đồng Nai,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713454,Sách - Short Note - Grammar - Ngữ Pháp Tiếng Anh Dễ Hiểu Dễ Nhớ (Tái Bản 2025),184100,198000,7,0.0,0,3,Issaree Jaemkham,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713418,Sách - Ông Già Và Biển Cả - The Old Man And The Sea (Sách Song Ngữ),50100,59000,15,0.0,0,3,Ernest Hemingway,Công ty TNHH Sách Hà Giang ,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713410,Sách - Grammar Friends 4,104900,128000,18,0.0,0,2,Oxford University Press,MCBOOKS,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276681008,Take Note - Tiếng Anh Tiểu Học,62000,62000,0,0.0,0,2,Dương Hương,Gieobooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,88,2024-12-03,Tazano Official Store,available,1000,True,True,True
