id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278632468,Cẩm nang 1300 câu giao tiếp tiếng Hàn theo chủ đề,160000,160000,0,0.0,0,0,Lê Huy Khoa,Gieobooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,326,2025-09-12,Tazano Official Store,available,1000,True,True,True
278532360,Sách - Ghi Nhớ Siêu Tốc Từ Vựng Tiếng Hàn - MCBooks,198000,198000,0,0.0,0,3,Đỗ Thanh,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,MCBooks Sài Gòn,available,1000,True,True,True
276478596,Giáo Trình Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam: Trung Cấp 3 - Sách Bài Tập,95000,95000,0,0.0,0,0,,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,185,,Tazano Official Store,available,1000,True,True,True
273475487,"Trạm Đọc | Tiếng Hàn Ứng Dụng Học Nhanh, Thực Hành Ngay Sơ Cấp 2",169000,169000,0,0.0,0,0,Kim Mi Sook,Alpha Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,344,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
272830161,Tiếng Hàn Cơ Bản Dành Cho Người Mới Bắt Đầu (Tái Bản 2023),76500,90000,15,0.0,0,0,Trang Thơm,Nhà sách Minh Thắng,NXB Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
263514082,Sách Tiếng Hàn Cơ Bản Dành Cho Người Mới Bắt Đầu (Tái Bản),66700,90000,26,0.0,0,16,Trang Thơm,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa mềm,240,2022-05-01,Tiki Trading,available,1000,False,True,True
249532279,Tiếng Hàn Giao Tiếp 4.0,295000,295000,0,4.0,1,48,,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,274,2022-08-26,HaAnBooks,available,1000,True,True,True
247937053,Quick Korean - Nói Tiếng Hàn Cấp Tốc,176200,198000,11,5.0,1,10,Khrongkhwan Chimrarong,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
200616680,5500 Câu Giao Tiếp Tiếng Hàn Thông Dụng,65360,76000,14,0.0,0,1,Tri Thức Việt,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,256,,Văn Lang Official Store,available,1000,True,True,True
182465325,Sách Giáo trình chuẩn HSK 4 - Tập 2 Bài Học (Quét mã QR để nghe file mp3),179000,238000,25,5.0,8,105,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,163,2022-05-20,Tiki Trading,available,1000,False,True,True
181924230,Cẩm Nang Tiếng Hàn Trong Giao Tiếp Thương Mại (Tập 2),218000,218000,0,0.0,0,0,ThS Lê Huy Khoa,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,252,2018-05-08,info book,available,1000,True,True,True
108231100,Sách - Hướng Dẫn Tự Học Tiếng Hàn Cho Người Mới Bắt Đầu - Nhân Văn - 8935072954031,75600,108000,30,0.0,0,4,Thảo Ly,Công Ty CP Văn Hóa Nhân Văn,Nhà Xuất Bản Hồng Đức,,Bìa mềm,326,2021-06-23,Nhân Văn,available,1000,True,True,True
91544358,Đàm Thoại Tiếng Hàn Trong Tình Huống Thực Tế,92000,115000,20,0.0,0,1,"Thụy Anh, Phùng Thùy Linh",Cty Văn Hóa Nhân Văn,Nhà Xuất Bản Thanh Niên,,,,,Nhà sách Fahasa,available,1000,True,True,True
74953487,"Sách Tiếng Hàn Ứng Dụng Học Nhanh, Thực Hành Ngay Trung Cấp 2",117000,169000,31,4.5,7,36,"Kim Mi Sook, Park Neul Bom",Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,344,,Tiki Trading,available,1000,False,True,True
69219927,"Sách Tiếng Hàn Ứng Dụng Học Nhanh, Thực Hành Ngay Sơ Cấp 2",169000,169000,0,0.0,0,1,Kim Mi Sook,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,344,2020-10-01,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
58932959,Sách Học Giao Tiếp Tiếng Hàn Qua Tranh,85000,100000,15,4.0,1,3,Baggeumju,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa mềm,248,2020-05-01,Nhà sách Fahasa,available,1000,True,True,True
56116720,3000 Câu Giao Tiếp Tiếng Hàn Theo Chủ Đề (Sách Bản Quyền),102000,120000,15,0.0,0,0,Yun-Yeol,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa mềm,472,,Nhà sách Fahasa,available,1000,True,True,True
41073709,Combo Cẩm Nang Học Tiếng Hàn Bán Chạy: Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 2: Giáo Trình + Sách Bài Tập (Bộ Sách Giúp Bạn Công Phá Tiếng Hàn Thành Công / Tặng Kèm Bookmark Green Life),229700,289350,21,4.5,31,263,`,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,AHABOOKS,available,1000,True,True,True
41071538,Combo Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1: Gíao Trình + Bài Tập (Bộ Sách Học Tiếng Hàn Hiệu Qủa Dành Cho Người Mới Bắt Đầu / Tặng Kèm Bookmark Green Life),268350,268350,0,4.5,5,132,.,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,AHABOOKS,available,1000,True,True,True
36312692,Tự Học Tiếng Hàn Dành Cho Người Mới Bắt Đầu (Tặng Bookmark PL),73500,98000,25,0.0,0,9,,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,NVP,available,1000,True,True,True
20424656,Sách All - In - One Korean (Tiếng Hàn 3 Trong 1) (Kèm 1 Đĩa CD),165000,220000,25,5.0,8,97,Kim Soo Bak,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,320,2019-06-01,Tiki Trading,available,1000,False,True,True
15631944,Combo Sách Học Tiếng Hàn: Tự Học Tiếng Hàn Cấp Tốc + 30 Phút Tự Học Tiếng Hàn Mỗi Ngày + 2500 Câu Giao Tiếng Hàn- tặng Bookmark PĐ,260000,260000,0,0.0,0,1,.,Nhà sách Minh Thắng,,,Bìa mềm,,,Phương Đông Books,available,1000,True,True,True
11649069,Sách Tiếng Hàn Dành Cho Khách Du Lịch Hâm Mộ K-POP (Kèm file MP3),218200,248000,12,4.7,3,12,Ahn Yongjun,Nhân Trí Việt,,,Bìa mềm,228,2019-03-01,Nhà sách Fahasa,available,1000,True,True,True
11368891,Sách 6000 Câu Giao Tiếp Tiếng Hàn Theo Chủ Đề (Không kèm CD),151700,185000,18,4.5,8,45,The Changmi,MCBOOKS,,,Bìa mềm,472,2019-03-01,Nhà sách Fahasa,available,1000,True,True,True
9688954,Sách 10 Phút Tự Học Tiếng Hàn Mỗi Ngày,85100,99000,14,0.0,0,2,Thu Trang,Khang Việt Book,,,Bìa mềm,256,2018-01-12,Nhà sách Fahasa,available,1000,True,True,True
2801999,Sách Tự Học Tiếng Hàn Dành Cho Người Mới Bắt Đầu (Kèm CD Hoặc Tải App) - Tái Bản,98000,98000,0,5.0,1,9,,MCBOOKS,Tiki Tổng Hợp,,Bìa mềm,,,trungthanh2018,available,1000,True,True,True
1749193,Sách Những Mẫu Văn Bản Tiếng Hàn,138000,138000,0,0.0,0,0,Ths. Lê Huy Khoa,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,,2018-04-05,info book,available,1000,True,True,True
1651899,Sách Tiếng Hàn Dùng Trong Chào Hỏi Xã Giao Hằng Ngày,55000,68000,19,0.0,0,0,Đỗ Thái Hòa,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,247,2018-01-01,Văn Lang Official Store,available,1000,True,True,True
1563587,Sách Luyện Kĩ Năng Nghe Tiếng Hàn (Dành Cho Người Mới Bắt Đầu),117800,142000,17,5.0,1,19,"Cho Jaehee, Oh Minam",First News - Trí Việt,,,Bìa mềm,164,2018-02-03,Nhà sách Fahasa,available,1000,True,True,True
1367091,Sách Học Tiếng Hàn Cho Người Bận Rộn,61600,67000,8,0.0,0,1,Mỹ Duy,Tân Việt,,,Bìa mềm,321,2018-01-01,Nhà sách Fahasa,available,1000,True,True,True
1016178,Đàm Thoại Tiếng Hàn Cấp Tốc Trong Cuộc Sống Hiện Đại (Kèm CD),56000,59000,5,0.0,0,0,Thùy Anh,Khang Việt Book,Nhà Xuất Bản Đồng Nai,,Bìa mềm,242,2017-10-11,Chính Thông,available,1000,True,True,True
831788,Sách Tự Học Tiếng Hàn Cấp Tốc,59100,65000,9,0.0,0,3,Gia Hưng,Tân Việt,Nhà Xuất Bản Dân Trí,,Bìa mềm,239,2017-06-15,Nhà sách Fahasa,available,1000,True,True,True
777540,Sách Tiếng Hàn Thực Hành 1 - Sơ Cấp Bài Tập,76000,98000,22,4.5,12,273,Đỗ Ngọc Luyến,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,120,2015-08-08,Tiki Trading,available,1000,False,True,True
684735,Hội Thoại Hàn Việt (Kèm CD),19900,21000,5,5.0,1,17,Lý Kính Hiền,CÔNG TY TNHH TM DV VĂN HÓA GIA VŨ,Nhà Xuất Bản Thời Đại,,Bìa mềm,150,2013-08-03,Chính Thông,available,1000,True,True,True
602825,Đàm Thoại Tiếng Hàn Cấp Tốc (Kèm CD),32300,34000,5,5.0,1,11,Đặng Quang Hiển,Công Ty TNHH TM - DV Chính Thông,Nhà Xuất Bản Thanh Niên,,Bìa mềm,143,2016-04-01,Chính Thông,available,1000,True,True,True
573954,Sách Tiếng Hàn Thực Hành (Tập 3) - Trình Độ Trung Cấp - Bài Học (Kèm file MP3),280100,298000,6,0.0,0,3,,Nhân Trí Việt,,,Bìa mềm,244,2017-02-08,Nhà sách Fahasa,available,1000,True,True,True
507060,Sách Đàm Thoại Tiếng Hàn Hiện Đại (Kèm CD),39900,42000,5,4.0,1,30,Ngọc Yến,Công Ty TNHH TM - DV Chính Thông,Nhà Xuất Bản Thanh Niên,,Bìa mềm,245,2014-09-30,Chính Thông,available,1000,True,True,True
506643,Sách Giao Tiếp Hàn - Việt Cơ Bản (Kèm CD),19000,20000,5,0.0,0,19,Nhóm tác giả,Công Ty TNHH TM - DV Chính Thông,Nhà Xuất Bản Văn Hoá Thông Tin,,Bìa mềm,120,2015-06-30,Chính Thông,available,1000,True,True,True
437682,Sách Tiếng Hàn Thực Hành (Tập 1) - Trình Độ Sơ Cấp (Kèm CD),203000,216000,6,0.0,0,2,Cho Hang-rok - Lee Jee-young,Nhân Trí Việt,,,Bìa mềm,247,2013-06-10,Nhà sách Fahasa,available,1000,True,True,True
421018,Sách Tự Học Tiếng Hàn Dành Cho Người Mới Bắt Đầu (Kèm CD Hoặc Tải App),98000,98000,0,0.0,0,0,The Changmi,MCBOOKS,Nhà Xuất Bản Thời Đại,,Bìa mềm,217,2014-11-20,Bamboo Books,available,1000,True,True,True
279308522,Sách - 6000 Câu Giao Tiếp Tiếng Hàn Theo Chủ Đề Cho Người Mới Bắt Đầu,151700,185000,18,0.0,0,0,Dương Thị Hồng Yên,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,479,,Unibooks,available,1000,True,True,True
278056679,Sách - Sổ Tay Mẫu Câu Cơ Bản Tiếng Hàn (Học Tiếng Hàn Cùng Thầy Lê Huy Khoa),158000,158000,0,0.0,0,0,Lê Huy Khoa,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,200,,Bamboo Books,available,1000,True,True,True
276490018,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Cao Cấp 6 - Bản Màu,295000,295000,0,0.0,0,0,,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,360,,Tazano Official Store,available,1000,True,True,True
276484638,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam: Cao Cấp 5 - Bản Màu,295000,295000,0,0.0,0,0,,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,350,,Tazano Official Store,available,1000,True,True,True
276478604,Giáo Trình Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam: Trung Cấp 4 - Đen Trắng (Phiên Bản Mới),168000,168000,0,0.0,0,0,,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,335,,Tazano Official Store,available,1000,True,True,True
276478600,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam: Cao Cấp 6 - Bản Đen Trắng,168000,168000,0,0.0,0,1,,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,364,,Tazano Official Store,available,1000,True,True,True
276478592,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam: Sách Bài Tập Cao Cấp 5,98000,98000,0,0.0,0,0,,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,206,,Tazano Official Store,available,1000,True,True,True
274185274,Sổ Tay Bắt Đầu Tiếng Hàn 3 Trong 1- Biết Giao Tiếp Ngay Khi Học,199000,199000,0,0.0,0,1,,CÔNG TY TNHH WE UP,Nhà Xuất Bản Thanh Niên,,Bìa mềm,223,2023-03-06,Diepnguyet,available,1000,True,True,True
274033175,Học Tiếng Hàn Qua Truyện Cổ Tích - Vanlangbooks,248000,248000,0,0.0,0,0,,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,352,,Nhà sách NetaBooks,available,1000,True,True,True
273457179,Sách Minjung - Tự học giao tiếp tiếng Hàn thông dụng (bìa mềm),57700,82000,30,0.0,0,0,,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,,,,Tiki Trading,available,1000,False,True,True
273383700,Cẩm Nang Tiếng Hàn Trong Giao Tiếp Thương Mại (Tập 1) _FN,188000,188000,0,0.0,0,0,Lê Huy Khoa,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,216,,info book,available,1000,True,True,True
272407081,Tiếng Hàn 6500 Câu Giao Tiếp (Kèm Cd) - Vanlangbooks,60000,74000,19,0.0,0,0,,VanLangBooks,Nhà Xuất Bản Từ Điển Bách Khoa,,Bìa mềm,279,2014-04-01,Văn Lang Official Store,available,1000,True,True,True
272407079,5500 Câu Giao Tiếp Tiếng Hàn Trong Sinh Hoạt Hàng Ngày (Kèm Cd) - Vanlangbooks,63000,78000,19,0.0,0,0,Trí Thức Việt (BS),VanLangBooks,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm,270,2016-10-01,Văn Lang Official Store,available,1000,True,True,True
266954446,Tiếng Hàn Giao Tiếp 4.0 - Phần II,295000,295000,0,0.0,0,11,nhieu tac gia,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,270,2023-03-07,HaAnBooks,available,1000,True,True,True
263209695,Sách Cẩm Nang Vui Học Tiếng Hàn,55200,65000,15,0.0,0,1,Juseonglim,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
263206780,Giao Tiếp Tiếng Hàn Căn Bản,40000,50000,20,0.0,0,0,Thu Trang,Cty Văn Hóa Khang Việt,Nhà Xuất Bản Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
254092777,Cẩm Nang Tiếng Hàn Trong Giao Tiếp Thương Mai 2 (tặng kèm 2 CD) Bản Quyền,218000,218000,0,0.0,0,0,,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,,,,info book,available,1000,True,True,True
249772404,TIẾNG HÀN DÙNG TRONG CHÀO HỎI XÃ GIAO HẰNG NGÀY,68000,68000,0,0.0,0,0,Đỗ Thái Hòa,Văn Lang,Nhà Xuất Bản Hồng Đức,,Bìa mềm,247,,Bamboo Books,available,1000,True,True,True
198799258,Sách Tiếng Hàn giao tiếp 4.0,249000,249000,0,0.0,0,13,Nguyễn Vân Khánh,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,276,2022-08-26,Sách tiếng Hàn thầy Khánh,available,1000,True,True,True
181925516,Những Mẫu Văn Bản Tiếng Hàn,138000,138000,0,0.0,0,3,,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,info book,available,1000,True,True,True
181924165,Cẩm Nang Tiếng Hàn Trong Giao Tiếp Thương Mại (Tập 1),188000,188000,0,0.0,0,0,ThS Lê Huy Khoa,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,216,2018-05-16,info book,available,1000,True,True,True
152515916,Combo Cẩm Nang Tiếng Hàn Trong Giao Tiếp Thương Mại ( Tập 1+ Tập 2 ) + CD,406000,406000,0,0.0,0,0,Lee Mi Hye,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,,,info book,available,1000,True,True,True
