id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279311853,Sách - Combo Tiếng Hàn Tổng Hợp dành cho người Việt Nam Sơ Cấp 1 (Giáo trình bản màu + sbt),81180,99000,18,0.0,0,0,Nhiều tác giả,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia,,,378,,Unibooks,available,1000,True,True,True
279308492,Sách - Combo Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam Trình Độ Sơ Cấp Tập 1-6 - Giáo Trình Màu kèm Sách Bài Tập,322260,393000,18,0.0,0,0,Nhiều tác giả,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm tay gấp,378,,Unibooks,available,1000,True,True,True
278998985,"Sách - Mindmap từ vựng, cụm từ và thành ngữ Topik thông dụng",219000,219000,0,0.0,0,0,Th.S Phạm Văn Thừa,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,Bamboo Books,available,1000,True,True,True
278805492,5000 Cấu Trúc Ngữ Pháp Quán Dụng Ngữ Và Từ Vựng Tiếng Hàn,275000,275000,0,0.0,0,0,. Lê Huy Khoa,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,472,,MCBooks,available,1000,True,True,True
275157839,5000 Từ Vựng TOPIK Theo Chủ Đề - Mỹ Duy (Biên soạn),70000,70000,0,0.0,0,1,Mỹ Duy,Nhà Xuất Bản Đà Nẵng,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,128,2024-05-31,VIETNAMBOOK,available,1000,True,True,True
273461346,Cụm Từ Ngữ Ôn Thi Topik I-Ii Và Dịch Thuật Tiếng Hàn,150400,160000,6,0.0,0,1,nhieu tac gia,NXB Tổng Hợp TPHCM,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
273384844,Sách Cụm từ ngữ ôn thi Topik I-II và dịch thuật Tiếng Hàn,130000,160000,19,4.0,1,13,Lê Huy Khoa,NXB Tổng hợp TP.HCM,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,392,2023-11-01,Tiki Trading,available,1000,False,True,True
273383791,Cẩm Nang Luyện Thi Năng Lực Tiếng Hàn Topik I Basic _FN,178000,178000,0,0.0,0,0,Trung Tâm Hàn Ngữ Seoul,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,176,,NewShop Official,available,1000,True,True,True
273204912,Cụm Từ Ngữ Ôn Thi Topik  I-II Và Dịch Thuật Tiếng Hàn,136000,160000,15,5.0,2,6,Lê Huy Khoa Kanata,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,NXB TỔNG HỢP,available,1000,True,True,True
273152253,CỤM TỪ NGHỮ ÔN THI TOPIK I-II VÀ DỊCH THUẬT TIẾNG HÀN,136000,136000,0,0.0,0,4,Lê Huy Khoa,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,,2023-10-31,LITTLE BOOKS,available,1000,True,True,True
