id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279268371,Sách - Mindmap Giao Tiếp Tiếng Hàn Thực Chiến Cho Người Mới Bắt Đầu,164400,189000,13,0.0,0,1,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279133448,Sách - Ghi Nhớ Siêu Tốc Từ Vựng Tiếng Hàn - Làm Chủ 2000 Từ Vựng Thông Dụng Và Gốc Từ Hán Hàn Quan Trọng Trong Kỳ Thi Topik Qua Sơ Đồ Tư Duy,162300,198000,18,0.0,0,0,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131792,Sách - Kính Ngữ Tiếng Hàn Và Các Phương Tiện Biểu Hiện Tương Đương Trong Tiếng Việt,115000,125000,8,0.0,0,0,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278967365,Sách - Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sơ Cấp 1 - Sách Bài Tập (Tái Bản 2025),78200,99000,21,0.0,0,2,nhieu tac gia,MCBOOKS,dai hoc quoc gia ha noi,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278966618,"Sách - 5000 Cấu Trúc Ngữ Pháp, Quán Dụng Ngữ Và Từ Vựng Tiếng Hàn",233700,275000,15,0.0,0,1,ThS Lê Huy Khoa,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278966612,Sách - All In One Korean - Sổ Tay Mind Map Từ Vựng Tiếng Hàn Chuyên Ngành - Dành Cho Người Đi Làm,96700,118000,18,0.0,0,1,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278760584,Sách - All In One Korean - Sổ Tay Mind Map Ngữ Pháp Tiếng Hàn Cơ Bản Dành Cho Người Mới Bắt Đầu,129500,158000,18,0.0,0,1,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278632640,All In One Korean – Sổ Tay Mindmap Ngữ Pháp Tiếng Hàn Cơ Bản Dành Cho Người Mới Bắt Đầu,158000,158000,0,0.0,0,0,nhieu tac gia,Gieobooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,2025-09-12,Tazano Official Store,available,1000,True,True,True
242076145,Ngữ Pháp Tiếng Hàn Thông Dụng Sơ Cấp (Tái Bản),200000,250000,20,5.0,2,12,"Ahn Jean myung,  Lee Kyung Ah,  Han Hoo Young",MCBOOKS,hong duc,,,,,Nhà sách Fahasa,available,1000,True,True,True
114386063,Combo Tiếng Hàn Tổng Hợp Sơ Cấp 2 Dành Cho Người Việt Nam Bản In Màu - Học Kèm App,326360,398000,18,5.0,64,417,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,363,,MCBooks,available,1000,True,True,True
