id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279204683,Sách - Mindmap Giao Tiếp Tiếng Hàn Thực Chiến Cho Người Mới Bắt Đầu,160650,189000,15,0.0,0,1,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,MCBooks,available,1000,True,True,True
279196841,Luyện Viết Tiếng Hàn - 한글쓰기연습,56000,80000,30,0.0,0,0,"Lee Jang Hyun, Nguyễn Thị Hồng Vân, Nguyễn Võ Ngọc Quỳnh",Công Ty CP Văn Hóa Nhân Văn,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,,Bìa mềm,76,,Nhân Văn,available,1000,True,True,True
279143727,Sách - Mindmap Ngữ Pháp Tiếng Hàn Theo Giáo Trình Tiếng Hàn Tổng Hợp,275000,275000,0,0.0,0,0,TS Lê Thị Thu Giang - Im Seung Seon,MCBOOKS,Nhà xuất bản Kinh tế tài chính,,,,,Bamboo Books,available,1000,True,True,True
278882051,Sách - Kính Ngữ Tiếng Hàn Và Các Phương Tiện Biểu Hiện Tương Đương Trong Tiếng Việt,125000,125000,0,0.0,0,0,TS. Phạm Thị Ngọc,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,294,,Bamboo Books,available,1000,True,True,True
278687603,Sách Mindmap Từ Vựng Tiếng Hàn,188000,188000,0,0.0,0,0,Phạm Thị Ngọc,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,212,,Bamboo Books,available,1000,True,True,True
278684752,Giáo Trình Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Giáo Trình + Sách Bài Tập ,203000,266000,24,0.0,0,0,Nhiều tác giả,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278632402,77 văn hóa Hàn Quốc trong đời sống thường nhật,255000,255000,0,0.0,0,0,nhieu tac gia,Gieobooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,2025-09-12,Bamboo Books,available,1000,True,True,True
278527314,Sách - All in one Korea - Sổ Tay Mindmap ngữ pháp Tiếng Hàn cơ bản - dành cho người mới bắt đầu,158000,158000,0,0.0,0,4,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,MCBooks,available,1000,True,True,True
278453585,Sách - Cẩm nang 1300 câu giao tiếp tiếng Hàn theo chủ đề,160000,160000,0,0.0,0,0,Lê Huy Khoa,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,Bamboo Books,available,1000,True,True,True
278453541,Sách -  77 Văn hóa Hàn Quốc trong đời sống thường nhật,255000,255000,0,0.0,0,0,Lê Huy Khoa,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,Bamboo Books,available,1000,True,True,True
