id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279202678,Sách - Giáo Trình Hán Ngữ BOYA Trung Cấp 1 – Tập 1 Phiên Bản 3,181770,219000,17,0.0,0,1,nhieu tac gia,MCBOOKS,Nhà xuất bản Kinh tế tài chính,,,,,MCBooks,available,1000,True,True,True
279057879,Giáo trình Hán ngữ BOYA Sơ cấp 1 & Sơ cấp 2 – Phiên bản 3 - Chuẩn HSK 9 cấp (HSK 3.0),83000,109000,24,0.0,0,0,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,286,2026-01-05,Tiki Trading,available,1000,False,True,True
278703579,Sách Giáo Trình Hán Ngữ Phiên Bản 3 (Phân Loại Lẻ),141000,179000,21,0.0,0,24,Dương Ký Châu (Chủ biên),MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278681245,Giáo trình Hán ngữ Boya Sơ Cấp 1 Sách Bài Tập kèm đáp án,98770,119000,17,0.0,0,5,"Lý Hiểu Kì, Trương Minh Doanh",MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278681215,Combo Giáo Trình Hán Ngữ Tập 1 (Quyển Thượng + Quyển Hạ) Và Tập Viết Chữ Hán Theo Giáo Trình Hán Ngữ,306000,377000,19,0.0,0,9,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
276586978,Giáo trình tiếng Hoa đương đại - sách bài tập + sách tập viết  (1-1),119000,158000,25,5.0,2,19,Đặng Thủ Tín,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,120,,Tiki Trading,available,1000,False,True,True
276586977,Giáo trình tiếng Hoa đương đại - sách bài tập + sách tập viết (1-2),110000,148000,26,0.0,0,14,Đặng Thủ Tín,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,112,,Tiki Trading,available,1000,False,True,True
276586971,Giáo trình tiếng Hoa đương đại - sách bài học (1-1),158000,208000,24,5.0,3,25,Đặng Thủ Tín,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,136,,Tiki Trading,available,1000,False,True,True
276375195,Sách Giáo trình tiếng Trung thương mại (Ấn bản 3 - Tập 1) (Quét mã để nghe file MP3),218000,298000,27,5.0,1,18,Quan Đạo Hùng,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,224,,Tiki Trading,available,1000,False,True,True
273384707,Sách Tiêu chuẩn các cấp độ tiếng Trung trong giáo dục tiếng Trung quốc tế - Giáo trình luyện và nhớ nhanh từ vựng - Cấp độ 1,132000,132000,0,0.0,0,3,Khúc Trừ Hạo,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,120,2023-11-13,NHBook,available,1000,True,True,True
252062214,Giáo Trình Chuẩn HSK 2 - Bài Học (Quét Mã QR Để Nghe File MP3),160300,198000,19,0.0,0,39,Khương Lệ Bình,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
248544490,Combo Sách Giáo Trình Chuẩn HSK 4 Tập 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn),304500,376000,19,5.0,24,296,"Khương Lệ Bình,  Trương Quân",Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
204000450,Combo Sách Giáo Trình Chuẩn HSK 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn),288300,356000,19,5.0,100,1710,Khương Lệ Bình,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
196150460,Sách Giáo trình chuẩn HSK 5 - Tập 1 Bài Học,234000,278000,16,5.0,12,140,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,196,2022-08-01,Tiki Trading,available,1000,False,True,True
196021489,Luyện Viết Chữ Hán - Tập 1,59960,90000,33,5.0,4,120,,Cty Văn Hóa Nhân Văn,oem,,Bìa mềm,,,Nhân Văn,available,1000,True,True,True
177117482,Sách Giáo Trình Chuẩn HSK 6 - Tập 1 Bài Học,229000,298000,23,5.0,4,67,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,248,2022-04-25,Tiki Trading,available,1000,False,True,True
173137642,Sách Giáo Trình Chuẩn HSK 3 Bài Học (Quét Mã Qr Để Nghe File Mp3),208000,288000,28,4.8,6,81,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,160,2022-01-01,Tiki Trading,available,1000,False,True,True
101548572,Sách Giáo Trình Tiếng Trung Thương Mại - Bản Thứ 3 - Tập 1,223000,298000,25,5.0,44,396,Quan Đạo Hùng,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,218,2021-05-15,Tiki Trading,available,1000,False,True,True
89402951,Sách Giáo Trình Chuẩn HSK 4 - Tập 1 Bài Học (Quét Mã QR Để Nghe File MP3)(Tái Bản),184600,228000,19,5.0,11,84,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,152,2021-04-01,Nhà sách Fahasa,available,1000,True,True,True
71898409,Sách Giáo Trình Chuẩn HSK 5 Bài Học Tập 2 (Quét Mã QR Để Nghe File Mp3) (Tái Bản 2020),225100,268000,16,5.0,6,48,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,188,,Nhà sách Fahasa,available,1000,True,True,True
56727595,Sách Hi! China 2 - Giáo Trình Tiếng Trung Giao Tiếp - Tập 2,186100,198000,6,0.0,0,12,Dương Dạng,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,200,,Nhà sách Fahasa,available,1000,True,True,True
55071991,Combo Trọn Bộ 6 Cuốn Giáo Trình Hán Ngữ (Phiên Bản Mới dùng App),667440,824000,19,5.0,299,1497,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,2019-12-01,MCBooks,available,1000,True,True,True
34746088,Sách Giáo Trình Phát Triển Hán Ngữ Tổng Hợp Sơ Cấp 1 - Tập 1,152000,199000,24,4.8,13,52,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,292,,Tiki Trading,available,1000,False,True,True
11472231,Combo Giáo Trình Chuẩn HSK 4 Bài Học và Giáo Trình Chuẩn HSK 4 Bài Tập ( Tặng Kèm Viết ),772000,772000,0,5.0,135,877,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,496,2018-11-13,NHBook,available,1000,True,True,True
10411544,Combo Giáo Trình Hán Ngữ Boya Sơ Cấp 2 + Sách Bài Tập Đáp Án (Tái Bản - Kèm App),227910,278000,18,5.0,151,1092,Lý Hiểu Kỳ,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,2019-01-01,Tiki Trading,available,1000,False,True,True
10281630,Sách Giáo Trình Hán Ngữ 2 - Tập 1 Quyển Hạ (Phiên Bản Mới Dùng App),118150,139000,15,5.0,749,7674,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,243,2019-01-01,Tiki Trading,available,1000,False,True,True
8121460,Sách Giáo Trình Hán Ngữ 1 - Tập 1 - Quyển Thượng (Phiên Bản Mới),109650,129000,15,4.8,1912,32447,Đại Học Ngôn Ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,179,,Tiki Trading,available,1000,False,True,True
2987229,Sách Giáo Trình Chuẩn YCT 5 (Kèm file MP3),164300,198000,17,5.0,3,31,TS. Nguyễn Thị Minh Hồng,Nhân Trí Việt,,,Bìa mềm,144,,Nhà sách Fahasa,available,1000,True,True,True
2987223,Sách Giáo Trình Chuẩn YCT 3 (Kèm file MP3),110000,148000,26,5.0,58,827,TS. Nguyễn Thị Minh Hồng,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,80,,Tiki Trading,available,1000,False,True,True
2987221,Sách Giáo Trình Chuẩn YCT 2 (Kèm file MP3),112000,148000,24,4.8,88,1663,TS. Nguyễn Thị Minh Hồng,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,80,,Tiki Trading,available,1000,False,True,True
2210651,Combo Giáo trình Hán Ngữ Tập 1 (Quyển Thượng + Quyển Hạ),218000,268000,19,5.0,32,3649,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
1864761,Giáo Trình HSK 2 - Sách Bài Tập (Kèm MP3),138000,188000,27,4.8,210,1701,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,168,2017-01-01,Tiki Trading,available,1000,False,True,True
1864757,Giáo Trình HSK 3 - Sách Bài Học (Kèm MP3),220000,288000,24,4.8,142,1414,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,208,2017-01-01,Tiki Trading,available,1000,False,True,True
1534617,Sách Giáo Trình Chuẩn HSK 5 Bài Học (Tập 2),199000,268000,26,4.7,161,1444,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,188,2018-01-03,Tiki Trading,available,1000,False,True,True
1534615,Sách Giáo Trình Chuẩn HSK 5 Bài Tập (Tập 1),131600,188000,30,4.8,6,60,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,144,2018-01-03,NHBook,available,1000,True,True,True
1534613,Sách Giáo Trình Chuẩn HSK 5 Bài Học (Tập 1),206000,278000,26,4.8,334,2646,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,196,2018-01-03,Tiki Trading,available,1000,False,True,True
544731,Sách Giáo Trình Chuẩn HSK 2 - Bài Học (Kèm file MP3),150000,198000,24,5.0,472,3967,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,144,2016-09-14,Tiki Trading,available,1000,False,True,True
540040,Sách Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm file MP3),115000,158000,27,4.8,636,5458,Khương Lệ Bình,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,136,2016-08-25,Tiki Trading,available,1000,False,True,True
536558,Sách Giáo Trình Hán Ngữ Boya Sơ Cấp I ( Kèm CD - Hoặc dùng App),165170,199000,17,4.7,510,17777,Lý Hiểu Kỳ,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,227,2016-08-12,Tiki Trading,available,1000,False,True,True
459071,Sách Giáo Trình Hán Ngữ Boya Sơ Cấp II (Kèm CD Hoặc Dùng App),147370,189000,22,4.6,105,3746,Lý Hiểu Kỳ - Nhậm Tuyết Mai - Dư Xương Nghi,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,175,2015-11-16,Tiki Trading,available,1000,False,True,True
278682343,Combo Giáo Trình Hán Ngữ Tập 1 Quyển Thượng Và Tập Viết Chữ Hán Theo Giáo Trình Hán Ngữ,193000,238000,19,5.0,1,11,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278682339,Sách Giáo Trình Hán Ngữ 4 - Tập 2: Quyển Hạ (Phiên Bản Mới),105000,129000,19,0.0,0,4,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
276586983,Giáo trình tiếng Hoa đương đại - sách bài học (1-3),168000,238000,29,5.0,1,9,Đặng Thủ Tín,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,160,,Tiki Trading,available,1000,False,True,True
276586979,Giáo trình tiếng Hoa đương đại - sách bài tập + sách tập viết (1-3),100000,138000,28,0.0,0,2,Đặng Thủ Tín,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,104,,Tiki Trading,available,1000,False,True,True
276586974,Giáo trình tiếng Hoa đương đại - sách giáo viên 1,180000,268000,33,5.0,1,6,Đặng Thủ Tín,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,184,,Tiki Trading,available,1000,False,True,True
276586972,Giáo trình tiếng Hoa đương đại - sách bài học (1-2),179000,238000,25,5.0,1,16,Đặng Thủ Tín,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,160,,Tiki Trading,available,1000,False,True,True
276481950,Tiếng Trung dành cho học sinh tiểu học - Sách bài tập - Tập 3,91000,108000,16,0.0,0,2,"Vương Nguy, Kim Phi Phi",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,80,,Tiki Trading,available,1000,False,True,True
276080823,Giáo trình phát triển hán ngữ nghe trung cấp 1,139000,139000,0,0.0,0,5,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,MCBooks,available,1000,True,True,True
275893217,Sách Bộ tiêu chuẩn phân cấp trình độ giáo dục Trung văn quốc tế - Giáo trình luyện và nhớ nhanh từ vựng - Cấp độ 6,216000,298000,28,5.0,1,21,"Chu Tất Cát, Chu Lực",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,,280,,Tiki Trading,available,1000,False,True,True
275893213,Sách Bộ tiêu chuẩn phân cấp trình độ giáo dục Trung văn quốc tế - Giáo trình luyện và nhớ nhanh từ vựng - Cấp độ 4,207000,248000,17,5.0,1,25,"Chu Tất Cát, Chu Lực",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,,232,,Tiki Trading,available,1000,False,True,True
