id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279242849,"Sách - Sách Giáo Trình Tiếng Trung Thương Mại - Tập 1,2 (Bộ 2 Cuốn)",262200,298000,12,0.0,0,0,Quan Đạo Hùng,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279237268,Sách - Sách Emotional Chinese - Học Tiếng Trung Dễ Như Ăn Kẹo (Trọn bộ),120900,139000,13,0.0,0,0,nhieu tac gia,Fahasa,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131878,Sách - 30 Ngày Khám Phá Tiếng Trung,181000,199000,9,0.0,0,4,nhieu tac gia,Fahasa,Nhà Xuất Bản Thông Tấn,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131459,Sách - Giáo Trình Hán Ngữ Boya - Sơ Cấp - Tập 1 (Phiên Bản 3),175200,219000,20,0.0,0,2,Lý Hiểu Kỳ,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279112318,Sách - Kỷ Nguyên Mới - Giáo Trình Tiếng Trung Giao Tiếp Thương Mại - Tiếng Trung Thực Chiến Trong Kinh Doanh Quốc Tế,162000,180000,10,0.0,0,0,nhieu tac gia,Công ty TNHH Giáo Dục Hải Hà,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278994725,Sách - Lộ Trình Học Tiếng Trung Cho Người Mới Bắt Đầu - Dễ Học Dễ Nhớ Dễ Áp Dụng,126700,169000,25,0.0,0,6,nhieu tac gia,Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278966896,Sách - Bí Quyết Học Nhanh Nhớ Lâu 214 Bộ Thủ Tiếng Trung,62400,79000,21,0.0,0,2,Đăng Khoa,AZ Việt Nam,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278906840,Sách - Emotional Chinese - Học Tiếng Trung Dễ Như Ăn Kẹo - Tập 3 - Cất Cánh - Sách Bài Tập,148700,169000,12,0.0,0,2,nhieu tac gia,Fahasa,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278906632,Sách - Emotional Chinese - Học Tiếng Trung Dễ Như Ăn Kẹo - Tập 1 - Khởi Động - Sách Bài Tập,116700,139000,16,0.0,0,7,nhieu tac gia,Fahasa,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278906600,Sách - Emotional Chinese - Học Tiếng Trung Dễ Như Ăn Kẹo - Tập 2 - Tăng Tốc - Sách Bài Tập,145300,169000,14,0.0,0,3,nhieu tac gia,Fahasa,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278872217,Sách Hướng Dẫn Ngữ Pháp HSK 1-2-3: Học - Thi - Ứng Dụng,260000,350000,26,0.0,0,3,Nhiều tác giả,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,432,,Tiki Trading,available,1000,False,True,True
278761339,Sách - Bộ Sách Sổ Luyện Viết Trong Tiếng Trung - Bộ Thủ + Nét Chữ + Nét Bút (Bộ 3 Cuốn),139400,168000,17,0.0,0,2,nhieu tac gia,AZ Việt Nam,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278761087,Sách - Giáo Trình Hán Ngữ 5 - Tập 3 - Quyển Thượng (Phiên Bản Mới) (Tái Bản 2025),120600,149000,19,0.0,0,1,Đại học Ngôn ngữ Bắc Kinh,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278760973,Sách - Giáo Trình Hán Ngữ 3 - Tập 2 - Quyển Thượng (Phiên Bản 3) (Tái Bàn 2025),138500,169000,18,0.0,0,1,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713546,Sách - Emotional Chinese - Học Tiếng Trung Dễ Như Ăn Kẹo - Tập 3 - Cất Cánh,246800,287000,14,0.0,0,3,nhieu tac gia,Fahasa,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713532,Sách - Luyện Viết Tiếng Hoa - Nét Bút Cơ Bản,49100,63000,22,0.0,0,2,nhieu tac gia,Cty Văn Hóa Nhân Văn,nxb thanh nien,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713500,Sách - Takenote Ngữ Pháp Tiếng Trung HSK 6,61200,68000,10,0.0,0,4,nhieu tac gia,Megabook,Nhà Xuất Bản Tri Thức,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278713408,Sách - Giáo Trình Tiếng Trung Tăng Cường - Giáo Trình Tổng Hợp - Quyển 3/6 (Khổ Lớn),140800,160000,12,0.0,0,2,nhieu tac gia,Công ty TNHH Giáo Dục Hải Hà,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278380333,Sách Chinh Phục Cấu Trúc - Mẫu Câu Trong Tiếng Hoa Từ A - Z,155000,185000,16,0.0,0,8,Nhiều tác giả,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,440,,Tiki Trading,available,1000,False,True,True
278229316,Sách - Takenote Ngữ Pháp Tiếng Trung HSK 4,61200,68000,10,0.0,0,5,Nguyễn Phương Linh,Megabook,Nhà Xuất Bản Tri Thức,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278229106,Sách - Thực Hành Dịch Tiếng Trung (Sơ-Trung Cấp),80000,88000,9,0.0,0,1,,Chibooks,Nhà Xuất Bản Lao Động,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278228892,Sách - Bộ Tiêu Chuẩn Phân Cấp Trình Độ Giáo Dục Trung Văn Quốc Tế - Giáo Trình Luyện Và Nhớ Nhanh Từ Vựng - Cập Độ 7-9 - Tập 1,331200,368000,10,0.0,0,1,Lý Hiếu Nhàn,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278228800,Sách - Bộ Tiêu Chuẩn Phân Cấp Trình Độ Giáo Dục Trung Văn Quốc Tế - Giáo Trình Luyện Và Nhớ Nhanh Từ Vựng - Cấp Độ 7-9 - Tập 2,349200,388000,10,0.0,0,0,Phan Thái,Cty Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278214403,Ngữ Pháp Và Bài Tập Tổng Hợp HSK3 + HSKK Sơ Cấp - Bản Quyền,147000,155000,5,0.0,0,0,Nguyên Trần,Skybooks,NXB Dân Trí,,Bìa mềm,288,2025-06-28,Sống Official,available,1000,True,True,True
278208585,TakeNote Ngữ Pháp Tiếng Trung HSK 5,64600,68000,5,0.0,0,0,Nguyễn Phương Linh,Megabook,Nhà Xuất Bản Tri Thức,,Bìa mềm,70,2025-06-27,Cá Chép Bookstore,available,1000,True,True,True
