id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278856981,Sách 214 Bộ Thủ,114900,128000,10,0.0,0,3,Đào Văn Tường,Công Ty TNHH Sách Và Truyền Thông Việt Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,52.0,,Tiki Trading,available,1000,False,True,True
278851379,Sách Bí Quyết Học Nhanh Nhớ Lâu 214 Bộ Thủ Tiếng Trung,60830,79000,23,5.0,1,15,Đăng Khoa,Bookland,Nhà Xuất Bản Dân Trí,,Bìa mềm,128.0,2025-11-12,Tiki Trading,available,1000,False,True,True
278760226,Combo sách học tiếng Trung - Tiếng Trung GenZ + Không có từ đễ dàng V-T + Gửi cậu một cái ôm V-T + Chưa kịp lớn V-T,182490,237000,23,0.0,0,0,"Yangdexin Team, Tú Linh Podcast, The Phan Tóc Quoăn, Amy Trương",Công Ty Cổ Phần Time Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,264.0,,SÁCH TIMEBOOKS,available,1000,True,True,True
278722778,Sách - Cẩm Nang Nâng Cấp Từ Vựng Tiếng Trung Theo Chủ Đề Tập 1 Và Tập 2,82000,89000,8,0.0,0,1,Thanh Hằng,Skybooks,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,240.0,,Nhân Văn,available,1000,True,True,True
278682938,Sách Mindmap Tiếng Trung Theo Giáo Trình Hán Ngữ (Phân Loại Lẻ),83000,109000,24,5.0,1,16,Nhiều tác giả,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278681244,Combo Mindmap Ngữ Pháp Tiếng Trung Và Mindmap Từ Vựng Tiếng Trung Theo Giáo Trình Hán Ngữ,219000,288000,24,0.0,0,22,Nhiều tác giả,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278636708,Sách Nhập Môn Tiếng Trung,70400,88000,20,5.0,1,4,Lưu Hiểu Vũ,Moon Books,Nhà Xuất Bản Văn Học,,Bìa mềm,96.0,2025-09-15,Tiki Trading,available,1000,False,True,True
278238287,Sách Top 1000 Từ Tiếng Trung Thông Dụng Theo Chủ Đề,147200,189000,22,5.0,1,11,"Lee Jaekyung, Pei Xianglu",Cty Công Nghệ Gamma,Nhà Xuất Bản Thế Giới,,Bìa mềm,336.0,2025-07-25,Tiki Trading,available,1000,False,True,True
277552738,Sách- Combo:Giáo trình chuẩn YCT Tập 2 (Sách Bài Học - Bài Tập)+KÈM MP3 NGHE ONLINE,190080,216000,12,0.0,0,5,nhieu tac gia,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,76.0,2024-03-01,Nhà Sách Dân Tiếng Trung,available,1000,True,True,True
277024636,Sách Tiếng Trung dành cho học sinh trung học,137000,198000,31,0.0,0,27,"Chu Thuỵ Bình, Phùng Lệ Bình",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,134.0,2025-01-09,Tiki Trading,available,1000,False,True,True
275839223,Sách Combo:Giáo trình môn đọc hiểu Tiếng Trung Tập 1+ Tập 2+DVD tài liệu,79200,90000,12,5.0,1,4,Trương Văn Giới - Lê Khắc Kiều Lục,Công ty TNHH Giáo Dục Hải Hà,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,97.0,2024-07-31,Nhà Sách Dân Tiếng Trung,available,1000,True,True,True
272527073,Sách-Combo:Nhớ Hán Tự Thông Qua Chiết Tự Chữ Hán+ Siêu trí nhớ chữ hán Tập 1 + Tập 2 + Tập 3,155000,300000,48,5.0,3,32,nhieu tac gia,CÔNG TY TNHH NHT BOOKS,Nhà Xuất Bản Thanh Niên,,Bìa mềm,588.0,2023-06-30,Nhà Sách Dân Tiếng Trung,available,1000,True,True,True
272525992,Combo-Sách Nhớ Nhanh 214 Bộ Thủ Chữ Hán+Vở Tập Viết 214 Bộ Thủ +10 ngòi bút bay màu,65000,130000,50,5.0,1,35,nhieu tac gia,CÔNG TY TNHH NHT BOOKS,Nhà Xuất Bản Thanh Niên,,Bìa mềm,115.0,2023-07-31,Nhà Sách Dân Tiếng Trung,available,1000,True,True,True
272521996,Sách - Nhớ Nhanh 214 Bộ Thủ Chữ Hán,125000,250000,50,3.7,3,55,nhieu tac gia,CÔNG TY TNHH NHT BOOKS,Nhà Xuất Bản Thanh Niên,,Bìa mềm,115.0,2023-09-30,Nhà Sách Dân Tiếng Trung,available,1000,True,True,True
