id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
275236881,Luyện Thi Năng Lực Nhật Ngữ Trình Độ N2 - Hán Tự,85000,85000,0,0.0,0,0,,NXB Trẻ,NXB Trẻ,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
275236644,Luyện Thi Năng Lực Nhật Ngữ Trình Độ N2 - Đọc Hiểu,70000,70000,0,0.0,0,0,,NXB Trẻ,NXB Trẻ,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
273478921,2500 Từ Vựng Dành Cho Kỳ Thi Năng lực Nhật ngữ N2-Sách Học Tiếng Nhật,135000,135000,0,0.0,0,0,nhieu tac gia,NXB Trẻ,NXB Trẻ,,Bìa mềm,306,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
273454695,2500 Từ Vựng Cần Thiết Cho Kỳ Thi Năng Lực Nhật Ngữ N2,135000,135000,0,0.0,0,0,Arc Academy,NXB Trẻ,NXB Trẻ,,Bìa mềm,306,2023-11-28,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
273423214,Giáo Trình Luyện Thi Năng Lực Tiếng Nhật Try! - N2 (Kèm 1 CD),66500,95000,30,0.0,0,6,Nhóm tác giả,Cty Văn Hóa Nhân Văn,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,251,,Nhân Văn,available,1000,True,True,True
273377046,2500 Từ Vựng Cần Thiết Cho Kỳ Thi Năng Lực Nhật Ngữ N2 (Tái Bản 2023),128200,135000,5,5.0,1,5,Arc Academy,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
271999126,500 Câu Hỏi Luyện Thi Năng Lực Nhật Ngữ - Trình Độ N2 (Tái Bản 2023),82800,90000,8,0.0,0,1,"Matsumoto,  Sasaki Hitoko",NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
270785875,Kỳ Thi Năng Lực Nhật Ngữ N2 - Bộ Luyện Thi 3 Bộ Đề - Bản Quyền,190000,190000,0,0.0,0,0,,NXB Trẻ,NXB Trẻ,,,,,Bamboo Books,available,1000,True,True,True
270772218,Try Kỳ thi năng lực Nhật ngữ N2 Phát triển các kỹ năng tiếng Nhật từ ngữ pháp - Bản Quyền,120000,120000,0,0.0,0,0,,NXB Trẻ,NXB Trẻ,,,,,Bamboo Books,available,1000,True,True,True
263564208,Kỳ Thi Năng Lực Nhật Ngữ N2 - Bộ Đề Luyện Thi 3 Bộ Đề,190000,190000,0,0.0,0,0,,NXB Trẻ,oem,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
263088501,Kỳ Thi Năng Lực Nhật Ngữ N2 - Bộ Đề Luyện Thi 3 Bộ Đề,190000,190000,0,0.0,0,0,,Bloomsbury Childrens - NXB Trẻ,NXB Trẻ,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
263088499,Kỳ Thi Năng Lực Nhật Ngữ N2 - Bộ Đề Luyện Thi 3 Bộ Đề,190000,190000,0,0.0,0,0,,Bloomsbury Childrens - NXB Trẻ,NXB Trẻ,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
263088497,Kỳ Thi Năng Lực Nhật Ngữ N2 - Bộ Đề Luyện Thi 3 Bộ Đề,190000,190000,0,0.0,0,0,,Bloomsbury Childrens - NXB Trẻ,NXB Trẻ,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
262803182,Kỳ Thi Năng Lực Nhật Ngữ N2 - Bộ Đề Luyện Thi 3 Bộ Đề,157700,190000,17,4.0,1,5,,NXB Trẻ,NXB Trẻ,,Bìa mềm,336,2023-06-07,Nhà Xuất Bản Trẻ,available,1000,True,True,True
262792264,Kỳ Thi Năng Lực Nhật Ngữ N2 - Bộ Đề Luyện Thi (3 Bộ Đề),171000,190000,10,0.0,0,2,,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
262662794,Sách Kỳ thi năng lực Nhật ngữ N2 - Bộ đề luyện thi 3 bộ đề,171000,190000,10,5.0,2,32,Nhiều tác giả,NXB Trẻ,NXB Trẻ,,Bìa mềm,336,2023-06-07,Tiki Trading,available,1000,False,True,True
247921848,Luyện Thi Năng Lực Nhật Ngữ Trình Độ N2 - Nghe Hiểu _TRE,66000,66000,0,0.0,0,0,"Sasaki Hitoko,  Matsumoto Noriko",NXB Trẻ,NXB Trẻ,,Bìa mềm,150,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
247843126,500 Câu Hỏi Luyện Thi Năng Lực Nhật Ngữ Trình Độ N2,90000,90000,0,0.0,0,0,,Công ty cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,NXB Trẻ,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
