id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
277043048,Sách Đặc điểm ngữ âm và quy tắc phát âm trong tiếng Nhật,119000,179000,34,0.0,0,11,Nguyễn Hoài Khánh,Công Ty TNHH Sách Và Truyền Thông Việt Nam,Nhà Xuất Bản Thanh Niên,,Bìa mềm,140,2025-01-15,Tiki Trading,available,1000,True,True,True
276074164,Sách Tsunagu Nihongo. Tiếng Nhật kết nối - Sơ cấp 1,87000,105000,17,0.0,0,8,"Human Academy Co.LTD, Tsuji Azuko, Kojima Minako, Ozama Ai, Katsura Miho",NXB Trẻ,NXB Trẻ,,Bìa mềm,196,2024-08-29,Tiki Trading,available,1000,False,True,True
276074160,Tsunagu Nihongo. Tiếng Nhật kết nối - Sơ cấp - Sách giải thích ngữ pháp,145000,170000,15,0.0,0,6,"Tsuji Azuko, Ozama Ai",NXB Trẻ,NXB Trẻ,,Bìa mềm,336,2024-08-29,Tiki Trading,available,1000,False,True,True
274875234,Tiếng Nhật - 4500 Câu Giao Tiếp (Kèm CD) - Vanlangbooks,44000,55000,20,0.0,0,1,Tri Thức Việt,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Văn Lang Official Store,available,1000,True,True,True
271529531,Sách Tiếng Nhật Tại Hiện Trường Làm Việc,49000,70000,30,5.0,2,47,The Association for Overseas Technical Cooperation and Sustainble Partnerships (AOTS),NXB Trẻ,NXB Trẻ,,Bìa mềm,124,2023-05-09,Tiki Trading,available,1000,False,True,True
271297213,Tiếng Nhật Cho Mọi Người Sơ Cấp 2 - Bản Tiếng Nhật,180000,180000,0,0.0,0,2,nhieu tac gia,NXB Trẻ,NXB Trẻ,,Bìa mềm,328,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
270790993,Tiếng Nhật Cho Mọi Người Sơ Cấp 1 (Bản Tiếng Nhật) - Bản Quyền,175000,175000,0,0.0,0,0,,NXB Trẻ,NXB Trẻ,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
263196816,Combo Giáo Trình Marugoto A2 - Sơ Cấp 1 (Bộ 2 Cuốn) _FN,320000,320000,0,0.0,0,1,Janpan Foundation,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
263103197,Tiếng Nhật Cho Mọi Người Sơ Cấp 1 - 25 Bài Luyện Nghe,67500,75000,10,5.0,1,16,"Makino Akiko,  Tanaka Yone,  Kitagawa Itsuko",NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
262852739,Tiếng Nhật Cho Mọi Người - Sơ Cấp 2 - Bản Tiếng Nhật (Bản Mới) (Tái Bản 2023),172800,180000,4,0.0,0,5,Nhiều tác giả,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
253660543,Sách Giao tiếp tiếng Nhật trong kinh doanh Basic 1 - Bản Quyền,258000,258000,0,0.0,0,0,,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,,,,Bamboo Books,available,1000,True,True,True
248117452,Combo Học Tiếng Nhật-bộ Minna no Nihongo-Tiếng Nhật dành cho mọi người-Sơ cấp 1-Bộ7Cuốn : 25 bài Đọc Hiểu+25 bài Luyện Nghe+Viết-Nhớ Các Mẫu câu+Bản Tiếng Nhật+Hán Tự+Bản Dịch Và Giải Thích Ngữu Pháp-Tiếng Việt+Tổng Hợp Các Bài Tập Chủ Điểm(Tặng kèm Viết),680000,680000,0,5.0,11,52,nhieu tac gia,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,NHBook,available,1000,True,True,True
247658100,Tiếng Nhật Cho Mọi Người Sơ Cấp 1 - 25 Bài Luyện Nghe _TRE,75000,75000,0,0.0,0,0,"Makino Akiko, Tanaka Yone, Kitagawa Itsuko",NXB Trẻ,NXB Trẻ,,Bìa mềm,132,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
212213853,Tiếng Nhật Xã Giao Hằng Ngày (Kèm CD)_QV,86000,86000,0,0.0,0,0,,Nhà Sách Quang Vinh,Nhà Xuất Bản Thanh Niên,,Bìa mềm,,,NewShop Official,available,1000,True,True,True
181256759,Giáo Trình Marugoto - Sơ Cấp 1 - A2 - Hiểu Biết Ngôn Ngữ Văn Hóa Nhật,160000,160000,0,0.0,0,0,Janpan Foundation,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,204,2019-05-23,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
181256722,Giáo Trình Marugoto A2 - Sơ Cấp 1 - A2 - Hoạt Động Giao Tiếp,190000,190000,0,0.0,0,1,Janpan Foundation,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,184,2019-05-10,info book,available,1000,True,True,True
177515461,MARUGOTO NGÔN NGỮ VÀ VĂN HÓA NHẬT BẢN - TRUNG CẤP 2/B1,220000,220000,0,0.0,0,0,The Japan Foundation,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,288,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
177340565,Tiếng Nhật Cho Mọi Người Sơ Cấp 1 - Viết - Nhớ Các Mẫu Câu,90000,90000,0,0.0,0,0,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,info book,available,1000,True,True,True
177338102,Tiếng Nhật Cho Mọi Người Sơ Cấp Bản Mới: Tập Viết Theo Chủ Đề Với Các Bài Văn Mẫu,85000,85000,0,0.0,0,0,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,info book,available,1000,True,True,True
176723787,Combo Trọn Bộ Tự Học Tiếng Nhật Dành Cho Người Việt ( Tập Viết Tiếng Nhật Căn Bản Katakana + Tập Viết Tiếng Nhật Căn Bản Hiragana + 28 Ngày Tự Học Tiếng Nhật ) / Tặng kèm móc khóa,311500,311500,0,5.0,11,56,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,AHABOOKS,available,1000,True,True,True
172844633,Combo Marugoto Ngôn Ngữ Và Văn Hóa Nhật Bản Trung Cấp 1/B1 + Trung Cấp 2/B1,357000,420000,15,0.0,0,0,,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,,,Bảo Châu Books,available,1000,True,True,True
172206432,Sách Marugoto - Ngôn Ngữ Và Văn Hóa Nhật Bản: Trung Cấp 2 - B1,154000,220000,30,4.7,12,107,The Japan Foundation,FIRST NEWS,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,292,2022-03-01,Tiki Trading,available,1000,False,True,True
169401095,Combo học tốt tiếng Nhật:   TIẾNG NHẬT CHO MỌI NGƯỜI - SƠ CẤP 1 - BẢN TIẾNG NHẬT (Bản Mới) +  TIẾNG NHẬT CHO MỌI NGƯỜI - SƠ CẤP 2 - BẢN TIẾNG NHẬT,320250,320250,0,0.0,0,3,,NXB Trẻ,NXB Trẻ,,,,,AHABOOKS,available,1000,True,True,True
167614158,Giao Tiếp Tiếng Nhật Trong Kinh Doanh - Basic 1,258000,258000,0,0.0,0,0,,First News - Trí Việt,oem,,,,,Bamboo Books,available,1000,True,True,True
82499694,Sách Marugoto - Ngôn Ngữ Và Văn Hóa Nhật Bản: Trung Cấp 1 - B1,195500,230000,15,4.7,3,27,Japan Foundation,First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa mềm,272,2021-03-15,First News,available,1000,True,True,True
67966612,Sách Tiếng Nhật Cho Mọi Người Sơ Cấp 2 - 25 Bài Luyện Nghe,71200,75000,5,5.0,38,190,"Makino Akiko,  Tanaka Yone,  Kitagawa Itsuko",NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
64704124,Đàm Thoại Tiếng Nhật - Làm Việc Trong Doanh Nghiệp Nhật Bản,68600,98000,30,4.8,8,65,Midori Iwasawa - Noriko Terada,Công Ty CP Văn Hóa Nhân Văn,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,,Bìa mềm,165,,Nhân Văn,available,1000,True,True,True
58751177,Sách 1800 Câu Đàm Thoại Tiếng Nhật Thông Dụng,114500,138000,17,0.0,0,1,"Kit Pancoast Nagamura, Kyoko Tsuchiya",First News - Trí Việt,Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,,Bìa gập,308,2020-07-01,Nhà sách Fahasa,available,1000,True,True,True
41069736,Combo Minna No Nihongo Tiếng Nhật Cho Mọi Người Sơ Cấp 1: 25 Bài Đọc Hiểu Trình Độ Sơ Cấp + 25 Bài Luyện Nghe (Bộ Sách Nâng Cao Kỹ Năng Nghe Và Đọc Hiểu Tiếng Nhật Hiệu Qủa Nhất Dành Cho Người Việt / Tặng Kèm Bookmark Green Life),130000,130000,0,5.0,9,58,.,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,NHBook,available,1000,True,True,True
39324638,Combo Sách Tiếng Nhật Cho Mọi Người  Hán Tự Bản Tiếng Việt Đủ Các Cấp : Tiếng Nhật Cho Mọi Người: Trình Độ Sơ Cấp 1 – Hán Tự (Bản Tiếng Việt) + Tiếng Nhật Cho Mọi Người: Trình Độ Sơ Cấp 2 – Hán Tự (Bản Tiếng Việt)  (Tặng Bookmark Happy Life),191500,191500,0,5.0,1,16,,Nhà Xuất Bản Trẻ,NXB Trẻ,,Bìa mềm,,,Phương Đông Books,available,1000,True,True,True
39324045,Combo Tiếng Nhật Cho Mọi Người Bản Tiếng Nhật Từ Sơ Cấp 1 Đến Sơ Cấp 2 :  Tiếng Nhật Cho Mọi Người - Trình Độ Sơ Cấp 1 - Bản Tiếng Nhật + Tiếng Nhật Cho Mọi Người - Sơ Cấp 2 - Bản Tiếng Nhật  ,319500,319500,0,0.0,0,6,.,-,,,Bìa mềm,,,Phương Đông Books,available,1000,True,True,True
39308461,Combo Sách Học Tiếng Nhật Hay( Bản Tiếng Nhật): Tiếng Nhật Cho Mọi Người - Trình Độ Sơ Cấp 1 - Bản Tiếng Nhật - (Tái Bản) + Tiếng Nhật Cho Mọi Người - Sơ Cấp 2 - Bản Tiếng Nhật (Bản Mới)  ( Tặng Kèm Bookmark Green Life ) ,320250,320250,0,4.7,7,25,Minna no Nihongo,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,AHABOOKS,available,1000,True,True,True
