id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279219228,"Sách - Combo 2 cuốn: Yêu mẹ bằng dải ngân hà, Yêu con bằng dải ngân hà (Bộ sách dưỡng sữa - Tác giả: Hà Phương Kachiusa)",155000,155000,0,0.0,0,6,Hà Phương Kachiusa,Công Ty TNHH Xuất bản và Giáo dục Mochibooks,Nhà Xuất Bản Lao Động,,Bìa cứng,,2026-03-11,Nhà sách Mochibooks,available,1000.0,True,True,True
279131161,Một Đứa Trẻ Giàu Tâm Hồn Sẽ Trưởng Thành Như Thế Nào,213400,279000,24,0.0,0,7,Park Soyoung,Thái Hà,Nhà Xuất Bản Công Thương,,,336,2026-01-15,Tiki Trading,available,1000.0,False,True,True
279084628,Những Tương Lai Được Đánh Thức,78000,108000,28,0.0,0,1,Nguyễn Thị Phương Hoa,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,240,2026-01-15,VIETNAMBOOK,available,1000.0,True,True,True
278843832,Sách Con Cái Chúng Ta Đều Tốt,145600,208000,30,0.0,0,26,Dr. Becky Kennedy,First News - Trí Việt,Nhà Xuất Bản Dân Trí,,Bìa mềm,432,,Tiki Trading,available,1000.0,False,True,True
278710217,Combo Tủ Sách Nếp Nhà (3 Cuốn),98000,100000,2,0.0,0,23,"Đạm Phương Nữ Sử, Ôn Như Lương Văn Can, Nguyễn Bá Học",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
278665018,Sách Gen Alpha Và Áp Lực Thành Tích,132900,189000,30,0.0,0,30,Jennifer Breheny Wallace,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
278090763,Combo 3 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến 2,366000,477000,23,5.0,288,104,"Hachun Lyonnet (Hà Chũn), Hương Đỗ (Mẹ Ong Bông)",Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,736,2022-01-01,Tiki Trading,available,1000.0,False,True,True
278071246,Sách - Cảm Xúc Của Mẹ Ảnh Hưởng Tới Cuộc Đời Của Con - Phương Pháp Quản Lý Cảm Xúc,158000,158000,0,0.0,0,23,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Văn Học,,,,,Tiên Phong Books Việt Nam,available,1000.0,True,True,True
277925823,Sách Nuôi Dạy Trẻ Từ 0-3 tuổi/3-6 Tuổi,143650,199000,28,0.0,0,16,Shiomi Toshiyuki,Thái Hà,Nhà Xuất Bản Công Thương,,,248,,Tiki Trading,available,1000.0,False,True,True
276834434,Sách Kể Chuyện Trị Liệu - 101 Câu chuyện Chữa lành giúp Chuyển hoá Hành vi Thách thức & Xây dựng Kỷ luật Tự thân cho Trẻ em,169000,249000,32,5.0,2,70,Susan Perrow,Thái Hà,Nhà Xuất Bản Công Thương,,,448,2024-12-19,Tiki Trading,available,1000.0,False,True,True
