id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
273789423,Phương Pháp Dạy Con Thành Tài Của Người Do Thái (Tái Bản 2023),101200,115000,12,0.0,0,4,Phạm Hồng,Nhà sách Minh Thắng,hong duc,,,,,Nhà sách Fahasa,available,1000,True,True,True
273604927,Combo 2 Cuốn: Giúp Con Tự Lập Từ 0 6 Tuổi + Phương Pháp Giáo Dục Con Của Người Do Thái,147000,147000,0,0.0,0,2,,Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,AHABOOKS,available,1000,True,True,True
271270202,Sách Nhật ký nuôi dạy tâm hồn từ Kinh cổ Do Thái: Hoàng đế La Mã và thầy đạo,39370,54000,27,5.0,1,6,Kyowon,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,32,2023-03-24,Tiki Trading,available,1000,False,True,True
271270191,Sách Nhật ký nuôi dạy tâm hồn từ Kinh cổ Do Thái: Cuộc phiêu lưu của thầy đạo Akiba,39370,54000,27,5.0,1,7,Kyowon,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,32,2023-03-24,Tiki Trading,available,1000,False,True,True
271270170,Sách Nhật Ký Nuôi Dạy Tâm Hồn Từ Kinh Cổ Do Thái - Bảo Vật Vĩnh Cửu - Thầy Đạo Xấu Xí - Khiêm Tốn,39370,54000,27,5.0,1,4,Kyowon,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,32,2023-03-24,Tiki Trading,available,1000,False,True,True
271270146,Sách Nhật ký nuôi dạy tâm hồn từ Kinh cổ Do Thái: Trứng luộc và Đậu luộc,39370,54000,27,0.0,0,5,Kyowon,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,32,2023-03-24,Tiki Trading,available,1000,False,True,True
270708076,Dạy Con Kiểu Do Thái - Phương Pháp Giáo Dục Từ Các Danh Nhân,65000,65000,0,0.0,0,0,Kim Jung Jin,NXB Hồng Đức,Nhà Xuất Bản Hồng Đức,,Bìa mềm,149,,Bamboo Books,available,1000,True,True,True
270471944,Phương Pháp Giáo Dục Con Của Người Do Thái (Tái Bản) - Bản Quyền,85000,85000,0,0.0,0,0,,minhlongbook,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
263085221,Mẹ Do Thái Dạy Con Tự Lập (Tái Bản 2022),103500,115000,10,0.0,0,5,Marjorie Ingall,Thái Hà,Nhà Xuất Bản Lao Động,,,,,Nhà sách Fahasa,available,1000,True,True,True
262836599,Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương - Tập 3,119000,119000,0,0.0,0,0,,Alphabooks,oem,,,,,info book,available,1000,True,True,True
253467812,Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương - Tập 2,114000,149000,23,0.0,0,1,,Alphabooks,Nhà Xuất Bản Dân Trí,,,,,Alpha Books Official,available,1000,True,True,True
252138425,Sách Bí quyết dạy con về tiền bạc của mẹ Do Thái - MCBOOKS - BẢN QUYỀN,128000,128000,0,0.0,0,0,,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
248801371,Nhật Ký Nuôi Dạy Tâm Hồn Từ Kinh Cổ Do Thái: 12 Phẩm Chất Con Yêu Cần Có - Sách Nuôi Dạy Con,648000,648000,0,5.0,2,34,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,NHBook,available,1000,True,True,True
212323844,Bí Quyết Dạy Con Về Tiền Bạc Của Mẹ Do Thái,128000,128000,0,0.0,0,0,,NXB Hồng Đức,Nhà Xuất Bản Hồng Đức,,Bìa mềm,295,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
208643632,"Vô Cùng Tàn Nhẫn, Vô Cùng Yêu Thương Tập 1 (Tái bản mới nhất) - Bản Quyền",189000,189000,0,0.0,0,0,,Alphabooks,Nhà Xuất Bản Dân Trí,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
203840749,Sách - Nghệ thuật dạy con từ kinh Talmud,135000,135000,0,0.0,0,0,,Không có,Không có,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
188301266,Combo 3 Quyển Nuôi Con: Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở + Để Con Được Ốm + Phương Pháp Giáo Dục Con Của Người Do Thái - Giúp Trẻ Tự Tin Bước Vào Cuộc Sống (Tặng Kèm Book mark),490000,490000,0,0.0,0,1,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,NHBook,available,1000,True,True,True
188299213,Phương Pháp Giáo Dục Con Của Người Do Thái - Giúp Trẻ Tự Tin Bước Vào Cuộc Sống,85000,85000,0,0.0,0,0,,Minh Long,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
187845679,Combo 2 cuốn sách Làm Cha Mẹ: Phương Pháp Giáo Dục Con Của Người Do Thái - Giúp Trẻ Tự Tin Bước Vào Cuộc Sống  + Nghệ Thuật Dạy Con Từ Kinh Talmud (20 Câu Chuyện Sâu Sắc Từ Bộ Kinh Cổ Của Người Do Thái),191650,191650,0,0.0,0,9,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,Phương Đông Books,available,1000,True,True,True
187811635,Combo 2 cuốn sách Làm Cha Mẹ: Phương Pháp Giáo Dục Con Của Người Do Thái - Giúp Trẻ Tự Tin Bước Vào Cuộc Sống + Cách Khen Cách Mắng Cách Phạt Con (Tái Bản),122500,122500,0,0.0,0,6,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,Phương Đông Books,available,1000,True,True,True
187805104,Combo 2 cuốn sách Làm Cha Mẹ: Phương Pháp Giáo Dục Con Của Người Do Thái - Giúp Trẻ Tự Tin Bước Vào Cuộc Sống + Để Con Được Ốm (Tái Bản 2018),210500,210500,0,0.0,0,4,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,Phương Đông Books,available,1000,True,True,True
186112407,Sách Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương T2 (Tái bản),118800,149000,20,5.0,9,112,Sara Imas,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,332,2022-06-01,Tiki Trading,available,1000,False,True,True
180586236,Combo 2Q: Phương Pháp Giáo Dục Con Của Người Do Thái + Ăn Dặm Kiểu Nhật (Sách Nuôi Con/Làm Cha Mẹ) (Tặng Kèm Bookmark thiết kế),266500,266500,0,0.0,0,0,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,AHABOOKS,available,1000,True,True,True
180585848,Combo 2Q: Phương Pháp Giáo Dục Con Của Người Do Thái + Phương Pháp Ăn Dặm Bé Chỉ Huy (Baby Led-Weaning) (Tặng Kèm Bookmark Thiết Kế),181500,181500,0,5.0,1,5,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,AHABOOKS,available,1000,True,True,True
180399991,Dạy Con Kiểu Do Thái - Phương Pháp Giáo Dục Từ Các Danh Nhân,65000,65000,0,0.0,0,1,Kim Jung Jin,Cty Văn Hóa Văn Lang,Nhà Xuất Bản Hồng Đức,,,,,Bamboo Books,available,1000,True,True,True
177569711,"Sách Dạy Con Kiểu Do Thái
(Phương Pháp Giáo Dục Bên Bàn Ăn Kiểu Hàn)",85000,115000,26,5.0,2,12,Kim Jung Jin,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,280,2022-04-01,Tiki Trading,available,1000,False,True,True
176709750,"Combo Cẩm Nang Bồi Đắp Kỹ Năng Và Phát Triển Cho Trẻ : Phương Pháp Giáo Dục Con Của Người Do Thái+ Cùng Con Học Nói Chuyển Hóa Bản Thân, Trao Quyền Cho Con Cái (Dạy Con Theo Cách Người Nhật / Tặng Kèm Bookmark Happy Life) ",213500,213500,0,0.0,0,2,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,Phương Đông Books,available,1000,True,True,True
