id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278761361,Sách - Phương Pháp Giúp Con Biết Cách Cân Bằng Game Và Cuộc Sống,148000,185000,20,0.0,0,2,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
275703757,Sách Mẹ Nhật Thai Giáo,68500,89000,23,5.0,7,427,Akira Ikegawa,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,160,2021-08-15,Tiki Trading,available,1000,False,True,True
273238519,Kinh Nghiệm Từ Nước Nhật - 49 Bí Quyết Giúp Trẻ Lắng Nghe Và Truyền Đạt (Tái Bản 2023),70000,70000,0,0.0,0,1,Arimoto Hidefumi,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
271163101,Nuôi Dạy Con Kiểu Nhật - Những Trò Chơi Giúp Trẻ 0-2 Tuổi Phát Triển Toàn Diện Thể Chất Và Tâm Hồn,74200,75000,1,0.0,0,7,,Công Ty Cổ Phần Văn Hóa Pingbooks,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,180,,Minhhabooks,available,1000,True,True,True
263256541,Kinh Nghiệm Từ Nước Nhật - Giúp Con Tự Lập Từ 0-6 Tuổi (Tái Bản 2023),62000,62000,0,0.0,0,1,Masaaki Yatagai,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,124,,Bamboo Books,available,1000,True,True,True
247240251,Dạy Con Kiểu Nhật - Giai Đoạn 0 Tuổi (Tái Bản),129000,129000,0,0.0,0,0,,Sách điện tử Thái Hà,Nhà Xuất Bản Lao Động Xã Hội,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
229731933,Tủ sách làm cha mẹ - Kỉ luật mềm của trái tim - Mẹ Việt dạy con kiểu Nhật Bản,65000,65000,0,0.0,0,1,, NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,Bamboo Books,available,1000,True,True,True
181562813,Nghệ Thuật Dạy Con Làm Việc Nhà Của Người Nhật Tập 1,89000,89000,0,0.0,0,0,,Thái Hà Book,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
181473090,Dạy con kỹ năng sống  theo cách mẹ nhật - 1980books,169000,169000,0,0.0,0,0,,1980 Books,NXB Dân Trí,,Bìa mềm,344,2022-05-18,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
138422825,Dạy Con Kiểu Nhật - Giai Đoạn 0 Tuổi,129000,129000,0,0.0,0,0,,Thái Hà Book,Nhà Xuất Bản Lao Động,,Bìa mềm,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
123447208,Sách - Kinh nghiệm từ nước Nhật - 42 bí quyết giúp trẻ tự tin và dũng cảm trong quan hệ bạn bè,62000,62000,0,0.0,0,0,"Aikawa Atsushi, Igari Emiko",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,112,2020-07-14,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
116406087,Mẹ Nhật Thai Giáo (Tái Bản),79000,79000,0,0.0,0,1,Akira Ikegawa,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,160,2021-08-15,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
101995188,Sách Những Thắc Mắc Trong Cuộc Sống Thường Nhật (15 Tình Huống Cùng Con Vượt Qua Khó Khăn),73440,102000,28,5.0,6,132,Sophie De Mullenheim,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,100,2021-05-01,Tiki Trading,available,1000,False,True,True
95218453,Sách Dạy Con Kiểu Nhật - Giai Đoạn 1 Tuổi (Tái Bản),97000,129000,25,5.0,1,41,Kubota Kisou,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,80,2021-05-01,Tiki Trading,available,1000,False,True,True
91552802,Combo sách hay về nuôi dạy con cho cha mẹ: Lần Đầu Làm Mẹ + Lần Đầu Làm Bố + Thai Giáo Theo Chuyên Gia 280 Ngày + Cha Mẹ Nhật Dạy Con Tự Lập,525500,525500,0,0.0,0,7,,Nhiều công ty phát hành,Nhà Xuất Bản Lao Động,,,,,AHABOOKS,available,1000,True,True,True
67199937,Giáo dục sớm: Nuôi con Kiểu nhật 1 (Trẻ em là thiên tài + Dạy con làm việc nhà + Thiên tài và sự giáo dục từ sớm),258400,304000,15,0.0,0,0,"GS. Makoto Shichida, Kimura Kyuichi",First News - Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,,,Bảo Châu Books,available,1000,True,True,True
47801556,Sách Để Con Ngủ Yên,43000,60000,28,5.0,1,22,Kayoko Ito,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,152,2020-01-02,Tiki Trading,available,1000,True,True,True
38108638,Sách Mẹ Nhật Dạy Con Thành Tài Trước Năm 12 Tuổi,71700,92000,22,5.0,1,13,Ayumi Tami,NXB Phụ Nữ Việt Nam,,,Bìa mềm,200,2019-10-01,Nhà sách Fahasa,available,1000,True,True,True
36340107,"Combo Sách Nuôi Dạy Con - Kinh Nghiệm Từ Người Mẹ Nhật: 42 Bí Quyết Giúp Trẻ Tự Tin Và Dũng Cảm Trong Quan Hệ Bạn Bè + 43 Kĩ Năng Kiểm Soát Tức Giận + Mẹ Tập Thói Quen Hay, Con Trưởng Thành Hạnh Phúc - (Những Kĩ Năng Cơ Bản Dành Cho Phụ Huynh / Tặng Kèm P",182500,182500,0,5.0,3,26,.,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,AHABOOKS,available,1000,True,True,True
35444705,Combo Cha Mẹ Nhật Dạy Con Tự Lập Và Cha Mẹ Nhật Dạy Con Lắng Nghe Hơn Là La Mắng (Bộ 2 Cuốn),152350,152350,0,0.0,0,0,,Nhiều công ty phát hành,Nhà Xuất Bản Phụ Nữ,,,,,AHABOOKS,available,1000,True,True,True
23433244,Nuôi Dạy Con Kiểu Nhật Bản (Tái Bản 2019),95000,95000,0,5.0,1,12,"Akehashi Daiji,  Ohta Tomoko",NXB Phụ Nữ,,,,,,Bamboo Books,available,1000,True,True,True
23382544,Combo 3 cuốn sách nuôi dậy con tốt nhất : Nuôi Dạy Bé Trai Theo Cách Mẹ Nhật + Cha Mẹ Nhật Dạy Con Tự Lập + Phương Pháp Dạy Con Không Đòn Roi ( Tặng kèm Postcard Happy Life),303500,319500,5,5.0,1,33,.,Quảng Văn,Nhiều Nhà Xuất Bản,,Bìa mềm,,,Phương Đông Books,available,1000,True,True,True
22725674,Sách Kinh Nghiệm Từ Nước Nhật - Giúp Con Tự Lập Từ 0-6 Tuổi,60700,62000,2,4.5,26,462,Masaaki Yatagai,Nhà Xuất Bản Kim Đồng,,,Bìa mềm,132,2019-07-01,Nhà sách Fahasa,available,1000,True,True,True
15249070,Combo Mẹ Nhật Thai Giáo và Lần Đầu Làm Mẹ ( Tặng Kèm Sổ Tay ),388000,388000,0,4.7,15,200,"Akira Ikegawa, Masato Takeuchi",Thái Hà,,,Bìa mềm,504,2019-02-01,NHBook,available,1000,True,True,True
14997093,Sách Nghệ Thuật Dạy Con Làm Việc Nhà Của Người Nhật (Tập 2),83700,93000,10,5.0,1,12,Nagisa Tatsumi,Thái Hà,,,Bìa mềm,279,2019-05-01,Nhà sách Fahasa,available,1000,True,True,True
13624074,Sách Không Có Trẻ Hư - Hiểu Và Phát Huy Khí Chất Con Bạn Theo Kiểu Nhật Bản,115000,115000,0,0.0,0,8,Erika Takeuchi,NXB Trẻ,NXB Trẻ,,Bìa mềm,226,2019-04-01,Bamboo Books,available,1000,True,True,True
10579831,Trọn bộ 3 cuốn dạy con kiểu nhật,292000,387000,25,5.0,2,42,Kubota Kisou,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,,,THAIHABOOKS,available,1000,True,True,True
7270519,Sách Kỉ Luật Mềm Của Trái Tim - Mẹ Việt Dạy Con Kiểu Nhật Bản,64000,65000,2,4.8,166,3553,Nguyễn Thị Thu,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,300,2018-11-01,Tiki Trading,available,1000,False,True,True
7229789,Sách Học Montessori Để Dạy Trẻ Theo Phương Pháp Montessori - Trọn Bộ 4 Cuốn (Tặng kèm sổ tay giáo dục gia đình Nhật Bản),297800,313500,5,4.8,40,262,Marie-Hélène Place - Ève Herrmann,Đinh Tị,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,399,2018-09-09,Phương Đông Books,available,1000,True,True,True
6073673,Sách Nuôi Dạy Con - Cha Mẹ Nhật Dạy Con Tự Lập,62400,69000,10,0.0,0,0,Sugahara Yuko,Quảng Văn,Nhà Xuất Bản Văn Học,,Bìa mềm,232,2015-02-10,Play With Me,available,1000,True,True,True
2619493,Sách Dạy Con Kiểu Nhật - Giai Đoạn Trẻ 2 Tuổi (Tái Bản),97000,129000,25,4.8,48,1090,Kubota Kisou,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,80,2018-06-13,Tiki Trading,available,1000,False,True,True
1938699,Sách Dạy Con Kiểu Nhật - Giai Đoạn Trẻ 0 Tuổi (Tái Bản),94500,129000,27,4.8,141,3649,Kubota Kisou,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,80,2018-01-03,Tiki Trading,available,1000,False,True,True
1056758,Sách Super Chef - Con Trở Thành Siêu Đầu Bếp - Tập 6 (Các Món Nhật - Hàn - Thái),40150,55000,27,0.0,0,3,Nguyễn Mạnh Cường,KNBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,52,2017-10-01,BizbooksJSC,available,1000,True,True,True
573699,Sách Cha Mẹ Nhật Dạy Con Lắng Nghe Hơn Là La Mắng,78200,79000,1,5.0,1,4,Mika Wakuda,Quảng Văn,,,Bìa mềm,220,2017-02-01,Minhhabooks,available,1000,True,True,True
563397,Sách Mẹ Các Nước Dạy Con Trưởng Thành - Mẹ Nhật Dạy Con Trách Nhiệm,72000,72000,0,0.0,0,4,Sun Yu Mei,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,264,2016-12-07,AHABOOKS,available,1000,True,True,True
529684,Sách Cha Mẹ Nhật Dạy Con Thành Tài,54400,55000,1,0.0,0,1,Maki Eto,An Phước Books,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,196,2016-07-25,Minhhabooks,available,1000,True,True,True
425939,Sách Cha Mẹ Nhật Dạy Con Tự Lập,53000,69000,23,4.5,81,6294,Sugahara Yuko,Quảng Văn,,,Bìa mềm,232,2015-02-28,Tiki Trading,available,1000,False,True,True
367793,Sách Dạy Con Kiểu Nhật - Giai Đoạn Trẻ 2 Tuổi,79000,79000,0,0.0,0,1,Kubota Kisou,Thái Hà,Nhà Xuất Bản Lao Động Xã Hội,,Bìa mềm,80,2013-06-10,Bamboo Books,available,1000,True,True,True
367792,Sách Dạy Con Kiểu Nhật - Giai Đoạn Trẻ 0 Tuổi,129000,129000,0,0.0,0,1,Kubota Kisou,Thái Hà,Nhà Xuất Bản Lao Động Xã Hội,,Bìa mềm,80,2013-06-10,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
363077,Sách Nuôi Dạy Con Kiểu Nhật Bản,95000,95000,0,0.0,0,5,Akehashi Daiji,NXB Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,180,2013-02-28,Bảo Châu Books,available,1000,True,True,True
279131955,Sách - Minimalist Parenting - Nuôi Dạy Con Theo Phương Pháp Tối Giản,106000,114000,7,0.0,0,0,nhieu tac gia,Cty Văn Hóa Văn Lang,Nhà Xuất Bản Thanh Hoá,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
