id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279131486,MONTESSORI – Phương Pháp Giáo Dục Kích Thích Sớm Phát Huy Tiềm Năng Của Não Bộ,97000,159000,39,0.0,0,0,Beth Wood,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,187,2026-01-26,Tiki Trading,available,1000,False,True,True
276445948,Em bé sơ sinh Montessori ,220000,220000,0,0.0,0,2,,NXB Phụ Nữ,Nhà Xuất Bản Phụ Nữ,,,,,Casa Sunshine,available,1000,True,True,True
275551721,Sách Hỗ Trợ Cuộc Sống- MONTESSORI Vượt Ra Ngoài Lớp Học,81700,108000,24,0.0,0,15,Susan Mayclin Stephenson,NXB Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,240,,Tiki Trading,available,1000,False,True,True
273951313,Sách Làm Phụ Huynh Của Trẻ Montessori,73400,99000,26,0.0,0,7,Mẹ 3A (Nguyễn Hoàng Kim Thảo),Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,,2023-12-01,Tiki Trading,available,1000,False,True,True
270767572,Nuôi Dạy Con Theo Phương Pháp Montessori - Rèn Kỹ Năng Sống Và Kỹ Năng Phối Hợp,119000,140000,15,0.0,0,0,Maja Pitamic,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,176,,Văn Lang Official Store,available,1000,True,True,True
270145050,Em bé hạnh phúc: Nuôi dạy con tại nhà theo phương pháp Montessori - Bản Quyền,110000,110000,0,0.0,0,0,,Thái Hà Book,Nhà Xuất Bản Lao Động - Xã Hội,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
262525585,Sách IQ Montessori Toán Học,65800,99000,34,4.7,3,32,1980Edu - Quỳnh Hương,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,90,2023-04-04,Tiki Trading,available,1000,False,True,True
262525565,Sách IQ Montessori Logic,61900,89000,30,5.0,3,42,1980Edu - Quỳnh Hương,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,66,2023-04-04,Tiki Trading,available,1000,False,True,True
253267904,Em Bé Hạnh Phúc: Nuôi Dạy Trẻ Tại Nhà Theo Phương Pháp Montessori,110000,110000,0,0.0,0,0,,Sách điện tử Thái Hà,Nhà Xuất Bản Lao Động Xã Hội,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
247019153,Em Bé Hạnh Phúc: Nuôi Dạy Trẻ Tại Nhà Theo Phương Pháp Montessori,110000,110000,0,0.0,0,0,,Sách điện tử Thái Hà,Nhà Xuất Bản Lao Động Xã Hội,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
222666096,Combo 2Q: Chào Con! Ba Mẹ Đã Sẵn Sàng + Montessori – Phương Pháp Giáo Dục Toàn Diện Cho Trẻ 0-6 Tuổi,214000,214000,0,0.0,0,1,,1980 Books,Nhiều Nhà Xuất Bản,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
221223548,"Sách Các Lý Thuyết Về Trẻ Em Của Dewey, Montessori, Erikson, Piaget Và Vygotsky (Tái Bản 2023)",66700,89000,25,5.0,12,232,Carol Garhart Mooney,Thái Hà,Nhà Xuất Bản Lao Động,,,208,2023-01-01,Tiki Trading,available,1000,False,True,True
202239167,Sách  Combo Montessori Phương Pháp Giáo Dục Toàn Diện Cho Trẻ 06 Tuổi Phương Pháp Giáo Dục Sớm Montessori  Cho Trẻ 03,218000,218000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Dân Trí,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
198228434,Sách Tâm Trí Thấm Hút,239000,239000,0,0.0,0,1,Maria Montessori,Thái Hà,Nhà Xuất Bản Thế Giới,,Bìa mềm,444,2022-09-09,Nhà sách NetaBooks,available,1000,True,True,True
196382167,Sách Cẩm Nang Nuôi Dạy Con Theo Phương Pháp Montessori,37500,75000,50,0.0,0,1,Quốc Tú Hoa,Minh Long,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,228,,NHBook,available,1000,True,True,True
195765526,Phương pháp giáo dục sớm Montessori cho trẻ từ 0-3 tuổi,99000,99000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,170,2022-04-21,Bamboo Books,available,1000,True,True,True
194954063,Nuôi Dạy Con Theo Phương Pháp Montessori - Sách Montessori Bỏ Túi - 100 Hoạt Động Montessori Lí Thú Tại Nhà,56000,56000,0,0.0,0,0,Céline Santini,Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,Bamboo Books,available,1000,True,True,True
194807327,Nuôi Dạy Con Theo Phương Pháp Montessori Từ 0-12 Tuổi - Sách Montessori Bỏ Túi - 100 Hoạt Động Montessori Lí Thú Tại Nhà_PNU,56000,56000,0,0.0,0,1,, Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,,Bamboo Books,available,1000,True,True,True
190827253,Em bé sơ sinh Montessori - CASA SUNSHINE,220000,220000,0,4.5,2,30,,Nhà xuất bản Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,,320,,Casa Sunshine,available,1000,True,True,True
190705657,Sách Nuôi Dạy Con Theo Phương Pháp Montessori: Em Bé Sơ Sinh Từ 0-1 Tuổi,154000,220000,30,5.0,19,488,"Simone Davies, Junnifa Uzodike",NXB Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,326,2022-07-07,Tiki Trading,available,1000,False,True,True
187225173,Combo 3Q Nuôi Con: Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương 4 + Montessori – Phương Pháp Giáo Dục Toàn Diện Cho Trẻ 0-6 Tuổi + Nuôi Con Không Phải Là Cuộc Chiến ( Tặng Kèm Poster An Toàn),320250,320250,0,0.0,0,0,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,AHABOOKS,available,1000,True,True,True
185438384,Montessori: Phương pháp giáo dục sớm giúp trẻ phát triển tiềm năng trí tuệ -  Beth Wood,100080,139000,28,4.0,1,3,Beth Wood,1980 Books,NXB Dân Trí,,Bìa mềm,168,,1980 BOOKS HCM,available,1000,True,True,True
180723664,"Combo 2Q: Nói Sao Cho Trẻ Chịu Nghe, Nghe Sao Cho Trẻ Chịu Nói (Tái Bản) + Phương Pháp Giáo Dục Sớm Montessori Cho Trẻ Từ 0 – 3 Tuổi",312500,312500,0,5.0,1,13,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,AHABOOKS,available,1000,True,True,True
171825185,Sách Montessori - Phương Pháp Giáo Dục Sớm Giúp Trẻ Phát Triển Tiềm Năng Trí Tuệ,84800,139000,39,5.0,6,89,Beth Wood,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,168,2022-03-01,Tiki Trading,available,1000,False,True,True
171821231,Sách Montessori Rèn Luyện Kỹ Năng Sống Và Kỹ Năng Phối Hợp,105000,140000,25,5.0,6,115,Maja Pitamic,Nhà xuất bản Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,176,2022-03-03,Tiki Trading,available,1000,False,True,True
159717930,Sách - Combo Montessori Phương Pháp Giáo Dục Toàn Diện Cho Trẻ 0-6 Tuổi Phương Pháp Giáo Dục Sớm Montessori  Cho Trẻ 0-3 - 1980Books,218000,218000,0,0.0,0,0,,1980 Books,Nhiều Nhà Xuất Bản,,Bìa mềm,,,info book,available,1000,True,True,True
144597134,Phương Pháp Giáo Dục Sớm Montessori Cho Trẻ Từ 0-3 Tuổi,99000,99000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,172,2021-11-29,info book,available,1000,True,True,True
