id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278908035,Sách Đèn pin thần kỳ của Gaga- Khám phá cơ thể người (Chọn bộ/lẻ),76200,119000,36,0.0,0,5,Tác giả Fang Chiu Ya,Thái Hà,Nhà Xuất Bản Công Thương,,,192,,Tiki Trading,available,1000,False,True,True
278631732,Sách 50+ Hoạt Động Phát Triển Năng Lực Cảm Xúc - Xã Hội,103200,139000,26,0.0,0,30,Đinh Hồng,Cty Công Nghệ Gamma,Nhà Xuất Bản Thế Giới,,Bìa mềm,144,,Tiki Trading,available,1000,False,True,True
278059034,Sách Dạy Con Phát Triển Toàn Não Bộ (Tái bản năm 2025),148500,165000,10,0.0,0,7,"Daniel J. Siegel,  Tina Payne Bryson",Phương Nam Book,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,301,2025-06-03,Nhà Sách Phương Nam,available,1000,True,True,True
277993576,Bộ sách Growbooks kỹ năng sống dành cho trẻ Tiểu học,70000,91000,23,5.0,2,9,Little Stars,Công ty CP Sách Bizbooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,64,2025-04-29,Tiki Trading,available,1000,False,True,True
277963567,Sách - Dạy con làm giàu - Lời tiên tri của người cha giàu - NXB Trẻ,72000,80000,10,0.0,0,0,,CÔNG TY TNHH THƯƠNG MẠI SÁCH NHÂN DÂN,NXB Trẻ,,Bìa mềm,,,SÁCH NHÂN DÂN - ndbooks,available,1000,True,True,True
277314382,Sách Luật Trí Não Dành Cho Trẻ,133000,189000,30,5.0,1,42,John J. Medina,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm tay gấp,348,,Tiki Trading,available,1000,False,True,True
277014339,Bộ EQ Cao - Kỹ Năng Giải Quyết Vấn Đề Cho Trẻ - Cô Phan Hồ Điệp ,200000,200000,0,5.0,3,83,Phan Hồ Điệp,Công ty TNHH Winsmart Holdings,nxb lao dong ha noi,,,,,Sách Nuôi Dạy Con,available,1000,True,True,True
276830383,"Sách The Wonder Weeks - Tuần khủng hoảng: 10 bước nhảy vọt diệu kỳ trong những tháng đầu đời của trẻ
(Tái bản 2024)",201800,259000,22,5.0,2,43,Hetty van de Rijt,Thái Hà,Nhà Xuất Bản Công Thương,,,560,2024-12-18,Tiki Trading,available,1000,False,True,True
276473264,"Sách 39 Cuộc Đối Thoại Tri Thức - Tri Thức Là Để Đối Thoại, Không Phải Để Áp Đặt",146000,150000,3,5.0,1,30,Phan Đăng,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,484,,Tiki Trading,available,1000,False,True,True
276452126,Sách - Từ cô bé đến cô nàng (50 bí quyết để bạn gái dậy thì thành công) - Đinh Tị Books,66600,69000,3,0.0,0,2,,Đinh Tị,Nhà Xuất Bản Văn Học,,Bìa mềm,96,,Mộc Nhiên Kids Store,available,1000,True,True,True
276123443,Bộ Sách - Rèn Nhân Cách - Luyện Tài Năng:  Bác Hồ,26600,28000,5,5.0,2,44,Phạm Văn Hòa (sưu tầm và kể lại),NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,76,,Tiki Trading,available,1000,False,True,True
276123435,Sách Trường Học Cuộc Đời – Hiểu Về Kiến Trúc,145000,145000,0,0.0,0,0,Alain de Botton,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,192,,Bamboo Books,available,1000,True,True,True
276123429,Sách Muôn Vị Miền Tây,84000,86000,2,0.0,0,7,Trương Chí Hùng,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,144,,Tiki Trading,available,1000,False,True,True
275739080,Sách - NUÔI DẠY TRẺ MẮC CHỨNG RỐI LOẠN TĂNG ĐỘNG GIẢM CHÚ Ý,105000,139000,24,0.0,0,8,,Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,308,2024-07-25,THAIHABOOKS,available,1000,True,True,True
275044507,Sách - Bí mật bộ não trẻ,108000,149000,28,0.0,0,15,,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,284,2024-05-17,THAIHABOOKS,available,1000,True,True,True
275020956,Sách 50 ý tưởng lớn bạn thực sự cần biết,180000,180000,0,0.0,0,0,Ben Dupré,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,512,2024-01-03,Bamboo Books,available,1000,True,True,True
274361702,Sách 10 Vạn Câu Hỏi Vì Sao - Địa Lý Quanh Ta,55000,88000,38,0.0,0,6,Thu Hằng,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,88,2024-01-01,Tiki Trading,available,1000,False,True,True
274055727,Combo World Of Science - SET 2,207700,310000,33,0.0,0,4,Karen Kwek,Zenbooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,400,2024-01-01,Tiki Trading,available,1000,False,True,True
273409265,Sách Những Quy Luật Tự Nhiên Của Trẻ,159400,249000,36,5.0,1,108,Céline Alvarez,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm tay gấp,380,2023-11-01,Tiki Trading,available,1000,False,True,True
253473946,Sách Thế Nào Và Tại Sao - Các Loài Cá- Thế Giới Diệu Kì Dưới Nước,70300,95000,26,0.0,0,25,Nicolai Schirawski,Tân Việt,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa cứng,49,2023-05-05,Tiki Trading,available,1000,False,True,True
253473926,100 Từ Vựng Đầu Tiên - Bộ Sách Từ Vựng Đầu Đời Cho Bé,84900,109000,22,4.0,1,8,Nhiều tác giả,Tân Việt,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,16,2023-05-05,Tiki Trading,available,1000,False,True,True
248939590,Sách Tương Tác Lật Mở - Kỹ Năng Đầu Đời Cho Bé (2 - 12 Tuổi) – Đinh Tị,85300,89000,4,5.0,1,13,,Đinh Tị,nxb thanh nien,,Bìa cứng,32,,Mộc Nhiên Kids Store,available,1000,True,True,True
214493577,Sách 100 Nhà Khoa Học Vĩ Đại Thay Đổi Thế Giới,102500,205000,50,0.0,0,1,Jon Balchin,Tân Việt,Nhà Xuất Bản Dân Trí,,Bìa cứng,208,2022-12-12,NHBook,available,1000,True,True,True
213913984,Sách Vòng Quanh Thế Giới: Na Uy,11800,12000,2,0.0,0,64,"Nguyễn Hào, Tuấn Huỳnh",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,16,2022-12-01,Tiki Trading,available,1000,False,True,True
206307750,Liệu pháp trò chơi,140000,140000,0,4.7,6,51,,NXB Thế Giới,The Gioi Publisher,,Bìa cứng,175,2022-11-21,Taco Kids,available,1000,True,True,True
179735874,Sách Đánh Thức Khả Năng Tập Trung Của Trẻ,100700,139000,28,5.0,8,175,Myung-kyung Lee,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,276,2022-05-01,Tiki Trading,available,1000,False,True,True
168359005,Sách - Phát triển IQ rèn luyện tư duy não bộ,71760,78000,8,5.0,4,22,,Vizibook,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,44,2021-11-01,Vizibook,available,1000,True,True,True
130996084,Sách Lật Tương Tác Song Ngữ 0 - 3 Tuổi - Mẹ Đâu Rồi? (Tái Bản),68320,96000,29,5.0,48,592,Giuliano Ferri,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa cứng,20,2021-10-01,Tiki Trading,available,1000,False,True,True
113228772,Sách: Những bài thực hành hoạt động trị liệu dành cho trẻ,120000,120000,0,5.0,7,131,,NXB Thế Giới,Nhà Xuất Bản Thế Giới,,Bìa mềm,175,2021-07-10,Taco Kids,available,1000,True,True,True
91343892,"Sách Giáo Dục Giới Tính Nhi Đồng - Con Trai, Con Gái Khác Nhau Ạ ?",47800,52000,8,4.0,1,29,"Tam Tam, Lưu Tự Long",Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,32,2021-04-01,Nhà sách Fahasa,available,1000,True,True,True
