id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
113655001,Giáo Trình Triết Học Mác – Lênin (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,78000,78000,0,5.0,693,3480,Bộ Giáo Dục Và Đào Tạo,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,496,2024-10-04,VIETNAMBOOK,available,1000,True,True,True
141837620,Giáo Trình Tiếng Việt Và Tiếng Việt Thực Hành,65000,65000,0,5.0,16,108,,NXB Đại Học Sư Phạm,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,176,2025-09-26,VIETNAMBOOK,available,1000,True,True,True
270113245,Sách Giáo trình C++ và lập trình hướng đối tượng,130000,195000,33,4.7,21,127,"Phạm Văn Ất, Lê Trường Thông",Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,488,2023-10-07,Tiki Trading,available,1000,False,True,True
273446136,Cơ Sở Văn Hóa Việt Nam - Bản Mới (GS.TSKH. Trần Ngọc Thêm),140000,140000,0,5.0,20,441,Trần Ngọc Thêm,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm tay gấp,364,2025-06-04,VIETNAMBOOK,available,1000,True,True,True
274420148,Giáo Trình Sau Đại Học Phương Pháp Nghiên Cứu khoa học Trong Kinh Doanh Cập Nhật Smart PLS,279300,399000,30,4.8,5,108,PGS.TS Hà Nam Khánh Giao,Công ty TNHH Thương mại Dịch vụ Quảng cáo Nhà sách Kinh Tế,Nhà Xuất Bản Tài Chính,,Bìa mềm tay gấp,623,2024-03-09,Nhà Sách Kinh Tế VN,available,1000,True,True,True
602644,Sách Luận Về Biếu Tặng – Hình Thức Và Lý Do Của Sự Trao Đổi Trong Các Xã Hội Cổ Sơ,219700,289000,24,5.0,6,223,Marcel Mauss,NXB Tri Thức,Nhà Xuất Bản Tri Thức,,Bìa mềm,496,2017-03-01,Tiki Trading,available,1000,False,True,True
249875164,Sách Giáo trình kỹ thuật lập trình C căn bản và nâng cao,116000,175000,34,5.0,13,189,Nhiều tác giả,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,440,2023-03-14,Tiki Trading,available,1000,False,True,True
72947198,Giáo Trình Phương Pháp Luận Nghiên Cứu Khoa Học (Tái bản),78000,78000,0,5.0,88,564,Vũ Cao Đàm,Công Ty Cổ Phần Sách Đại Học - Dạy Nghề,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,208,2025-07-14,VIETNAMBOOK,available,1000,True,True,True
113655533,Giáo Trình Chủ Nghĩa Xã Hội Khoa Học (Dành Cho Bậc Đại Học Hệ Không Chuyên Lý Luận Chính Trị) - Bộ mới năm 2021,46000,46000,0,5.0,375,2323,Bộ Giáo Dục Và Đào Tạo,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,276,2024-07-17,VIETNAMBOOK,available,1000,True,True,True
278761529,"Sách - 600 Câu Hỏi Dùng Cho Sát Hạch, Cấp Giấy Phép Lái Xe Cơ Giới Đường Bộ",53300,65000,18,0.0,0,2,Minh Tân,Nhà sách Minh Thắng,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
