id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279009885, Giáo Trình Du Lịch Tổng Quan Việt Nam 34 Tỉnh Thành Mới Kỷ Nguyên Vươn Mình,181300,259000,30,0,0,3,"GSTS. Trương Quang Vinh, GSTS. Lê Tiến Sang, GSTS. Võ Quang Hiển",Công ty TNHH Thương mại Dịch vụ Quảng cáo Nhà sách Kinh Tế,Nhà xuất bản Kinh tế - Tài chính,,Bìa mềm,256,2025-12-26,Nhà Sách Kinh Tế VN,available,1000,True,True,True
277992334,Sách Cuộc Chiến Kim Loại Hiếm,176800,248000,29,5,21,330,Guillaume Pitron,Omega Plus,Nhà Xuất Bản Tri Thức,,Bìa mềm,364,2025-05-05,Tiki Trading,available,1000,False,True,True
277397116,Sách - Con người và môi trường,50000,50000,0,0,0,2,,NXB Đại Học Sư Phạm,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,136,,NXB Đại học Sư phạm,available,1000,True,True,True
276933694,Hướng Dẫn Ôn Tập Luật Môi Trường,90000,90000,0,0,0,2,,CÔNG TY TNHH TMDV SÁCH LUẬT VIỆT,Nhà Xuất Bản Công An Nhân Dân,,Bìa mềm,275,2024-10-31,Luatvietbook,available,1000,True,True,True
274664579,Giáo Trình An Toàn Và Sức Khoẻ Lao Động Trong Thi Công Xây Dựng,149000,149000,0,0,0,6,,NXB Xây Dựng,Nhà Xuất Bản Xây Dựng,,Bìa mềm,260,,VIETNAMBOOK,available,1000,True,True,True
274603240,"Giáo Trình Thực Vật Học - Trần Văn Ba, Nguyễn Thị Hồng Liên, Bùi Thu Hà (Đồng Chủ biên) - Nxb ĐHSP",95000,95000,0,0,0,3,nhieu tac gia,NXB Đại Học Sư Phạm,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,304,2024-03-27,VIETNAMBOOK,available,1000,True,True,True
274403325,Lò Hơi trong sản xuất điện và trong công nghiệp  ( xbtt),520000,520000,0,0,0,4,Trương Duy Nghĩa,NXB Thông Tin & Truyền Thông,Nhà Xuất Bản Thông Tin Truyển Thông,,Bìa cứng,605,2024-03-07,Bảo Châu Books,available,1000,True,True,True
274151885,Sách - Giáo trình Cơ sở hệ thống thông tin địa lí (GIS),95000,95000,0,5,1,1,nhieu tac gia,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,160,,Khanhlinhbook,available,1000,True,True,True
271199072,Giáo trình Động lực học môi trường lớp biên khí quyển,20500,20500,0,0,0,2,,Công Ty Cổ Phần Sách Đại Học - Dạy Nghề,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Cửa hàng Sách HEVOBOOKS,available,1000,True,True,True
271194909,Đánh giá tài nguyên nước Việt Nam,29000,29000,0,5,1,3,,Công Ty Cổ Phần Sách Đại Học - Dạy Nghề,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Cửa hàng Sách HEVOBOOKS,available,1000,True,True,True
270791659,Giáo trình hoạt động sống và tiến hóa của các hệ cơ quan động vật,95000,95000,0,0,0,1,,Công Ty Cổ Phần Sách Đại Học - Dạy Nghề,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Cửa hàng Sách HEVOBOOKS,available,1000,True,True,True
