id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279236950,Sách - Sách Giáo Khoa Lớp 1 - Kết Nối - Chương Trình Chuẩn (Bài Học + Bài Tập),8000,8000,0,0.0,0,0,nhieu tac gia,Nhà xuất bản Giáo Dục,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278068513,Sách Vở bài tập Mĩ Thuật 1- Kết Nối Tri Thức Với Cuộc Sống (Kèm bìa nilong bọc sách),23000,23000,0,0.0,0,7,,Cty Sách & Thiết Bị Trường Học TP.HCM,Nhà Xuất Bản Giáo Dục Việt Nam,,,47,,Sách Đầu Tư Sáng Tạo,available,1000.0,True,True,True
277860803,Sách Vở bài tập Tiếng Việt 1- tập hai- Kết Nối Tri Thức Với Cuộc Sống (Kèm bìa nilong bao sách),31000,31000,0,0.0,0,16,,Cty Sách & Thiết Bị Trường Học TP.HCM,Nhà Xuất Bản Giáo Dục Việt Nam,,,72,,Sách Đầu Tư Sáng Tạo,available,1000.0,True,True,True
277845888,Sách Vở bài tập Mĩ Thuật 5- Bản 1- Chân Trời Sáng Tạo (Kèm bìa nilon bao sách),17000,17000,0,0.0,0,7,,Cty Sách & Thiết Bị Trường Học TP.HCM,Nhà Xuất Bản Giáo Dục Việt Nam,,,39,,Sách Đầu Tư Sáng Tạo,available,1000.0,True,True,True
277588879,Sách TAKE NOTE ! Toán 4 (dùng cho cả 3 bộ SGK mới),42200,60000,30,5.0,1,7,Mai Quỳnh,Nhà sách Minh Thắng,Nhà Xuất Bản Hà Nội,,Bìa mềm,68,,Tiki Trading,available,1000.0,False,True,True
275890802,Tiếng Anh Lớp 3 Tập 2 - Global Success - Sách Học Sinh,41000,41000,0,5.0,2,39,nhieu tac gia,NXB Giáo Dục Việt Nam,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,75,2022-05-08,Nhà Sách Phương Nam,available,1000.0,True,True,True
275507494,Sách Giáo Khoa Toán 5 - Tập 2 (Kết Nối) (Chuẩn),18000,18000,0,5.0,1,31,nhieu tac gia,Nhà xuất bản Giáo Dục,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
275507492,Sách Giáo Khoa Toán 5 - Tập 1 (Kết Nối) (Chuẩn),18500,18500,0,0.0,0,18,nhieu tac gia,Nhà xuất bản Giáo Dục,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
275385412,Tiếng Anh Lớp 3 - Global Success - Sách Bài Tập,62000,62000,0,5.0,3,107,nhieu tac gia,NXB Giáo Dục Việt Nam,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,122,,Nhà Sách Phương Nam,available,1000.0,True,True,True
275385295,Tiếng Anh Lớp 3 - Global Success - Sách Học Sinh - Tập 2,41000,41000,0,0.0,0,23,nhieu tac gia,NXB Giáo Dục Việt Nam,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,75,,Nhà Sách Phương Nam,available,1000.0,True,True,True
275385293,Tiếng Anh Lớp 3 - Global Success - Sách Học Sinh - Tập 1,42000,42000,0,5.0,1,24,nhieu tac gia,NXB Giáo Dục Việt Nam,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,81,,Nhà Sách Phương Nam,available,1000.0,True,True,True
275231778,Tiếng Anh Lớp 4 Tập 2 - Global Success - Sách Học Sinh,35000,35000,0,5.0,3,38,nhieu tac gia,NXB Giáo Dục Việt Nam,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,75,,Nhà Sách Phương Nam,available,1000.0,True,True,True
275231774,Tiếng Anh Lớp 4 - Global Success - Sách Bài Tập,62000,62000,0,5.0,2,41,nhieu tac gia,NXB Giáo Dục Việt Nam,Nhà Xuất Bản Giáo Dục Việt Nam,,Bìa mềm,99,,Nhà Sách Phương Nam,available,1000.0,True,True,True
275231301,Sách Giáo Khoa Âm Nhạc Bài Học Lớp 6 Bộ Chân Trời Sáng Tạo Năm 2021,8000,8000,0,0.0,0,8,nhieu tac gia,NXB Giáo Dục,Nhà Xuất Bản Giáo Dục,,Bìa mềm,80,,Nhà Sách Phương Nam,available,1000.0,True,True,True
275215800,Công Nghệ 3 (Cánh Diều) (Chuẩn),9300,9300,0,0.0,0,4,Nguyễn Trọng Khanh,CÔNG TY CỔ PHẦN ĐẦU TƯ XUẤT BẢN - THIẾT BỊ GIÁO DỤC VIỆT NAM - CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
