id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279232462,Chúng Ta Là Ai Và Chúng Ta Đến Đây Thế Nào? - DNA Cổ Đại Và Khoa Học Mới Về Quá Khứ Của Loài Người,246050,259000,5,5.0,1,7,David Reich,Omega Plus,NXB Dân Trí,,Bìa mềm,420,2026-03-17,Nhà sách NetaBooks,available,1000,True,True,True
279162157,Nhà khoa học kể chuyện - 24 giờ,91000,119000,24,0.0,0,24,Trang Dịch Kiệt,Einstein Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,324,,Tiki Trading,available,1000,False,True,True
279143624,Sách Trọn vẹn từng giác quan - Những khám phá khoa học mới về cảm giác giúp bạn giành lại cuộc đời mình,114000,145000,21,0.0,0,13,"Norman Farb, Zindel Segal",NXB Trẻ,NXB Trẻ,,Bìa mềm,328,2026-01-30,Tiki Trading,available,1000,False,True,True
279113722,Phương Pháp Luận Nghiên Cứu Khoa Học Trong Kỷ Nguyên Số (Sách chuyên khảo),299000,299000,0,5.0,1,16,"PGS.TS. Nguyễn Đăng Tính - TS. Nguyễn Trịnh Chung (Đồng chủ biên), TS. Nguyễn Quang Phi",Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa mềm,292,2025-12-26,VIETNAMBOOK,available,1000,True,True,True
279019397,Khoa học khám phá. Nguồn gốc thời gian: Lý thuyết cuối cùng của Stephen Hawking,166000,210000,21,0.0,0,34,Thomas Hertog,NXB Trẻ,NXB Trẻ,,Bìa mềm,476,2025-01-06,Tiki Trading,available,1000,False,True,True
278816201,Bộ Sách Nhẩn Nha Với Trà,97000,139000,30,0.0,0,20,"Tú Oanh, Thanh Huyền, Kim Quý",Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278810625,Sách Lịch Sử Thế Giới Vô Hình,369600,480000,23,4.5,9,121,DK (Dorling Kindersley Limited),Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa cứng,320,,Tiki Trading,available,1000,False,True,True
278756735,Sách Sự Thịnh Vượng Của Các Quốc Gia,423500,550000,23,5.0,13,156,Adam Smith,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa cứng,585,,Tiki Trading,available,1000,False,True,True
278694957,Sách Thành Phố Và Những Bức Tường Bất Định,238700,310000,23,4.8,12,303,Haruki Murakami,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,544,,Tiki Trading,available,1000,False,True,True
278663242,Sách Sự Thịnh Vượng Của Các Quốc Gia,494200,659000,25,4.7,43,459,Adam Smith,Alphabooks,Nhà Xuất Bản Thế Giới,,,1080,,Tiki Trading,available,1000,False,True,True
278590520,Sách Vũ Trụ Tuần Hoàn: Vượt Khỏi Big Bang – Viết Lại Lịch Sử Vũ Trụ,140000,190000,26,5.0,3,51,"Paul J.Steinhardt, Neil Turok",NXB Trẻ,NXB Trẻ,,Bìa mềm,352,2025-09-09,Tiki Trading,available,1000,False,True,True
278521784,Sách Chung Một Ngôi Nhà - Atlas 54 Dân Tộc Việt Nam,264000,300000,12,5.0,4,48,"Võ Thị Mai Chi, Hồ Quốc Cường",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,156,,Tiki Trading,available,1000,False,True,True
278500644,Sách Mặt Trăng Của Chúng Ta: Người Bạn Đồng Hành Đã Biến Đổi Trái Đất..,152000,200000,24,5.0,2,32,"Jill Stark, Rebecca Boyle",NXB Trẻ,NXB Trẻ,,Bìa mềm,456,2025-08-26,Tiki Trading,available,1000,False,True,True
278295146,Sách Luân Lý Giáo Khoa Thư (Tái Bản),99000,135000,27,5.0,82,151,"Trần Trọng Kim, Nguyễn Văn Ngọc, Đặng Đình Phúc",NXB Trẻ,NXB Trẻ,,Bìa mềm,174,2019-04-01,Tiki Trading,available,1000,False,True,True
278070727,Sách Cuộc Đời Của Nấm - Entangled Life (New York Times Bestseller),125000,168000,26,4.8,4,111,Merlin Sheldrake,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,388,2025-02-06,Tiki Trading,available,1000,False,True,True
