id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279277259, Sách - Thiết lập cỗ máy xây kênh tự động 24/24 từ AI và AI Agent,190000,190000,0,0.0,0,6,WeupBooks,Nhà Sách Hồng Ân,Nhà xuất bản Kinh tế tài chính,,,168,,HƯƠNG BOOK 2,available,1000,True,True,True
279222039,Lịch Sử Liệu Có Dạy Ta Điều Gì? - Một Suy Tưởng Về Hiện Tại Và Tương Lai Nhân Loại - Edgar Morin - Omega Plus,84000,99000,15,0.0,0,1,Edgar Morin,Omega Plus,Nhà Xuất Bản Hà Nội,,Bìa mềm,100,2026-03-12,Omega Plus Books,available,1000,True,True,True
279215289,"Sách Những Nam Tính: Một Công Trình Kinh Điển Về Nam Tính, Quyền Lực Và Xã Hội",199200,259000,23,0.0,0,9,Raewyn Connell,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,464,,Tiki Trading,available,1000,False,True,True
279191057,Bẫy Tiện Nghi - Vì Sao Cuộc Sống Quá Đủ Đầy Lại Phá Hoại Sức Khỏe Và Hạnh Phúc Của Chúng Ta? - Michael Easter - Alpha Books,147900,199000,26,0.0,0,15,Michael Easter,Alpha Books,Nhà Xuất Bản Công Thương,,Bìa mềm tay gấp,444,2026-02-27,Tiki Trading,available,1000,False,True,True
279106087,Sách Cảo thơm. Việt điện u linh tập (bìa cứng),213000,310000,31,5.0,8,80,Đào Phương Chi,NXB Trẻ,NXB Trẻ,,Bìa cứng,452,2026-01-27,Tiki Trading,available,1000,False,True,True
279005233,Nam Giới Và Nam Tính Trong Một Việt Nam Đang Hội Nhập,207000,300000,31,0.0,0,7,Nhiều tác giả,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,556,2025-12-25,Tiki Trading,available,1000,False,True,True
278894450,"Sách-Lịch vạn sự Bính Ngọ 2026-Chọn ngày lành tháng tốt, lịch tết 2026",26500,39000,32,0.0,0,38,May,Công ty CP in Thương Mại Nam Hải,ha noi,,Bìa mềm,119,,Bùi Thị Anh,available,1000,True,True,True
278890179,LORENZO DE’ MEDICI: Cuộc Đời Rực Rỡ Và Thời Đại Dữ Dội - Miles J. Unger,247100,386000,36,5.0,5,50,Miles J. Unger,OMEGA PLUS+,Nhà Xuất Bản Hà Nội,,,,,Tiki Trading,available,1000,False,True,True
278880909,Chủng Tộc Và Lịch Sử - Claude Lévi-Strauss - Omega Plus,96600,125000,23,5.0,2,70,Claude Lévi-Strauss,OMEGA PLUS+,Nhà Xuất Bản Hà Nội,,,,,Tiki Trading,available,1000,False,True,True
278862220,Hoàng Đế Của Biển Cả - Hốt Tất Liệt Và Sự Hình Thành Của Nước Trung Hoa,165800,259000,36,5.0,8,74,Jack Weatherford,OMEGA PLUS+,Nhà Xuất Bản Tri Thức,,,,,Tiki Trading,available,1000,False,True,True
278800709,Điểm Kỳ Dị Đã Cận Kề - Khi Con Người Hợp Nhất Với AI,167700,245000,32,4.0,3,170,Ray Kurzweil,OMEGA PLUS+,Nhà Xuất Bản Thế Giới,,,,,Tiki Trading,available,1000,False,True,True
278687910,"Khoa Học Dữ Liệu, Trí Tuệ Nhân Tạo Và Học Máy Trong Phát Triển Thuốc",320200,399000,20,0.0,0,9,nhieu tac gia,Alpha Books,Nhiều Nhà Xuất Bản,,,,,Tiki Trading,available,1000,False,True,True
277808971,Sách Tiếng Việt cắc cớ cũng cứng cựa,128000,160000,20,5.0,2,14,Lê Minh Quốc,NXB Tổng Hợp TP. HCM,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,352,2025-04-21,Tiki Trading,available,1000,False,True,True
276777219,Sách Chăm Sóc Bản Thân Thật Sự,113960,148000,23,5.0,11,377,"Pooja Lakshmin, MD",First News - Trí Việt,Nhà Xuất Bản Dân Trí,,Bìa mềm,220,2024-03-12,Tiki Trading,available,1000,False,True,True
276302714,Sách Đi Vẽ,139900,180000,22,0.0,0,34,Trịnh Lữ,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm tay gấp,180,,Tiki Trading,available,1000,False,True,True
275945034,Sách Tương lai của địa lý,192500,250000,23,5.0,48,471,Tim Marshall,Nhã Nam,Nhà Xuất Bản Thông Tấn,,Bìa cứng,436,,Tiki Trading,available,1000,False,True,True
275087003,Sách Trò Chơi Tâm Lý,145500,209000,30,5.0,10,173,Eric Berne,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,348,2023-04-04,Tiki Trading,available,1000,False,True,True
274649745,Sách Luật Tâm Thức – Vũ Trụ Nhất Nguyên Luận,230400,288000,20,4.7,127,2012,Ngô Sa Thạch,Skybooks,Nhà Xuất Bản Lao Động,,Bìa mềm,480,,Tiki Trading,available,1000,False,True,True
274546151,Sách Thư cho em,107800,140000,23,5.0,185,3353,Hoàng Nam Tiến,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,312,,Tiki Trading,available,1000,False,True,True
274238676,Sách Hòn Đá Mù – Medusa Những Chuyện Chưa Kể,119250,159000,25,4.8,8,97,Natalie Haynes,Bloom Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,396,,Tiki Trading,available,1000,False,True,True
273552487,"Sách Xin lỗi, tôi không thích""- Đặt ra ranh giới cá nhân và thoát khỏi mối quan hệ độc hại",64350,99000,35,5.0,5,56,Patrick King,Being Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,192,,Tiki Trading,available,1000,False,True,True
273454482,Sách Thế Giới Nội Tâm Của Những Đứa Trẻ Nổi Loạn,91000,130000,30,4.8,4,38,Rocco,Peachbooks,Nhà Xuất Bản Văn Học,,Bìa mềm,312,,Tiki Trading,available,1000,False,True,True
272111568,Sách Câu Chuyện Đằng Sau Một Bác Sĩ Tâm Thần,96000,96000,0,0.0,0,0,Nguyễn Trung Nghĩa,Skybooks,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,232,2023-09-20,Bamboo Books,available,1000,True,True,True
271495367,Sách Bẫy hạnh phúc,166900,239000,30,5.0,35,687,Russ Harris,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,412,2023-08-01,Tiki Trading,available,1000,False,True,True
252857451,Sách Sự Trả Thù Của Địa Lý,262100,339000,23,4.8,30,303,Robert D.Kaplan,Alphabooks,Nhà Xuất Bản Hội Nhà Văn,,Bìa cứng,476,2023-03-03,Tiki Trading,available,1000,False,True,True
249157126,Sách Đứa Trẻ Hiểu Chuyện Thường Không Có Kẹo Ăn,118400,148000,20,5.0,141,1729,Nguyên Anh,Moon Books,Nhà Xuất Bản Văn Học,,Bìa mềm,368,2023-04-01,Tiki Trading,available,1000,False,True,True
207256575,Sách Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,91630,119000,23,4.8,631,8502,Từ Thính Phong,Skybooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,280,2022-12-01,Tiki Trading,available,1000,False,True,True
204078065,Sách Thuật Thao Túng - Góc Tối Ẩn Sau Mỗi Câu Nói,107030,139000,23,4.8,323,3497,Wladislaw Jachtchenko,Bloom Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,344,,Tiki Trading,available,1000,False,True,True
203231461,Sách SIGNS Thông Điệp Bí Ẩn Từ Vũ Trụ,99330,129000,23,5.0,54,579,Laura Lynne Jackson,Bookland,Nhà Xuất Bản Thanh Niên,,Bìa mềm,376,,Tiki Trading,available,1000,False,True,True
202007364,Sách Tiếng Việt Giàu Đẹp - Vẻ Đẹp Ngôn Ngữ Vẻ Đẹp Văn Chương,71000,90000,21,4.7,10,134,Lê Xuân Mậu,NXB Trẻ,NXB Trẻ,,,224,2022-10-10,Tiki Trading,available,1000,False,True,True
