id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279191156,"Sách Năng lượng, luân hồi và tiền kiếp",152200,199000,24,0.0,0,0,nhieu tac gia,Thái Hà,Nhà Xuất Bản Khoa Học Xã Hội,,,,,Tiki Trading,available,1000,False,True,True
279124419,Hành Thiền Giữa Thiên Nhiên,146250,195000,25,0.0,0,0,Arin Murphy Hiscock,1980 Books,Nhà Xuất Bản Hà Nội,,,,,1980 BOOKS HCM,available,1000,True,True,True
278628038,Quy Luật Năng Lượng Vũ Trụ,141750,189000,25,5.0,1,5,"David R. Hawkins MD, Ph.D",1980 Books,Nhà Xuất Bản Hà Nội,,,,,1980Books Official,available,1000,True,True,True
278115953,Sách - Úm Ba La Ra Quyết Định (The Book Of Answers),75000,75000,0,0.0,0,1,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,,,Tiên Phong Books Việt Nam,available,1000,True,True,True
277564121,Sách Huyền Học Và Logic và Những Tiểu Luận Khác,186000,255000,27,5.0,1,45,Bertrand Russell,VIỆN GIÁO DỤC IRED,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm,328,2025-03-01,Tiki Trading,available,1000,False,True,True
277504506,Sách Mật Ngữ Tinh Thể,167200,239000,30,5.0,1,20,Judy Hall,1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,395,,Tiki Trading,available,1000,False,True,True
277361865,Sách Giải Mã Bản Đồ Tâm Trí,175900,250000,30,5.0,2,34,Jordan B. Peterson,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,524,2025-01-27,Tiki Trading,available,1000,False,True,True
276478186,Sách Đàm Thiên Quyết Địa Luận Nhân (Bìa mềm),110800,150000,26,0.0,0,16,Ngô Bạch,Nhà sách Minh Thắng,Nhà Xuất Bản Hồng Đức,,Bìa mềm,568,,Tiki Trading,available,1000,False,True,True
276464748,Sách Bí ẩn các Chòm Sao - Hiểu rõ bản thân qua Cung Hoàng Đạo,58200,86000,32,0.0,0,7,Yến,Việt Thư,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,68,,Tiki Trading,available,1000,False,True,True
276307662,Sách - Bí mật vòng tròn hoàng đạo HOROSCOPE - Mật mã 12 chòm sao (VT),121600,128000,5,0.0,0,1,nhieu tac gia,Công Ty TNHH Văn Hóa Việt Thư,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,292,,Cá Chép Bookstore,available,1000,True,True,True
276159900,Sách Mật Ngữ Cuộc Đời,125400,186000,33,0.0,0,13,Doctor Stik,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm tay gấp,320,,Tiki Trading,available,1000,False,True,True
276054638,Đường Tình Duyên,149000,149000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Hồng Đức,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
274872983,Linh Hồn Song Sinh,149000,149000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Thanh Niên,,,,,Bamboo Books,available,1000,True,True,True
273714425,Sách Hay Về Chiêm Tinh - Huyền Học Ứng Dụng,169000,169000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Thanh Niên,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
