id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279112959,[Boxset Việt hóa] The Light Seer’s Tarot (size chuẩn),299384,320000,6,5.0,3,17,Chris-Anne,Asbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278998906,"Sách Hỏi Bằng Tarot, Trả Lời Bằng Tâm Lý Học",122000,139000,12,5.0,2,38,JAYUN,Bookland,Nhà Xuất Bản Lao Động,,Bìa mềm,224,,Tiki Trading,available,1000,False,True,True
278836816,Lời Thì Thầm Tinh Tú – Star Whispers (Bộ Bài Và Sách Hướng Dẫn),240000,300000,20,5.0,4,33,Hoàng Lập,Asbooks,Nhà Xuất Bản Thế Giới,,,,2025-11-12,Tiki Trading,available,1000,False,True,True
278806511,Sách Tarot Và Các Câu Chuyện Tình Yêu Có Thật,83930,109000,23,5.0,1,16,Phù Thủy Tarot,Asbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,240,2025-10-30,Tiki Trading,available,1000,False,True,True
278682217,Sách Khi Trải Bài Không Như Ý - Đọc Vị Tình Huống Và Giải Quyết Vấn Đề Bằng Tarot,99330,129000,23,5.0,1,24,Theresa Reed,Asbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,312,2025-09-29,Tiki Trading,available,1000,False,True,True
278588691,Boxset The Solar Kingdom Việt Hóa (Bộ Bài + Sách Hướng Dẫn),380000,380000,0,0.0,0,0,Modern Magic Press,Gieobooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,200,2025-08-29,Tazano Official Store,available,1000,True,True,True
278584867,Sách Khu Rừng Linh Hồn - Hành Trình Tỉnh Thức Cùng Tarot,129360,168000,23,5.0,1,28,Rachel Pollack,Asbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,416,2025-09-08,Tiki Trading,available,1000,False,True,True
278472215,[Boxset Việt Hoá]  The Solar Kingdom (Bộ Bài Tarot & Sách Hướng Dẫn),304000,380000,20,4.6,10,93,Modern Magic Press,Asbooks,Nhà Xuất Bản Thế Giới,,Bìa cứng,,2025-08-14,Tiki Trading,available,1000,False,True,True
278111433,[Boxset Việt hoá] Horror Tarot (Bộ bài & Sách hướng dẫn),264000,320000,18,3.0,2,155,"Aria Gmitter, Minerva Siegel, Abigail Larson",Asbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,92,2025-06-23,Tiki Trading,available,1000,False,True,True
278037718,Cuốn Sách Lớn Về Tarot - Cẩm Nang Giải Bài Cho Người Mới Bắt Đầu,227150,295000,23,5.0,1,17,Sam Magdaleno,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,256,2025-05-27,Tiki Trading,available,1000,False,True,True
