id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279010611,Giải Mã Thần Số Học: Các Kỹ Thuật Ứng Dụng Thần Số Học Vào Khám Phá Bản Thân Và Dự Đoán Vận Mệnh,129000,129000,0,0.0,0,0,Sasha Fenton,Gieobooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,200,2025-12-26,Tazano Official Store,available,1000,True,True,True
278901516,Sách Giải Mã Thần Số Học,103200,129000,20,4.0,1,9,Sasha Fenton,Asbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278117139,Sách - Mai Hoa Dịch Số - Nguyễn Tuấn Vũ,200000,200000,0,0.0,0,0,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiên Phong Books Store,available,1000,True,True,True
278117023,Sách - Thái Ất Thần Kinh - Nguyễn Bỉnh Khiêm,350000,350000,0,0.0,0,5,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,Bìa mềm,,,Tiên Phong Books Store,available,1000,True,True,True
278115889,Sách - Thái Ất Thần Kinh - Nguyễn Bỉnh Khiêm - Nhà Xuất Bản Tri Thức,350000,350000,0,1.0,1,14,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,Bìa mềm,,,Tiên Phong Books Việt Nam,available,1000,True,True,True
278115784,Sách - Mai Hoa Dịch Số - Nguyễn Tuấn Vũ - NXB Hồng Đức,200000,200000,0,0.0,0,0,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiên Phong Books Việt Nam,available,1000,True,True,True
277997101,Sách Thần Số Học: Giải mã nghiệp và bí mật thịnh vượng,148400,198000,25,0.0,0,9,,Thái Hà,Nhà Xuất Bản Công Thương,,,344,,Tiki Trading,available,1000,False,True,True
277933601,Sách THẦN SỐ HỌC Giải mã nghiệp và bí mật thịnh vượng ,198000,198000,0,0.0,0,0,,Thái Hà,Nhà Xuất Bản Công Thương,,,,,NHBook,available,1000,True,True,True
276009262,Tự Hiểu Mình Qua Bát Tự,384000,384000,0,0.0,0,0,Nguyễn Chính Đạo,Công ty TNHH TM & DV Văn Hóa Hương Trang,,,Bìa mềm,1037,2023-08-16,Sách Hay Tinh Tuyển,available,1000,True,True,True
276006436,Tìm Hiểu Tính Cách Con Người Qua Khuôn Mặt,125000,125000,0,0.0,0,2,Minh Huyền,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Văn Hoá Thông Tin,,Bìa cứng,296,2023-08-16,Sách Hay Tinh Tuyển,available,1000,True,True,True
