id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278826829,Đạo Của Sinh Mệnh Và Đời Người - Tập 2 - Giải Mã Cơ Thể Theo Triết Lý Đông Y và Tây Y,218000,218000,0,0.0,0,1,Khúc Lê Mẫn,Văn Lang,Nhà Xuất Bản Hồng Đức,,Bìa mềm,328,2025-10-30,Nhà sách NetaBooks,available,1000,True,True,True
278447593,Sách Trích Thiên Tủy,246000,350000,30,4.8,5,62,Kinh Đồ,Nhà sách Minh Thắng,Nhà Xuất Bản Hồng Đức,,Bìa cứng,676,2023-02-01,Tiki Trading,available,1000,False,True,True
278156986,Sách - Ngũ Hành và 12 Con Giáp Với Khoa Học Cuộc Sống,159200,199000,20,0.0,0,0,Trần Đắc Thính,Công ty CP in Thương Mại Nam Hải,Nhà Xuất Bản Thanh Hoá,,Bìa mềm tay gấp,360,,Bùi Thị Anh,available,1000,True,True,True
278076206,Sách - Bách Sự Tập - Đổng Công Trạch Nhật Yếu Lãm - Nhà Xuất Bản Tri Thức,250000,250000,0,5.0,2,25,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,,,,Tiên Phong Books Việt Nam,available,1000,True,True,True
278075768,Sách - Bách Sự Tập - Đổng Công Trạch Nhật Yếu Lãm - Nhà Xuất Bản Tri Thức,250000,250000,0,1.0,1,9,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,,,,Tiên Phong Books Store,available,1000,True,True,True
278074369,Sách - Nhân Tướng Học - Nhà Xuất Bản Tri Thức,300000,300000,0,0.0,0,11,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,,,,Tiên Phong Books Việt Nam,available,1000,True,True,True
278074244,Sách - Nhân Tướng Học - Nhà Xuất Bản Tri Thức,300000,300000,0,0.0,0,4,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,,,,Tiên Phong Books Store,available,1000,True,True,True
278074013,Sách - Cao Ly Đầu Hình - NXB Tri Thức,150000,150000,0,0.0,0,6,,Công ty TNHH Tiên Phong Books,Nhà Xuất Bản Tri Thức,,,,,Tiên Phong Books Store,available,1000,True,True,True
277568806,"Sách Số Diễn Cầm Tam Thế Diễn Nghĩa - Tử vi xem gia cảnh, tuổi thọ, tình duyên, sự nghiệp, con cái sách  xem cuộc đời",124950,178500,30,4.5,2,49,Dương Công Hầu,Công ty CP in Thương Mại Nam Hải,Nhà Xuất Bản Hà Nội,,Bìa mềm,352,,Bùi Thị Anh,available,1000,True,True,True
276147698,NGHIÊN CỨU TINH MỆNH HỌC,384000,384000,0,5.0,1,7,ThS. Nguyễn Anh Vũ,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa cứng,929,2023-09-18,Sách Hay Tinh Tuyển,available,1000,True,True,True
276147692,TRUNG CHÂU TỬ VI ĐẨU SỐ - TAM HỢP PHÁI,649000,649000,0,0.0,0,10,ThS. Nguyễn Anh Vũ,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1765,2023-09-13,Sách Hay Tinh Tuyển,available,1000,True,True,True
276031606,Sách - Lịch Tam Tông Miếu Năm Ất Tỵ - 2025 ( Chiêm Tinh Gia Nguyễn Anh Toàn - bản xịn đẹp),110000,110000,0,5.0,1,16,Nguyễn Toàn Anh,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,400,,Sách Hay Cho Bạn,available,1000,True,True,True
275550090,Sách Tử Vi Dễ Hiểu - Thực Hành Tổng Hợp 1,211800,279000,24,4.6,5,46,"Alex Alpha, Huyền Minh Group",Thái Hà,Nhà Xuất Bản Thế Giới,,,360,,Tiki Trading,available,1000,False,True,True
273909739,Đồ Giải Xem Tướng Biết Người - Cẩm Năng Quản Lý Nguồn Nhân Lực - Bìa Cứng (Tái Bản 2024),199700,235000,15,0.0,0,2,Thiệu Vĩ Hoa,Nhà sách Minh Thắng,NXB Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
273717394,Đồ Giải Xem Tướng Biết Người - Cẩm Nang Quản Lý Nguồn Nhân Lực (Bìa Cứng)_MT,213800,213800,0,0.0,0,1,Thiệu Vĩ Hoa,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa cứng,536,,Minhhabooks,available,1000,True,True,True
