id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278961349,Triết Học Của Giáo Dục,213750,225000,5,0.0,0,3,Richard Pring,Nhà Xuất Bản Tri Thức,Nhà Xuất Bản Tri Thức,,Bìa mềm,424,2025-12-13,Nhà sách NetaBooks,available,1000,True,True,True
278749510,Sách Khuyến Học - Ấn Bản Đặc Biệt 20 Năm Thành Lập Nhã Nam - Bìa Cứng,166000,189000,12,4.5,2,27,Fukuzawa Yukichi,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa cứng,248,,Tiki Trading,available,1000,False,True,True
277269556,Cú Pháp Tiếng Việt - Các Thành Phần Chính Của Câu (Sách chuyên khảo) ,140000,140000,0,0.0,0,19,Nguyễn Văn Hiệp,Nhà Xuất Bản Khoa Học Xã Hội,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm,332,2025-02-05,VIETNAMBOOK,available,1000,True,True,True
277213494,Sách - Sơn Hải Kinh - Chọn Lẻ 2 Tập - Đinh Tị Books,159000,159000,0,0.0,0,22,,Đinh Tị,Nhà Xuất Bản Thanh Niên,,,,,Bamboo Books,available,1000,True,True,True
276854164,Sách Tôn Tử Binh Pháp Và 36 Kế - Bìa Cứng,101900,140000,27,5.0,34,47,"Trần Trường Minh, Phạm Hồng",Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa cứng,664,2021-09-15,Tiki Trading,available,1000,False,True,True
275623471,Sách Thành Kiến Vô Thức,160100,225000,29,4.3,3,54,"Mark Murphy, Pamela Fuller, Anne Chow",Viện Quản lý PACE,Nhà Xuất Bản Thanh Niên,,Bìa mềm,344,,Tiki Trading,available,1000,False,True,True
274853706,Sách Mục Tiêu Giáo Dục Và Các Tiểu Luận Khác,150000,195000,23,4.6,5,46,Alfred North Whitehead,Viện IRED,Nhà Xuất Bản Tri Thức,,,344,2024-04-01,Tiki Trading,available,1000,False,True,True
274175495,Sách Tĩnh Lặng,68700,89000,23,5.0,301,493,Thích Nhất Hạnh,Thái Hà,Nhà Xuất Bản Thế Giới,,Bìa mềm,188,2020-08-28,Tiki Trading,available,1000,False,True,True
274165378,Bảng Tóm Tắt Hàm Excel Thông Dụng  - Ứng Dụng Văn Phòng - Tác giả Nguyễn Quang Vinh,39000,39000,0,4.0,1,200,Nguyễn Quang Vinh, Accord Publishing,ABC Books,,,,,Thầy Vinh DAOTAOTINHOC,available,1000,True,True,True
273375302,Sách ÉMILE hay Là Về Giáo Dục,244600,365000,33,5.0,8,151,Jean-Jacques Rousseau,Viện Quản lý PACE,Nhà Xuất Bản Tri Thức,,Bìa cứng,748,2023-06-06,Tiki Trading,available,1000,False,True,True
