id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279097457,Sách Nhân Tướng Học – Nhân Tướng Đoán Mệnh | Nhìn Mặt Biết Giàu Nghèo – Vận Mệnh – Nhân Duyên,174400,218000,20,5.0,1,9,nhieu tac gia,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,BizbooksJSC,available,1000,True,True,True
279070086,PHONG THỦY KHAI VẬN – Thái Tĩnh Hòa - Bizbooks,217000,217000,0,0.0,0,1,nhieu tac gia,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,312,,BÌNH BÁN BOOK,available,1000,True,True,True
279066467,"Sách Phong Thủy Khai  – Giải Mã Không Gian Sống, Tình Yêu, Sức Khỏe & Tài Lộc",182400,228000,20,0.0,0,8,nhieu tac gia,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,BizbooksJSC,available,1000,True,True,True
279018281,Sách - HIỆP KỶ BIỆN PHƯƠNG THƯ - Tinh Hoa Nghệ Thuật Chọn Cát Nhật Từ Kho Tàng Tứ Khố Toàn Thư. Combo 2 tập,624000,624000,0,0.0,0,7,Quách Phác,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,,,,Minhhabooks,available,1000,True,True,True
278899421,Phong Thủy Trong Xây Sửa Nhà - Khơi Dậy Năng Lượng Thịnh Vượng (Bìa Cứng),336000,336000,0,0.0,0,1,Master Phùng Phương,Thái Hà,Nhà Xuất Bản Xây Dựng,,Bìa cứng,272,2025-11-27,Nhà sách NetaBooks,available,1000,True,True,True
277923384,Sách Vận Dụng Khoa Nhân Tướng Học Trong Ứng Xử Và Quản Lý - Tái Bản,118000,168000,30,0.0,0,31,Việt Chương,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,336,2025-05-05,Tiki Trading,available,1000,False,True,True
277923284,Sách Hóa Giải Nghiệp Quả Tổ Tiên,111000,148000,25,5.0,3,124,Dr.Steven D.Farmer,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,320,2025-05-05,Tiki Trading,available,1000,False,True,True
276933512,Sách 100 Phép Đoán Mệnh,108200,150000,28,4.0,3,6,Lý Hậu Khởi,Nhà sách Minh Thắng,Nhà Xuất Bản Hồng Đức,,Bìa cứng,423,2014-04-20,Tiki Trading,available,1000,False,True,True
276148745,Sách Đổi Vận Cho Người Mệnh Khuyết - Quyển Xuân Hạ - Tái Bản,99000,145000,32,5.0,1,18,Lý Cư Minh,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,248,,Tiki Trading,available,1000,False,True,True
276148736,Sách Đổi Vận Cho Người Mệnh Khuyết - Quyển Thu Đông - Tái Bản,106000,135000,21,5.0,1,19,Lý Cư Minh,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,232,,Tiki Trading,available,1000,False,True,True
276140071,Trung Châu Tử Vi Đẩu Số - Tứ Hoá Phái (Bộ 2 Tập),559000,559000,0,4.5,2,10,ThS. Nguyễn Anh Vũ,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1545,,Sách Hay Tinh Tuyển,available,1000,True,True,True
275863871,Sách Kinh Dịch Trọn Bộ,397000,595000,33,4.5,2,39,Ngô Tất Tố,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa cứng,800,,Tiki Trading,available,1000,False,True,True
