id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279275404,Tư Duy và Chuyển Động - Henri Bergson - IRED Books,218500,230000,5,0.0,0,4,Henri Bergson,VIỆN GIÁO DỤC IRED,Nhà Xuất Bản Tri Thức,,Bìa cứng,416,2026-03-30,PACE Books,available,1000,True,True,True
279171573,Những Khái Niệm Triết Học Thế Giới - Sarah Flavel & Chiara Robbiano,416000,479000,13,0.0,0,7,nhieu tac gia,PHANBOOK,Nhà Xuất Bản Hồng Đức,,Bìa mềm,632,,PHAN LỆ & FRIENDS,available,1000,True,True,True
279167252,Sách - Về Nghệ Thuật và Nghệ Sĩ (On Art and Artists) - IRED Books,208200,290000,28,5.0,2,19,"Denis Diderot , Jean Seznec",VIỆN GIÁO DỤC IRED,Nhà Xuất Bản Tri Thức,,Bìa cứng,412,2026-02-06,Tiki Trading,available,1000,False,True,True
279143681,Chính Trị Tâm Lý - Byung-Chul Han,132000,152000,13,5.0,2,25,Byung-Chul Han,PHANBOOK,Nhà Xuất Bản Hồng Đức,,Bìa mềm,144,,PHAN LỆ & FRIENDS,available,1000,True,True,True
279005217,Triết Học Nghệ Thuật (Một trong những công trình kinh điển về mỹ học),108700,145000,25,5.0,2,20,R. G. Collingwood,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,176,2025-12-25,Tiki Trading,available,1000,False,True,True
278967980,Triết học nghệ thuật - Một trong những công trình kinh điển về mỹ học,123250,145000,15,0.0,0,6,R. G. Collingwood,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,,176,,Bảo Châu Books,available,1000,True,True,True
278930204,Luận về cảm thức đạo đức,350000,350000,0,0.0,0,3,Adam Smith,Đông Tây,Nhà Xuất Bản Đồng Nai,,Bìa cứng,325,2025-12-03,Đông Tây,available,1000,True,True,True
278160785,Sự Biến Mất Của Nghi Thức,151050,159000,5,0.0,0,9,,PHANBOOK,Nhà Xuất Bản Hồng Đức,,Bìa mềm,188,2025-06-24,Cá Chép Bookstore,available,1000,True,True,True
278091329,Sách Triết Học Có Thể Làm Gì,139000,188000,26,0.0,0,45,Gary Gutting,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,384,,Tiki Trading,available,1000,False,True,True
278059466,Luận về sự tự nguyện nô lệ của con người – Étienne de la Boétie,60000,60000,0,0.0,0,3,,Công ty TNHH Truyền Thông và Giáo Dục Lyceum,Nhà Xuất Bản Đà Nẵng,,,,,SÁCH ĐẠI NAM,available,1000,True,True,True
277333055,Hướng dẫn học tập môn Triết học Mác - Lênin,65000,65000,0,1.0,1,4,,NXB Đại Học Sư Phạm,Nhà Xuất Bản Đại Học Sư Phạm,,,148,,NXB Đại học Sư phạm,available,1000,True,True,True
276147832,TINH HOA TRIẾT HỌC VEDANTA,236000,236000,0,5.0,2,9,,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Tri Thức,,Bìa cứng,782,2023-09-14,Sách Hay Tinh Tuyển,available,1000,True,True,True
