id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279286627,Sách - Karl Marx Và Dòng Suy Tư Chưa Khép Lại - Những Năm Cuối Đời,152000,190000,20,0.0,0,1,nhieu tac gia,Công ty TNHH Truyền Thông và Giáo Dục Lyceum,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279211768,TÂM LÝ HỌC VÀ HUYỀN HỌC PHƯƠNG ĐÔNG- Carl Gustav Jung- NXB Phụ nữ Việt Nam- Bách Việt Books,144000,152000,5,0.0,0,1,Carl Gustav Jung,Bách Việt,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,336,,Alpha Books Official,available,1000,True,True,True
279071601,Minh Triết Cổ Nhân Cho Cuộc Sống Hiện Đại - Khổng Tử Đạo Làm Người,179400,195000,8,0.0,0,1,"Dương Thu Ái, Nguyễn Kim Hanh",1980 Books,Nhà Xuất Bản Lao Động,,Bìa mềm,338,2026-01-09,Nhà sách NetaBooks,available,1000,True,True,True
279056301,Triết Lý Cổ Nhân,135700,195000,30,0.0,0,5,Dương Thu Ái,1980 Books,Nhà Xuất Bản Lao Động,,Bìa mềm,400,2026-01-01,Tiki Trading,available,1000,False,True,True
278518861,Sách Lược Sử Triết học Trung Hoa,238900,320000,25,0.0,0,24,Fung Yu-lan (Phùng Hữu Lan),IRED Books,Nhà Xuất Bản Dân Trí,,,492,,Tiki Trading,available,1000,False,True,True
278380328,Sách Bàn Về Đạo Nho,88000,110000,20,0.0,0,9,Nguyễn Khắc Viện,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,168,,Tiki Trading,available,1000,False,True,True
278380321,Sách Đại Cương Triết Học Trung Quốc (Hộp 2 Cuốn): Quyển Hạ + Quyển Thượng,793000,950000,17,4.5,2,8,Giản Chi Nguyễn Hiến Lê,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa cứng,1224,,Tiki Trading,available,1000,False,True,True
277993572,Sách Lão Tử Đạo Đức Kinh,84000,128000,34,5.0,4,98,Hiroshi Moriya,VanLangBooks,Nhà Xuất Bản Thanh Hóa,,Bìa mềm,264,2025-04-29,Tiki Trading,available,1000,False,True,True
277933723,Niết bàn: ác mộng cuối cùng – Osho,245000,245000,0,0.0,0,0,,Công ty TNHH Truyền Thông và Giáo Dục Lyceum,Nhà Xuất Bản Phụ Nữ,,,,,SÁCH ĐẠI NAM,available,1000,True,True,True
277461564,Sách Tánh Không,219000,275000,20,5.0,1,10,T. R. V. Murti,Công Ty Sách Thời Đại,Nhà Xuất Bản Hồng Đức,,Bìa mềm,460,2024-12-12,Tiki Trading,available,1000,False,True,True
276965651,"Đàm Đạo Với Phật Đà - Lý Giác Minh, Lâm Thấm",138000,138000,0,0.0,0,1,,SBOOKS,Nhà Xuất Bản Văn Học,,Bìa mềm,412,,Nhân Văn,available,1000,True,True,True
276319014,Sách - Thuật Nhìn Người Của Thánh Hiền (Mặc Am) - SBOOKS,99000,138000,28,0.0,0,13,,SBOOKS,Nhà Xuất Bản Văn Học,,Bìa mềm,250,2024-10-05,SBOOKS OFFICIAL,available,1000,True,True,True
275853526,Sách Nam Hoa Kinh,101400,139000,27,4.6,14,141,Trang Tử,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,488,2024-08-15,Tiki Trading,available,1000,False,True,True
275852406,Combo Trang Tử - Nam hoa Kinh (Nhượng Tống dịch) + Lão Tử - Đạo Đức Kinh - Omega Plus,190000,238000,20,5.0,1,6,,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Alpha Books Official,available,1000,True,True,True
275114108,Sách - Combo 4 Cuốn Tứ Thư: Đại Học + Luận Ngữ + Trung Dung + Mạnh Tử - SBOOKS,472000,472000,0,5.0,8,66,,SBOOKS,Nhà Xuất Bản Văn Học,,Bìa mềm,1004,2024-05-25,SBOOKS OFFICIAL,available,1000,True,True,True
274024356,Lịch Sử Đã Đến Hồi Chung Cuộc,399000,399000,0,5.0,1,28,Nguyễn Hữu Liêm,Công ty TNHH Trust Books,Nhà Xuất Bản Hồng Đức,,Bìa cứng,328,2024-01-10,Trustbooks,available,1000,True,True,True
272353234,Sách Bách gia chư tử (Các môn phái triết học dưới thời Xuân Thu Chiến Quốc),165550,215000,23,4.7,16,158,Thảo Đường Cư Sĩ Trần Văn Hải Minh,Nhã Nam,Nhà Xuất Bản Hồng Đức,,Bìa mềm,487,,Tiki Trading,available,1000,False,True,True
272302641,"(Bìa Cứng, có áo ngoài) VƯƠNG DƯƠNG MINH TOÀN THƯ - Túc Dịch Minh - Nguyễn Thanh Hải dịch",520000,520000,0,5.0,1,3,,NXB Thông Tin & Truyền Thông,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa cứng,802,2023-09-26,Bảo Châu Books,available,1000,True,True,True
272226145,Sách Triết Học Và Nhân Sinh,107030,139000,23,5.0,8,83,Hồ Thích,Nhã Nam,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,278,,Tiki Trading,available,1000,False,True,True
253468641,Combo Minh Triết Nội Tại + Bản Ngã,202000,318000,36,0.0,0,37,Nhiều tác giả,1980 Books,Nhiều Nhà Xuất Bản,,Bìa mềm,352,,Tiki Trading,available,1000,False,True,True
253129544,Di Sản Hổ Chí Minh - Bác Hồ Với Việc Đọc Và Tự Học,76000,80000,5,5.0,2,18,,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
191314603,[Bìa cứng] ĐÚNG VIỆC – Một góc nhìn về câu chuyện khai minh – Giản Tư Trung –– Viện IRED – NXB Tổng Hợp Thành phố Hồ Chí Minh ,125000,125000,0,5.0,2,47,Giản Tư Trung,Viện IRED,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa cứng,328,,NHBook,available,1000,True,True,True
190843478,COMBO 4 - (TRÍ TUỆ CỦA NGƯỜI XƯA - ĐẠO LÝ NGƯỜI XƯA - HIỂU NGƯỜI để DÙNG NGƯỜI - CỔ HỌC TINH HOA) - MINH TRIẾT PHƯƠNG ĐÔNG,475000,475000,0,4.7,298,4008,,SBOOKS,Nhà Xuất Bản Văn Học,,Bìa mềm,1323,2022-07-13,SBOOKS OFFICIAL,available,1000,True,True,True
184070221,Sách OSHO Hiểu - Đường Đến Tự Do,151200,168000,10,0.0,0,1,Osho,FIRST NEWS,Nhà Xuất Bản Dân Trí,,Bìa mềm,368,2022-05-05,Bảo Châu Books,available,1000,True,True,True
178032061,Sách OSHO Đạo - Con Đường Không Lối,83160,108000,23,5.0,35,355,Osho,FIRST NEWS,Nhà Xuất Bản Dân Trí,,Bìa mềm,264,2022-04-04,Tiki Trading,available,1000,False,True,True
178000444,Lão Tử Đạo Đức Kinh (Tái Bản 2022),79000,99000,20,0.0,0,17,Lão Tử,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,212,2022-05-03,Alpha Books Official,available,1000,True,True,True
128534559,Sách ĐÀM ĐẠO VỚI LÃO TỬ - Lưu Ngôn,138000,138000,0,4.8,11,67,Lưu Ngôn,SBOOKS,Nhà Xuất Bản Văn Học,,Bìa mềm,292,2021-09-06,SBOOKS OFFICIAL,available,1000,True,True,True
93070764,Sách Nhập Môn Triết Học Đông Phương (Ts Thu Giang) (Tái Bản),76000,80000,5,4.8,10,76,Thu Giang Nguyễn Duy Cần,NXB Trẻ,NXB Trẻ,,Bìa mềm,192,2021-04-15,Nhà sách Fahasa,available,1000,True,True,True
73550838,Combo 2 Cuốn: Từ Điển Triết Học Ấn Độ Giản Yếu + Veda Upanishad - Những Bộ Kinh Triết Lý Tôn Giáo Cổ Ấn Độ,560900,585000,4,5.0,2,16,PGS. TS Doãn Chính,Nhà sách Lao Động,Nhiều Nhà Xuất Bản,,Bìa cứng,1300,,Tiki Trading,available,1000,False,True,True
73515859,Sách OSHO - Can Đảm Là Chính Mình Trong Thế Giới Hiểm Nguy,73000,88000,17,5.0,25,164,Osho,First News - Trí Việt,Nhà Xuất Bản Thế Giới,,Bìa gập,192,2020-11-01,Nhà sách Fahasa,available,1000,True,True,True
67491398,Sách OSHO Từ Bi - Compassion,106200,128000,17,5.0,29,192,Osho,First News - Trí Việt,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,,Bìa gập,228,2020-09-15,Nhà sách Fahasa,available,1000,True,True,True
67271338,Sách OSHO - Trò Chuyện Với Vĩ Nhân,164300,198000,17,5.0,43,173,Osho,First News - Trí Việt,Nhà Xuất Bản Văn Hóa - Văn Nghệ,,Bìa gập,396,,Nhà sách Fahasa,available,1000,True,True,True
53716211,Sách Triết Học Trung Quốc Thời Tiên Tần,380000,450000,16,5.0,52,216,Phùng Hữu Lan,Công Ty Sách Thời Đại,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1260,2020-01-01,Tiki Trading,available,1000,False,True,True
52691750,Sách Tự Do Đầu Tiên & Cuối Cùng,138800,178000,22,4.8,18,118,J.Krishnamurti,First News - Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,436,2020-04-01,Nhà sách Fahasa,available,1000,True,True,True
50416094,Sách Vào Cửa Triết Đông,145500,150000,3,5.0,18,123,Lý Minh Tuấn,NXB Trẻ,NXB Trẻ,,Bìa mềm,352,2020-01-01,Nhà sách Fahasa,available,1000,True,True,True
32818414,Sách Thăm Dò Tiềm Thức ( Tái Bản ),67300,75000,10,4.8,10,91,Carl Gustav Jung,NXB Tri Thức,Nhà Xuất Bản Tri Thức,,Bìa mềm,154,2019-06-01,Tiki Trading,available,1000,False,True,True
24164587,Tủ Sách Bác Hồ - Việt Nam Đẹp Nhất Tên Người,55400,63000,12,5.0,7,65,Khánh Linh,NXB Lao Động,,,,,,Nhà sách Fahasa,available,1000,True,True,True
540527,Sách Hàn Phi Tử Mưu Lược Tung Hoành,91000,130000,30,5.0,2,152,Ngô Khung,Văn Lang,,,,384,2016-06-30,Tiki Trading,available,1000,False,True,True
490639,Sách Lão Tử - Tinh Hoa Trí Tuệ Qua Danh Ngôn,66900,96000,30,4.7,28,587,Hoàng Thần Thuần,VanLangBooks,,,Bìa mềm,222,2016-03-19,Tiki Trading,available,1000,False,True,True
470188,Sách Âm Dương Và Nguyên Lý Vô Song Của Triết Lý Khoa Học Phương Đông,61750,61750,0,5.0,30,680,George Ohsawa,Nhà Ohsawa MacroBioics,Nhà Xuất Bản Hồng Đức,,Bìa mềm,232,,Chính Thông,available,1000,True,True,True
279192183,Đạo Đức Phật Giáo - Cuộc khám phá Triết học (Jay L. Garfield),269000,269000,0,0.0,0,3,Jay L. Garfield,CÔNG TY TNHH LP BOOKS,Nhà Xuất Bản Tri Thức,,Bìa mềm tay gấp,392,2026-03-01,MỌT Bookstore,available,1000,True,True,True
279133320,Sách - Tưởng Như Không Thể - Những Câu Chuyện Ngoại Truyện Tại Iran Và Ucraina,152000,190000,20,0.0,0,1,nhieu tac gia,Saigon Books,Nhà Xuất Bản Tri Thức,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279132871,"Sách - Hồ Chủ Tịch - Hình Ảnh Của Dân Tộc, Tinh Hoa Của Thời Đại",62000,66000,6,0.0,0,1,nhieu tac gia,NXB Chính Trị Quốc Gia,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279132090,Sách - Bác Hồ Tấm Gương Mẫu Mực Về Sự Giản Dị (Tái Bản 2024),51100,55000,7,0.0,0,1,Khánh Linh,Tân Việt,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279058542,Sách - Bác Hồ - Người Việt Nam Đẹp Nhất - Cần Kiệm-Liêm Chính,32600,34000,4,0.0,0,1,nhieu tac gia,Cty Văn Hóa & Truyền Thông Trí Việt.,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279058536,Sách - Bác Hồ - Người Việt Nam Đẹp Nhất - Đạo Đức,32600,34000,4,0.0,0,1,nhieu tac gia,Cty Văn Hóa & Truyền Thông Trí Việt.,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278787341,Sách - Giác Ngộ: Lời Phật Dạy về Con Đường Giải Thoát - SBOOKS,118000,118000,0,5.0,2,3,Khánh Phương,SBOOKS,Nhà Xuất Bản Văn Học,,Bìa mềm,296,2025-10-21,SBOOKS OFFICIAL,available,1000,True,True,True
278760658,Sách - Việt Nam Vươn Mình,145300,158000,8,0.0,0,1,nhieu tac gia,Dn Tư Nhân Thương Mại Toàn Phúc,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
