id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278814642,Sách - 7 Ngày Học Kinh Doanh F&B - Để Bạn Làm ĐÚNG Mọi Thứ Ngay Từ Đầu,165000,199000,17,5.0,4,49,Thuận Nguyễn,Công ty TNHH Truyền Thông Giver,Nhà Xuất Bản Thế Giới,,Bìa mềm,244.0,2025-11-11,GIVER BOOKS & MEDIA,available,1000,True,True,True
278230651,Sách Khi Bạn Tắc Đường Thì Tôi Đang Chơi Golf (Tái Bản),84000,128000,34,5.0,157,35,Simon Thompson,Huy Hoàng Bookstore,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,Bìa mềm,276.0,2019-07-01,Tiki Trading,available,1000,False,True,True
278159882,Sách Phong Cách Nvidia,162500,250000,35,5.0,9,164,Tea Kim,Nhã Nam,Nhà Xuất Bản Dân Trí,,Bìa cứng,362.0,,Tiki Trading,available,1000,False,True,True
277570083,Sách - Thế Mạnh Của Tuổi Trung Niên - Arthur C. Brooks,174240,198000,12,0.0,0,33,Arthur C. Brooks,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,324.0,2025-03-27,Saigon Books Official,available,1000,True,True,True
277526068,Sách Binh Pháp Tôn Tử Và Nghệ Thuật Kiếm Tiền -Tái Bản,56000,88000,36,5.0,2,23,Michael M K Cheung,VanLangBooks,Nhà Xuất Bản Thanh Hoá,,Bìa mềm,176.0,2024-03-18,Tiki Trading,available,1000,False,True,True
277444216,Sách Think & Grow Rich - 13 Nguyên Tắc Nghĩ Giàu Làm Giàu,95700,129000,26,4.5,19,25,Napoleon Hill,Thái Hà,Nhà Xuất Bản Lao Động,,Bìa mềm,399.0,,Tiki Trading,available,1000,False,True,True
277361266,Sách Nông sản Việt Nam và Thế giới,92160,128000,28,4.3,6,94,Phan Minh Thông,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,320.0,2025-02-18,Tiki Trading,available,1000,False,True,True
276948798,"Sách Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",92400,150000,38,4.8,94,2532,Hirata Haruka,Ecoblader,Nhà Xuất Bản Kinh Tế TPHCM,,Bìa mềm,168.0,2024-03-12,Tiki Trading,available,1000,False,True,True
276841175,Sách Triết Lý Kinh Doanh Của Kyocera,153000,199000,23,4.8,164,53,Inamori Kazuo,Thái Hà,Nhà Xuất Bản Công Thương,,Bìa cứng,435.0,2020-03-01,Tiki Trading,available,1000,False,True,True
275243821,Sách 1 thắng 9 bại - Câu chuyện khởi nghiệp và gây dựng thương hiệu của ông chủ UNIQLO - tỷ phú giàu nhất Nhật Bản,90000,120000,25,5.0,17,349,Tadashi Yanai,NXB Trẻ,NXB Trẻ,,Bìa mềm,208.0,2024-06-12,Tiki Trading,available,1000,False,True,True
274872645,Dek Biết Gì Cũng Tiến,500000,500000,0,5.0,2,72,nhieu tac gia,Cty Anbooks,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
