id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279169735,Lãnh Đạo Thời Gian Khó - 7 Thách Thức Cốt Lõi Của Lãnh Đạo Trong Thời Kỳ Khó Khăn - John C. Maxwell - Alpha Books,110700,149000,26,0.0,0,3,John C. Maxwell,Alpha Books,NXB Dân Trí,,Bìa mềm,188.0,2026-02-07,Tiki Trading,available,1000.0,False,True,True
279071951,Làm Ra Làm Chơi Ra Chơi – Kỷ Luật Bản Thân Và Hiệu Suất Công Việc,99000,99000,0,0.0,0,2,Cal Newport,Alpha Books,Nhà Xuất Bản Lao Động,,Bìa mềm tay gấp,351.0,2024-01-14,VPLEAD EDUCATION,available,1000.0,True,True,True
278944357,TƯ DUY KINH TẾ VIỆT NAM 1975 – 1989 – Đặng Phong – Omega Plus,211000,235000,10,0.0,0,2,Đặng Phong,Omega Plus,Nhà Xuất Bản Tri Thức,,Bìa mềm tay gấp,476.0,,Alpha Books Official,available,1000.0,True,True,True
278611108,Kỷ Yếu 300 Năm Adam Smith (1723 - 2023) - Người Đặt Nền Tảng Của Kinh Tế Học Phồn Vinh,260000,339000,23,5.0,2,26,nhieu tac gia,PHANBOOK,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,556.0,,PHAN LỆ & FRIENDS,available,1000.0,True,True,True
277499422,Sách 5 Bài Học Của Ben Hogan: Những Nguyên Tắc Cơ Bản Hiện Đại Của Golf,296000,399000,26,5.0,1,46,,Alpha Books,Nhà Xuất Bản Thế Giới,,Bìa cứng áo ôm,280.0,,Tiki Trading,available,1000.0,False,True,True
277482522,NVIDIA Cỗ Máy Tư Duy Vĩ Đại,179280,249000,28,5.0,3,70,,1980 Books,Nhà Xuất Bản Công Thương,,,,,1980 BOOKS HCM,available,1000.0,True,True,True
276756378,"Sách Các Triết Gia Thế Tục - Cuộc Đời, Thời Đại Và Tư Tưởng Của Các Nhà Kinh Tế Vĩ Đại",208000,299000,30,4.8,11,165,Robert L. Heilbroner,Alphabooks,Nhà Xuất Bản Hà Nội,,Bìa mềm tay gấp,388.0,,Tiki Trading,available,1000.0,False,True,True
276663742,Hồi Ức Của Một Thiên Tài Đầu Tư Chứng Khoán - Jesse Livermore - Reminiscences Of A Stock Operator - AL,159000,199000,20,0.0,0,0,Edwin Lefèvre,Alpha Books,Nhà Xuất Bản Lao Động,,Bìa mềm,468.0,,Omega Plus Books,available,1000.0,True,True,True
276292561,Báo cáo tài chính dưới góc nhìn của Warren Buffett - Đạo của Warren Buffett (combo),202400,202400,0,5.0,1,15,Mary Buffett - David Clark,DT Books,Nhà Xuất Bản Hồng Đức - Hội Luật Gia Việt Nam,,Bìa mềm,391.0,2023-06-06,DTBOOKS,available,1000.0,True,True,True
275157720,"Người Bình Thường Không Ai Khởi Nghiệp - Nghe Chuyện Thành Bại, Cho Chủ Mới Bớt Chơi Vơi!",156000,199000,22,5.0,17,571,,Công ty TNHH Truyền Thông Giver,Nhà Xuất Bản Thế Giới,,Bìa mềm,300.0,2024-06-28,GIVER BOOKS & MEDIA,available,1000.0,True,True,True
274145772,Hòn tuyết lăn - Những triết lý sống và đầu tư vượt thời gian của Warren Buffett (tái bản 2024),650750,650750,0,5.0,3,57,Alice Schroeder,DT Books,Nhà Xuất Bản Hồng Đức - Hội Luật Gia Việt Nam,,Bìa mềm,1303.0,2024-02-15,DTBOOKS,available,1000.0,True,True,True
3608617,Sách Góc Nhìn Alan - Dành Tặng Doanh Nhân Việt Trong Thế Trận Toàn Cầu,199000,199000,0,4.8,131,1251,Alan Phan,CÔNG TY TNHH HAPPY LIVE,Nhà Xuất Bản Thế Giới,,Bìa mềm,337.0,2021-07-15,HappyLive,available,1000.0,True,True,True
809801,Sách Made In Korea,141400,199000,29,4.7,19,414,Richard M. Steers,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,408.0,2017-11-09,Tiki Trading,available,1000.0,False,True,True
355497,Sách Đường Đến Thành Công Đỉnh Cao - Những Lời Khuyên Đắt Giá Trong Kinh Doanh,56000,75000,25,3.8,4,276,Donald J. Trump,NXB Trẻ,NXB Trẻ,,Bìa mềm,272.0,2012-03-10,Tiki Trading,available,1000.0,False,False,True
279188205,Doanh Nhân Kiến Quốc,274300,369000,26,0.0,0,1,Minh Hương (biên soạn),Thái Hà,Nhà Xuất Bản Công Thương,,,304.0,,Tiki Trading,available,1000.0,False,True,True
278944862,"(Combo 2 cuốn Đặng Phong) ""PHÁ RÀO"" TRONG KINH TẾ VÀO ĐÊM TRƯỚC ĐỔI MỚI; TƯ DUY KINH TẾ VIỆT NAM 1975 – 1989  – Đặng Phong – Omega Plus",450000,500000,10,0.0,0,0,Đặng Phong,Omega Plus,Nhà Xuất Bản Tri Thức,,Bìa mềm tay gấp,1008.0,,Alpha Books Official,available,1000.0,True,True,True
277499394,5 Bài Học Của Ben Hogan: Những Nguyên Tắc Cơ Bản Hiện Đại Của Golf,359000,399000,10,0.0,0,3,,Alpha Books,Nhà Xuất Bản Thế Giới,,,280.0,,Sống Official,available,1000.0,True,True,True
277228004,Sách Mã nguồn: Khởi đầu của tôi - Bill Gates,152000,225000,32,5.0,28,393,Bill Gates,NXB Trẻ,NXB Trẻ,,Bìa mềm,392.0,2025-02-05,Tiki Trading,available,1000.0,False,True,True
277026502,Sách Donald Trump Bậc thầy thương trường và quyền lực Nhà Trắng,143000,186000,23,0.0,0,8,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,Tiki Trading,available,1000.0,False,True,True
276657765,"Sách Nhậm Chính Phi đã lập nghiệp , phải làm nên nghiệp lớn - Chân dung những tỉ phú hàng đầu Trung Quốc",109100,150000,27,5.0,1,29,Triệu Văn Khải,Tân Việt,Nhà Xuất Bản Dân Trí,,Bìa mềm,355.0,,Tiki Trading,available,1000.0,False,True,True
275625151,Sách Vua Bán Lẻ – Cuộc đời và bài học thực tiễn từ J. C. Penney – Tay trắng gây dựng chuỗi bán lẻ hàng đầu nước Mĩ,75000,150000,50,0.0,0,38,"Beatrice Plumb, James Cash Penney",Ecoblader,Nhà Xuất Bản Kinh Tế TPHCM,,Bìa mềm,216.0,,Tiki Trading,available,1000.0,False,True,True
275279876,Sách Warren Buffett: Nhà đầu tư và doanh nhân khởi nghiệp,133000,180000,26,4.7,3,40,Todd A. Finkle,NXB Trẻ,NXB Trẻ,,Bìa mềm,384.0,2024-06-18,Tiki Trading,available,1000.0,False,True,True
275270443,Coaching Salespeople Into Sales Champions - Huấn Luyện Nhân Viên Bán Hàng Trở Thành Nhà Vô Địch Bán Hàng ,369000,369000,0,0.0,0,11,Gehenna,Công ty cổ phần Xuất bản Khác,Nhà Xuất Bản Thanh Niên,,Bìa mềm,430.0,,NewShop Official,available,1000.0,True,True,True
275050421,Những Điều Trường Harvard Không Dạy Bạn,111000,139000,20,0.0,0,2,Mark H. McCormack,Alpha Books,Nhà Xuất Bản Lao Động,,Bìa mềm,343.0,2024-05-18,Alpha Books Official,available,1000.0,True,True,True
273613264,Sách Toyota - Thay Đổi Để Phát Triển,94400,149000,37,0.0,0,11,Erina Watanabe,1980 Books,Nhà Xuất Bản Lao Động,,Bìa mềm,243.0,2023-12-01,Tiki Trading,available,1000.0,False,True,True
273379524,Sách Bí Quyết Thành Công Của Bill Gates,81400,120000,32,5.0,1,15,Khảm Sài Nhân,Pandabooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,312.0,2023-11-11,Tiki Trading,available,1000.0,False,True,True
272061717,5 Nguyên Tắc Bất Biến Để Xây Dựng Đội Nhóm Vô Địch,140160,192000,27,0.0,0,63,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,BizbooksJSC,available,1000.0,True,True,True
262526192,Sách Lập Kế Hoạch Dòng Tiền Thông Minh,159000,159000,0,0.0,0,0,Futoshi Fujikawa,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,260.0,2023-04-04,info book,available,1000.0,True,True,True
253239868,Dạy Con Làm Giàu 02 - Sử Dụng Đồng Vốn,120350,145000,17,0.0,0,2,Robert Kiyosaki,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,Nhà Xuất Bản Trẻ,available,1000.0,True,True,True
252869354,Sách - Trọn bộ 13 cuốn Dạy con làm giàu,1480000,1480000,0,3.0,1,3,,Công ty Cổ phần sách Nhân dân,NXB Trẻ,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000.0,True,True,True
251092368,Cha Giàu Cha Nghèo - Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền,80000,80000,0,5.0,3,80,Robert T.Kiyosaki,NXB Trẻ,NXB Trẻ,,Bìa mềm,193.0,,Bảo Châu Books,available,1000.0,True,True,True
217477581,Đạo Của Warren Buffett,97000,97000,0,5.0,1,5,Mary Buffett - David Clark,DT Books,Nhà Xuất Bản Hồng Đức,,Bìa mềm,182.0,,Bảo Châu Books,available,1000.0,True,True,True
214822259,Sách Frugal Innovation - Làm tốt hơn với nguồn lực ít hơn,220000,220000,0,0.0,0,1,,Sách điện tử Saigon Books,Nhà Xuất Bản Thế Giới,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000.0,True,True,True
205576401,Sách Honda Soichiro - Thiên Tài Không Bằng Cấp,111200,169000,34,5.0,5,82,Bessatsu Takarajima,1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,328.0,2022-11-01,Tiki Trading,available,1000.0,False,True,True
199706086,Sách Bản Chất Của Dối Trá (Tái Bản 2022),96900,149000,35,4.7,3,58,Dan Ariely,Alphabooks,Nhà Xuất Bản Công Thương,,Bìa mềm,224.0,2022-10-10,Tiki Trading,available,1000.0,False,True,True
158762489,"Sách OKR: ""Kinh Thánh"" Quản Trị Và Cách Vận Hành Hiệu Qủa",121000,168000,28,5.0,6,136,Piotr Feliks Grzywacz,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,248.0,2022-01-01,Tiki Trading,available,1000.0,False,True,True
158762480,Sách Bí Quyết Xây Dựng Đội Nhóm Tự Quản Đạt Hiệu Suất Cao,89600,128000,30,5.0,3,109,Amano Masaru,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,176.0,2022-01-01,Tiki Trading,available,1000.0,False,True,True
