id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
275407968,Chip War - Cuộc Chiến Vi Mạch - Bìa Cứng,267000,300000,11,4.0,2,67,Chris Miller,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
273849868,Đừng bán bảo hiểm hãy trao giải pháp,102000,102000,0,0.0,0,3,,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,LITTLE BOOKS,available,1000,True,True,True
253358763,Đừng bán bảo hiểm hãy trao giải pháp,120000,120000,0,0.0,0,5,Pilot Nguyễn,NXB Tổng hợp Thành Phố Hồ Chí Minh,NXB Tổng Hợp Thành Phố Hồ Chí Minh,,,,2020-03-19,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
195192102,Đừng Bán Bảo Hiểm Hãy Trao Giải Pháp - Sách Gối Đầu Dành Cho Tư Vấn Bảo Hiểm Nhân Thọ (Tái Bản 2020),108000,120000,10,5.0,3,23,Pilot Nguyễn,NXB Tổng Hợp TPHCM,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000,True,True,True
133178184,Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Trọn Bộ 4 Tập),1480000,2230000,34,4.8,15,113,Lê Minh,NXB Đà Nẵng,Nhà Xuất Bản Tổng hợp Đà Nẵng,,Bìa mềm,,,Lê Minh Hoàn,available,1000,True,True,True
130471153,Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Tập 4: Bí Quyết Quản Trị Đội Nhóm),500000,1000000,50,4.8,6,27,Lê Minh,NXB Tổng Hợp Đà Nẵng,Nhà Xuất Bản Tổng hợp Đà Nẵng,,Bìa mềm,196.0,2021-08-11,Lê Minh Hoàn,available,1000,True,True,True
101613041,Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Tập 2: Để Trở Thành Tư Vấn Viên Vạn Người Mê),450000,450000,0,5.0,5,21,"Lê Minh, Lê Minh,  Lê Minh",NXB Đà Nẵng,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,306.0,,Lê Minh Hoàn,available,1000,True,True,True
100347077,"Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Tập 2,3)",880000,880000,0,5.0,9,29,"Lê Minh, Lê Minh,  Lê Minh",NXB Tổng Hợp Đà Nẵng,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,,,Lê Minh Hoàn,available,1000,True,True,True
100347068,"Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Tập 1,2,3)",880000,1230000,28,4.8,26,148,"Lê Minh, Lê Minh,  Lê Minh",NXB Tổng Hợp Đà Nẵng,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,,2021-05-24,Lê Minh Hoàn,available,1000,True,True,True
98242583,Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Tập 3: Để Chốt Hợp Đồng Không Một Lời Từ Chối),430000,430000,0,4.8,23,86,"Lê Minh, Lê Minh,  Lê Minh",NXB Đà Nẵng,Nhà Xuất Bản Tổng hợp Đà Nẵng,,Bìa mềm,228.0,2021-04-02,Lê Minh Hoàn,available,1000,True,True,True
77231313, Sách - Cẩm Nang Tư Vấn Bảo Hiểm Cho Người Mới Bắt Đầu,129000,129000,0,5.0,1,5,Chu Châu,1980 Books,Nhà Xuất Bản Công Thương,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
72669679,"Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Tập 1,2)",800000,800000,0,5.0,109,474,Lê Minh,NXB Tổng Hợp Đà Nẵng,Nhà Xuất Bản Tổng hợp Đà Nẵng,,Bìa cứng,,2020-06-01,Lê Minh Hoàn,available,1000,True,True,True
70602619,Tập 2 - Những Kỹ Năng Không Ai Nói Với Bạn Trong Nghề Tư Vấn Bảo Hiểm ,450000,450000,0,5.0,98,312,Lê Minh,NXB Tổng Hợp Đà Nẵng,Nhà Xuất Bản Tổng hợp Đà Nẵng,,Bìa cứng,288.0,2020-09-01,Lê Minh Hoàn,available,1000,True,True,True
57696329,Tư Vấn Bảo Hiểm - Những Kỹ Năng Không Ai Nói Với Bạn (Tập 1),350000,350000,0,4.7,265,1742,,Liên kết với tác giả,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,196.0,2020-06-01,Lê Minh Hoàn,available,1000,True,True,True
11841468,Sách Đừng Bán Bảo Hiểm Hãy Trao Giải Pháp,120000,120000,0,5.0,7,71,Pilot Nguyễn,NXB Tổng Hợp TP. HCM,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,248.0,2019-03-03,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
