id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279282204,Pháp Luật Cạnh Tranh - Tiếp Cận Từ Góc Độ Chính Sách Và Kinh Tế Hiện Đại - PGS.TS Tăng Văn Nghĩa - Omega Plus,279000,329000,15,0.0,0,2,PGS.TS Tăng Văn Nghĩa,Omega Plus,Nhà Xuất Bản Lao Động,,Bìa mềm,680.0,2026-04-02,Alpha Books Official,available,1000,True,True,True
279241683,"Sách - Sách Lược Sử Kinh Tế Học Lầy Lội - Khủng Hoảng Dạy Cho Ta Những Gì? - Tập 1,2 (Bộ/Lẻ 2 Cuốn)",132400,179000,26,0.0,0,3,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279237690,Sách - Chiến Tranh Tiền Tệ,138700,185000,25,0.0,0,3,nhieu tac gia,Bách Việt,Nhà Xuất Bản Lao Động,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279149608,Sách - Đô La Mỹ Và Quyền Lực Thống Trị Toàn Cầu - Từ Quá Khứ Đến Tương Lai,220000,250000,12,0.0,0,7,nhieu tac gia,Alpha Books,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279134432,Sách - Lược Sử Kinh Tế,95400,106000,10,0.0,0,6,nhieu tac gia,Nhã Nam,Nhà Xuất Bản Công Thương,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279112554,Sách - Right to Win For Vietnamese Agriculture - AgriS And Betrimex’s Path To Success In The Global Supply Chain,308000,350000,12,0.0,0,2,nhieu tac gia,Cty Anbooks,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278993520,Sách - Debt - Nợ - Sợi Xích Vô Hình 5000 Năm,222900,245000,9,0.0,0,8,nhieu tac gia,Huy Hoàng Bookstore,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278907004,Sách - Dịch Chuyển Các Chuỗi Cung Toàn Cầu Dưới Tác Động Của Mỹ - Thách Thức Và Cơ Hội Đối Với Việt Nam,227000,258000,12,5.0,1,2,nhieu tac gia,Fahasa,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278860628,Sách - Combo Sách Lược Sử Kinh Tế Học Lầy Lội - Khủng Hoảng Dạy Cho Ta Những Gì? - Tập 1 + Tập 2 (Bộ 2 Tập),322300,408000,21,0.0,0,38,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278831305,Sách - Kinh Tế Học Vì Lợi Ích Chung,286300,345000,17,0.0,0,2,nhieu tac gia,Alpha Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
