id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279144570,"Sách - Thị trường là tấm gương - Tác giả Toàn Lê - Tritthuctrebooks - Khổ sách 14,5*20,5cm",160000,160000,0,0.0,0,2,Toàn Lê,Tri Thức Trẻ Books,Nhà xuất bản Kinh tế tài chính,,Bìa mềm tay gấp,156.0,,Tri Thức Trẻ Books,available,1000,True,True,True
279070363,ĐôLa Mỹ và quyền lực thống trị toàn cầu. Từ quá khứ đến tương lai. (Sách đặt hàng),237000,250000,5,0.0,0,3,Paul Blustein,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,477.0,,Alpha Books Official,available,1000,True,True,True
278499935,Ứng Dụng AI Trong Đầu Tư Tài Chính - Bản Quyền,239000,239000,0,0.0,0,0,Cris DoLoc,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,470.0,2025-08-14,Bamboo Books,available,1000,True,True,True
277820086,Tiền Mã Hóa - Giấc Mơ Vàng Và Cơn Ác Mộng Tài Chính,228000,228000,0,0.0,0,0,Zeke Faux,Nhã Nam,Nhà Xuất Bản Công Thương,,Bìa mềm,388.0,2025-04-21,FishingBook,available,1000,True,True,True
275070990,Vượt Xa Kỹ Thuật Số,199750,235000,15,0.0,0,0,"Paul Leinwand, Mahadeva Matt Mani",Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,316.0,,NXB TỔNG HỢP,available,1000,True,True,True
262656103,Blockchain Khởi Nguồn Cho Một Nền Kinh Tế Mới,199000,199000,0,0.0,0,0,,Alpha Books,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,,,,info book,available,1000,True,True,True
225195105,Vén Màn Những Bê Bối Crypto,70800,118000,40,0.0,0,1,Erica Stanford,AZ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,Nhà sách Fahasa,available,1000,True,True,True
213565615,Combo Công Nghệ - Chuyển Đổi Số: Metaverse: Vũ Trụ Ảo Và Cuộc Cách Mạng Hoá Vạn Vật + Cuộc Cách Mạng Blockchain + Digital Transformation - Chuyển Đổi Số,613690,797000,23,0.0,0,1,,Alphabooks,Nhà Xuất Bản Thông Tin Và Truyền Thông,,Bìa mềm,,,Alpha Books Official,available,1000,True,True,True
209293348,Bitcoin Thực Hành: Những Khái Niệm Cơ Bản Và Các - Bản Quyền,239000,299000,20,0.0,0,1,Andreas M. Antonopoulos,Alphabooks,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,Bìa mềm,540.0,2022-12-16,Alpha Books Official,available,1000,True,True,True
208917339,Cuộc Cách Mạng Blockchain - Bản Quyền,299000,299000,0,0.0,0,0,,Alphabooks,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
202292296,"METARVESE – cuộc cách mạng tiếp nối blockchain, NFT và tiền điện tử",149000,149000,0,0.0,0,6,Agnes Blevinsson,1980 Books,Nhà Xuất Bản Dân Trí,,,236.0,,1980 BOOKS HCM,available,1000,True,True,True
199889922,"Metarvese - Cuộc Cách Mạng Tiếp Nối Blocchain, Nft Và Tiền Điện Tử",149000,149000,0,0.0,0,0,Agnes Blevinsson,1980 Books,NXB Dân Trí,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
197900441,"Combo 2Q Sách Tài Chính, Tiền Tệ : NFT – Cuộc Cách Mạng Công Nghệ Tiếp Nối Blockchain Và Kỷ Nguyên Tiền Điện Tử + Metaverse -  Cuộc Cách Mạng Tiếp Nối Blockchain , NFT Và Tiền Điện Tử",308000,308000,0,0.0,0,0,,Nhiều công ty phát hành,Nhiều Nhà Xuất Bản,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
197695174,"Sách METARVESE - Cuộc Cách Mạng Tiếp Nối Blocchain, NFT Và Tiền Điện Tử",103700,149000,30,5.0,1,29,Agnes Blevinsson,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,236.0,2022-09-09,Tiki Trading,available,1000,False,True,True
185410051,NFT - Cuộc Cách Mạng Công Nghệ Tiếp Nối Blockchain Và Kỷ Nguyên Tiền Điện Tử - Marc Beckman,114480,159000,28,4.8,4,21,Marc Beckman,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,296.0,,1980 BOOKS HCM,available,1000,True,True,True
167613433,Cuộc Cách Mạng Blockchain,299000,299000,0,0.0,0,0,,Alphabooks,oem,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
166845892,Sách - NFT - Cuộc cách mạng công nghệ nối tiếp Blockchain và Kỷ nguyên tiền điện tử - 1980BOOKS,159000,159000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,296.0,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
166525103,Sách NFT – Cuộc Cách Mạng Công Nghệ Tiếp Nối Blockchain Và Kỷ Nguyên Tiền Điện Tử,159000,159000,0,0.0,0,0,Marc Beckman,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,296.0,2022-02-01,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
166417499,NFT – CUỘC CÁCH MẠNG CÔNG NGHỆ TIẾP NỐI BLOCKCHAIN VÀ KỶ NGUYÊN TIỀN ĐIỆN TỬ,159000,159000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Công Thương,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
166057492,NFT – CUỘC CÁCH MẠNG CÔNG NGHỆ TIẾP NỐI BLOCKCHAIN VÀ KỶ NGUYÊN TIỀN ĐIỆN TỬ,159000,159000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Công Thương,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
144482192,Combo sách đầu tư trong kỷ nguyên mới: Blockchain Cơ hội hay bong bong - Chiến lược ICO thành công + Thoát Bẫy Tâm Lý Giao Dịch Trong Chứng Khoán - Gồng Lời Không Gồng Lỗ,633000,688000,8,5.0,1,3,,Cty TNHH R BOOKS,Nhà Xuất Bản Lao Động,,,,,RBooks Shop,available,1000,True,True,True
98675067,Combo Blockchain – Khởi Nguồn Cho Một Nền Kinh Tế Mới + Bitcoin Thực Hành: Những Khái Niệm Cơ Bản Và Cách Sử Dụng Đúng Đồng Tiền Mã Hóa,498000,498000,0,0.0,0,0,nhieu tac gia,Alpha Books,Nhiều Nhà Xuất Bản,,Bìa mềm,768.0,2021-05-18,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
92010741,Sách - Internet của tiền tệ,159000,199000,20,0.0,0,0,,Alphabooks,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,,212.0,,Alpha Books Official,available,1000,True,True,True
53261272,"Cuốn Sách Giúp Bạn Hiểu Được Bản Chất Của Tiền Tệ, Nền Kinh Tế Truyền Thống, Để Từ Đó Hiểu Sâu Hơn Về Bitcoin Và Blockchain: Internet Của Tiền Tệ",159000,199000,20,4.8,12,102,,Alphabooks,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,,,,Alpha Books Official,available,1000,True,True,True
42688676,Combo Sách Công Nghệ 4.0 : Cuộc Cách Mạng Blockchain + Cuộc Cách Mạng Nền Tảng,598000,598000,0,0.0,0,0,.,Alphabooks,Nhà Xuất Bản Công Thương,,Bìa mềm,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
2917509,Sách Digital Gold - Rủ Nhau Lên Mạng Đào Vàng,194300,299000,35,5.0,4,7,Nathaniel,Alphabooks,,,Bìa mềm,392.0,,Nhà sách Fahasa,available,1000,True,True,True
2013617,Sách BITCOIN - Bong Bóng Tài Chính Hay Tương Lai Của Tiền Tệ,115500,115500,0,0.0,0,2,Mark Gates,1980 Books,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,Bìa mềm,276.0,2018-04-24,AHABOOKS,available,1000,True,True,True
1954469,Sách Cuộc Cách Mạng Blockchain,224200,299000,25,5.0,12,63,"Don Tapscott, Alex Tapscott",Alphabooks,,,Bìa mềm,506.0,2018-01-01,Nhà sách Fahasa,available,1000,True,True,True
1613345,Sách The Truth Machine: Blockchain Và Tương Lai Của Tiền Tệ,189000,189000,0,0.0,0,0,"Paul Vigna, Michael J. Casey",1980 Books,Nhà Xuất Bản Lao Động,,Bìa mềm,,2018-03-12,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
1582315,Sách Mastering Bitcoin - Bitcoin Thực Hành: Những Khái Niệm Cơ Bản Và Cách Sử Dụng Đúng Đồng Tiền Mã Hóa,194300,299000,35,4.8,10,42,Andreas M. Antonopoulos,Alphabooks,,,Bìa mềm,540.0,2018-01-01,Nhà sách Fahasa,available,1000,True,True,True
1387547,Sách Blockchain – Khởi Nguồn Cho Một Nền Kinh Tế Mới,169100,199000,15,4.8,6,35,Melanie Swan,Alphabooks,,,Bìa mềm,228.0,2018-01-01,Nhà sách Fahasa,available,1000,True,True,True
