id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
275406600,Sách Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,126300,195000,35,4.7,95,3048,Tiffani Bova,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,358,2024-06-01,Tiki Trading,available,1000,False,True,True
277809376,Sách Tư duy dã tràng - Tim trí giao tranh,120000,160000,25,5.0,40,817,Phan Văn Trường,NXB Trẻ,NXB Trẻ,,Bìa mềm,332,2025-04-24,Tiki Trading,available,1000,False,True,True
186286187,Sách Nhà Lãnh Đạo Không Chức Danh,78000,105000,26,5.0,176,4825,Robin Sharma,NXB Trẻ,NXB Trẻ,,Bìa mềm,178,2022-06-06,Tiki Trading,available,1000,False,True,True
276944781,Sách Công Cụ Của Những Người Khổng Lồ,332000,395000,16,5.0,10,159,Timothy Ferriss,NXB Trẻ,NXB Trẻ,,Bìa mềm,844,,Tiki Trading,available,1000,False,True,True
276497151,Sách Càng kiên định càng thành công: 12 phẩm chất rèn luyện tâm trí vững vàng để hoàn thành xuất sắc mọi việc,117600,168000,30,0.0,0,133,Jim Rohn,Công ty CP Sách Bizbooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,268,2024-09-27,Tiki Trading,available,1000,False,True,True
277165432,"Sách Hành Lang Hẹp - Nhà Nước, Xã Hội Và Vận Mệnh Của Tự Do",277000,397000,30,5.0,37,567,Daron Acemoglu - James A. Robinson,NXB Trẻ,NXB Trẻ,,Bìa mềm,768,2025-01-23,Tiki Trading,available,1000,False,True,True
273534078,Sách Quản Trị Bằng Văn Hóa,198000,250000,21,4.8,65,1656,Giản Tư Trung,Viện Quản lý PACE,Nhà Xuất Bản Tri Thức,,Bìa cứng,396,2023-12-12,Tiki Trading,available,1000,False,True,True
82912488,Sách Từ Tốt Đến Vĩ Đại (Tái bản),98000,130000,25,5.0,1281,11548,Jim Collins,NXB Trẻ,NXB Trẻ,,Bìa mềm,484,2021-03-13,Tiki Trading,available,1000,False,True,True
40933969,Sách Một Đời Quản Trị (Tái Bản),192000,200000,4,4.8,20,301,Phan Văn Trường,NXB Trẻ,NXB Trẻ,,Bìa mềm,492,2019-11-01,Nhà sách Fahasa,available,1000,True,True,True
153045601,Sách Vị Giám Đốc Một Phút (Tái Bản),40600,58000,30,5.0,37,582,"Ken Blanchard, Spencer Johnson",First News - Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,128,2021-12-12,Tiki Trading,available,1000,False,True,True
