id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279183241,Kiếm Tiền Là Kỹ Năng - Giữ Tiền Là Kỷ Luật - Đầu Tư Là Nghệ Thuật,150600,239000,37,5.0,2,34,Brian Tracy,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,384.0,,Tiki Trading,available,1000,False,True,True
278966782,Sách - Nhà Đầu Tư Thông Minh - The Intelligent Investor (Tái Bản 2025),232400,280000,17,0.0,0,7,nhieu tac gia,Nhã Nam,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278952169,Sách - Nhà đầu tư thông minh (TB 2025) (Nhã Nam HCM),246400,280000,12,0.0,0,3,Benjamin Graham,Nhã Nam,Nhà Xuất Bản Dân Trí,,Bìa mềm,680.0,2025-12-10,Nhã Nam HCM,available,1000,True,True,True
278713788,Sách - Chiến Lược Đầu Tư Vàng Sinh Lời,93700,109000,14,0.0,0,3,nhieu tac gia,Skybooks,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278711686,Sách Nhà Đầu Tư Thông Minh - Stock Market 101,152400,219000,30,4.0,1,38,Michele Cagan,1980 Books,Nhà Xuất Bản Tài Chính,,Bìa mềm,395.0,,Tiki Trading,available,1000,False,True,True
278711643,Sách Nguyên Tắc Giao Dịch Trong Ngày - Day Trading 101,127400,195000,35,5.0,1,44,David Borman,1980 Books,Nhà Xuất Bản Tài Chính,,Bìa mềm,339.0,,Tiki Trading,available,1000,False,True,True
278446333,Sách Ứng Dụng AI Trong Đầu Tư Tài Chính,166300,239000,30,4.0,1,67,Cris DoLoc,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,470.0,,Tiki Trading,available,1000,False,True,True
278192546,Sách 200 Bài Học Vỡ Lòng Chứng Khoán Cho Nhà Đầu Tư FO,183200,229000,20,4.8,5,71,Cú Thông Thái,Rubik Việt Nam,Nhà Xuất Bản Công Thương,,Bìa mềm,384.0,2025-01-06,Tiki Trading,available,1000,False,True,True
278154893,Sách Hiệu Ứng Đám Đông Trong Đầu Tư Tài Chính,159900,229000,30,5.0,2,29,Charles Mackay,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,348.0,,Tiki Trading,available,1000,False,True,True
278055559,Sách Chứng Khoán Việt Nam Dưới Lăng Kính Warren Buffet,380000,568000,33,4.2,5,50,Thảo Tạ,Alpha Books,Nhà Xuất Bản Công Thương,,Bìa mềm,378.0,2025-05-20,Tiki Trading,available,1000,False,True,True
278035545,Sách Tư Duy Đầu Tư - Tiền Đẻ Ra Tiền,165000,239000,31,4.6,15,391,JL Collins,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,428.0,,Tiki Trading,available,1000,False,True,True
277926272,Sách The Little Book - Đầu Tư Theo Chiến Lược Phòng Thủ,120400,179000,33,5.0,1,38,Ben Stein và Phil DeMuth,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,280.0,,Tiki Trading,available,1000,False,True,True
277926258,Sách Chén Thánh Trong Đầu Tư,137400,229000,40,4.5,9,126,Tony Robbins và Christopher Zook,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,437.0,,Tiki Trading,available,1000,False,True,True
277444127,Sách Tiền Đẻ Ra Tiền: Đầu Tư Tài Chính Thông Minh,117600,168000,30,4.8,592,151,Dr Money,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,296.0,2020-06-01,Tiki Trading,available,1000,False,True,True
276148740,Sách Chỉ Nam Đầu Tư Cổ Phiếu Và Chứng Khoán,108000,135000,20,0.0,0,10,Rebecca Burn-Callander,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,272.0,,Tiki Trading,available,1000,True,True,True
275948888,Sách Hướng Dẫn Giao Dịch Theo Sóng Elliott - Visual Guide to Elliott Wave Trading - Happy Live,469000,469000,0,4.8,598,92,"Wayne Gorman,  Jeffrey Kennedy",CÔNG TY TNHH HAPPY LIVE,Nhà Xuất Bản Thế Giới,,Bìa rời,378.0,2024-08-14,HappyLive,available,1000,True,True,True
