id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279201963,Hệ Thống Văn Bản Pháp Luật Về Thuế Và Kế Toán (hiện hành),261200,425000,39,0.0,0,0,Quốc hội,Nhà sách Tư pháp,Nhà Xuất Bản Lao Động,,Bìa mềm,536.0,,Nhà Sách Pháp Luật,available,1000,True,True,True
279097452,COMBO 5 TỜ - Hệ Thống Tài Khoản Kế Toán ( Sửa Đổi Theo Thông Tư Số 99/2025/TT-BTC) ,50000,50000,0,0.0,0,2,Nhà Sách Kinh Tế,Nhà Xuất Bản Kinh Tế TPHCM,Nhà Xuất Bản Kinh Tế TPHCM,,,1.0,,NewShop Official,available,1000,True,True,True
279071325,Sách Biểu Thuế Xuất Khẩu - Nhập Khẩu 2026 (V2679N),800000,800000,0,0.0,0,4,Nguyên Châu,Nhà sách Nam Việt,Nhà xuất bản Kinh tế - Tài chính,,Bìa mềm,1408.0,2025-12-26,Nhà sách Nam Việt,available,1000,True,True,True
279066375,234 Sơ Dồ Kế Toán Doanh Nghiệp Hướng Dẫn Chế Độ Kế Toán Doanh Nghiệp (Theo Thông Tư Số 99/2025/TT-BTC),525000,750000,30,0.0,0,0,PGS TS Võ Văn Nhị,Công ty TNHH Thương mại Dịch vụ Quảng cáo Nhà sách Kinh Tế,Nhà Xuất Bản Dân Trí,,Bìa mềm,894.0,2026-01-08,Nhà Sách Kinh Tế VN,available,1000,True,True,True
279066348,Nguyên Lý Kế Toán (TBLT11) - (Theo Thông Tư Số 99/2025/TT-BTC),113400,162000,30,0.0,0,6,PGS TS Võ Văn Nhị,Công ty TNHH Thương mại Dịch vụ Quảng cáo Nhà sách Kinh Tế,NXB Dân Trí,,Bìa mềm,254.0,2026-01-08,Nhà Sách Kinh Tế VN,available,1000,True,True,True
279064848,Combo 5 tờ - Hệ Thống Tài Khoản Kế Toán ( Sửa đổi theo Thông tư số 99/2025/TT-BTC),50000,50000,0,5.0,1,18,Nhà Sách Kinh Tế,Công ty TNHH Thương mại Dịch vụ Quảng cáo Nhà sách Kinh Tế,Nhà Xuất Bản Kinh Tế TPHCM,,Bìa mềm,1.0,,Nhà Sách Kinh Tế VN,available,1000,True,True,True
279059153,Sách Tinh thần xanh,296100,329000,10,0.0,0,1,William Nordhaus,Công ty Cổ phần Trung tâm Nghiên cứu Chính sách và Phát triển,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm tay gấp,412.0,2026-01-06,Trung tâm Xuất bản sách Quốc tế,available,1000,True,True,True
279018244,Hướng dẫn lập báo cáo IFRS và chuyển đổi báo cáo tài chính từ VAS sang IFRS,296000,296000,0,0.0,0,26,Đặng Thế Hòa,Liên kết với tác giả,Nhà Xuất Bản Kinh Tế TPHCM,,,356.0,,FinBook,available,1000,True,True,True
278904227,Hướng Dẫn Chế Độ Kế Toán Doanh Nghiệp,380000,421000,10,0.0,0,10,Nguyễn Tài Thành,Công Ty TNHH Sách Luật Việt Nam,Nhà Xuất Bản Hồng Đức,,Bìa mềm,742.0,,Nhà Sách Pháp Luật,available,1000,True,True,True
278477367,Lập Và Thẩm Định Dự Án Đầu Tư - TS. Đinh Thế Hiển (chủ biên),346500,495000,30,0.0,0,8,TS. Đinh Thế Hiển,Công ty TNHH Thương mại Dịch vụ Quảng cáo Nhà sách Kinh Tế,Nhà Xuất Bản Tài Chính,,Bìa mềm,404.0,2025-08-09,Nhà Sách Kinh Tế VN,available,1000,True,True,True
