id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278863270,Sách - Chuyển Đối Số Ngân Hàng,450000,450000,0,4.5,2,5,Dennis Khoo,Công ty TNHH Truyền Thông và Giáo Dục Lyceum,Nhà Xuất Bản Đồng Nai,,,,,Book Hunter,available,1000,True,True,True
277772546,Sách - Tiền mã hóa - Giấc mơ vàng và cơn ác mộng tài chính (Zeke Faux) (Nhã Nam Official),228000,228000,0,0.0,0,0,Zeke Faux,Nhã Nam,Nhà Xuất Bản Công Thương,,Bìa mềm,378.0,,FishingBook,available,1000,True,True,True
277038242,Đạn Bạc - V.ũ Khí Tối Thượng Trọng Cuộc Chiến Tranh Tiền Tệ Toàn Cầu ,219700,222000,1,0.0,0,0,,Gieobooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,300.0,2025-01-18,Minhhabooks,available,1000,True,True,True
276662713,Phân Tích Báo Cáo Tài Chính: Cẩm Nang Dành Cho Người Thực Hành (Ấn Bản Lần Thứ 5),499000,499000,0,0.0,0,1,,Gieobooks,Nhà Xuất Bản Tài Chính,,Bìa mềm,540.0,2024-11-28,Tazano Official Store,available,1000,True,True,True
274951005,Sách - Giáo Trình Thị TRường Tài Chính Và Các Định Chế Tài Chính,150000,150000,0,0.0,0,9,,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Kinh Tế TPHCM,,Bìa mềm,588.0,2016-04-29,Nhà Sách Minh Đức,available,1000,True,True,True
274140973,Hoạch Định Tài Chính Như Chuyên Gia,68000,68000,0,0.0,0,0,Zoe McKey,NXB Thanh Hóa,,,Bìa mềm,124.0,,Nhà Sách Phương Nam,available,1000,True,True,True
273921682,Combo 2 Cuốn Về Tài Chính Hay- Chính Sách Tiền Tệ Thế Kỷ 21+Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới?,506780,506780,0,0.0,0,0,,Bách Việt,Nhiều Nhà Xuất Bản,,,,,Phương Đông Books,available,1000,True,True,True
273897110,Dạy Con Về Tài Chính (Tái Bản),95000,95000,0,5.0,1,50,Joline Godfrey,VanLangBooks,,,Bìa gập,208.0,2021-05-01,Văn Lang Official Store,available,1000,True,True,True
273097224,Kiểm Soát Tài Chính: Quản Lý Chi Tiêu Trong Thế Giới Thực,198000,198000,0,0.0,0,0,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,368.0,2023-08-06,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
273024271,The Finance Book - Tài Chính Doanh Nghiệp,240000,300000,20,0.0,0,8,,Saigon Books,Nhà Xuất Bản Công Thương,,,,,Nhà sách Fahasa,available,1000,True,True,True
271627889,COMBO 2 CUỐN SÁCH BÁO CÁO TÀI CHÍNH & QUẢN TRỊ TRONG DOANH NGHIỆP,598500,598500,0,5.0,3,36,,NXB Thế Giới,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2021-05-10,TACA,available,1000,True,True,True
271538737,SÁCH PHÂN TÍCH BÁO CÁO TÀI CHÍNH,315000,315000,0,4.3,7,68,Christian Stang,NXB Thế Giới,Nhà Xuất Bản Thế Giới,,Bìa mềm,296.0,2021-05-28,TACA,available,1000,True,True,True
271520382,Sách Lập và Phân Tích Báo Cáo Quản Trị,350000,350000,0,5.0,1,61,Christian Stang,NXB Thế Giới,Nhà Xuất Bản Thế Giới,,Bìa mềm,325.0,2021-05-10,TACA,available,1000,True,True,True
263394404,Kỹ Thuật Phân Tích Biểu Đồ Chứng Khoán,169000,169000,0,0.0,0,0,,1980 Books,Nhà Xuất Bản Công Thương,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
262836779,Sách Kỹ thuật phân tích biểu đồ chứng khoán,169000,169000,0,0.0,0,0,Hiroki Takeuchi,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,284.0,2023-05-01,info book,available,1000,True,True,True
262674040,Báo Cáo Tài Chính Dưới Góc Nhìn Của Warren Buffett (Tái Bản 2023),123000,123000,0,0.0,0,0,David Clark,Cty Sách Dân Trí,hong duc,,,,,Bảo Châu Books,available,1000,True,True,True
