id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279283109,THU NHẬP THỤ ĐỘNG – Rachel Richards – Khánh Trang dịch - Công Thương - Thái Hà,195000,195000,0,0,0,0,Rachel Richards,Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,352.0,,BÌNH BÁN BOOK,available,1000,True,True,True
279248007,"LUẬT PHÒNG CHỐNG THAM NHŨNG (SỬA ĐỔI, BỔ SUNG) 2025 HỆ THỐNG VĂN BẢN QUY ĐỊNH CHI TIẾT THI HÀNH",395000,395000,0,0,0,0,Nguyễn Tài Thành,TRUNG TÂM SÁCH PHÁP LUẬT VIỆT NAM,hong duc,,Bìa mềm,400.0,2026-02-03,NHÀ SÁCH CHÍNH TRỊ PHÁP LUẬT KIỂM TOÁN TÀI CHÍNH,available,1000,True,True,True
279143679,"Sách - Tiền và tâm - Tác giả Chi Mai - Tritthuctrebooks - Khổ sách 14,5*20,5cm",179000,179000,0,0,0,0,Chi Mai,Tri Thức Trẻ Books,Nhà Xuất Bản Thế Giới,,Bìa mềm tay gấp,248.0,,Tri Thức Trẻ Books,available,1000,True,True,True
278903788,Khoá Học Cấp Tốc Về Tư Bản Và Tiền Bạc: Bài Học Từ Thành Phố Đắt Đỏ Nhất Thế Giới,191000,193000,1,0,0,0,THE WOKE SALARYMAN,Gieobooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,332.0,2025-11-29,Minhhabooks,available,1000,True,True,True
278816619,"Quy Chế Quản Lý Nhà Nước Trong Lĩnh Vực Quản Lý, Sử Dụng Tài Sản Công, Quy Định Việc Lập Dự Toán, Quản Lý, Sử Dụng Và Quyết Toán Chi Thường Xuyên Ngân Sách Nhà Nước Để Mua Sắm, Sửa Chữa, Cải Tạo, Nâng Cấp Tài Sản",280200,430000,35,0,0,0,Bộ Tài Chính,Công Ty TNHH Sách Luật Việt Nam,Nhà Xuất Bản Tài Chính,,Bìa mềm,400.0,,Nhà Sách Pháp Luật,available,1000,True,True,True
278496943,"Sách - Sống Đời Rủng Rỉnh Thong Dong - Quán Xuyến Chuyện Tiền Nong, Hướng Về An Tâm Tài Chính - GIVER - NHBOOK",199000,199000,0,4,2,61,Lê Hoàng Linh,Công ty TNHH Truyền Thông Giver,Nhà Xuất Bản Thế Giới,,Bìa mềm,264.0,2025-08-01,NHBook,available,1000,True,True,True
277382354,Trí Tuệ Siêu Việt Của Người Do Thái - Vanlangbooks,169000,169000,0,5,1,10,Seth Godin,VanLangBooks,Nhà Xuất Bản Thanh Hoá,,Bìa mềm,344.0,2022-03-11,Văn Lang Official Store,available,1000,True,True,True
276079783,Sách Bất Động Sản Thực Chiến,145200,199000,27,5,1,50,Châu Phong,Alphabooks,Nhà Xuất Bản Lao Động,,Bìa mềm tay gấp,340.0,2024-09-25,Tiki Trading,available,1000,False,True,True
273667017,"Spenditude: Làm Chủ Đồng Tiền, Tự Do Tài Chính_SGB",120000,120000,0,0,0,0,,Sách điện tử Saigon Books,Nhà Xuất Bản Thế Giới,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
248931822,Trí Tuệ Siêu Việt Của Người Do Thái - Vanlangbooks,148000,148000,0,0,0,0,Hòa Thổ,Văn Lang,,,Bìa mềm,344.0,2022-03-11,Bamboo Books,available,1000,True,True,True
247884821,Sách Cách Người Do Thái Quản Lý Tiền và Tài Sản,65000,95000,32,5,12,132,Tiến Thành,VanLangBooks,,,Bìa mềm,216.0,2023-03-03,Tiki Trading,available,1000,False,True,True
214582301," Spenditude: Làm chủ đồng tiền, tự do tài chính - Tác giả Janine Robertson , Paul Gordon",120000,120000,0,0,0,0,,Saigon Books,Nhà Xuất Bản Thế Giới,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
166437529,Combo Cách Nhìn Mới Về Vàng và Hậu Khủng Hoảng: Bảy Bí Quyết Bảo Toàn Của Cải Trong Thời Gian Tới ( Tặng Kèm Sổ Tay),300000,300000,0,5,5,38,James Rickards,Nhà Xuất Bản Trẻ,NXB Trẻ,,Bìa mềm,630.0,,NHBook,available,1000,True,True,True
