id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279259505,Tiền Mặt Là Vua,219000,219000,0,0.0,0,3,Peter W. Kingma,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,307.0,2026-03-24,Nhà sách NetaBooks,available,1000.0,True,True,True
279257005,Tiền Mặt Là Vua (Cash Is King),157680,219000,28,0.0,0,2,Peter W. Kingma,1980 Books,Nhà Xuất Bản Công Thương,,,,,1980 BOOKS HCM,available,1000.0,True,True,True
279229417,"Tư Duy Tiền Bạc, Tiền Sinh Ra Tiền",135700,195000,30,4.0,1,7,Derrick Kinney,1980 Books,Nhà Xuất Bản Công Thương,,,,,Tiki Trading,available,1000.0,False,True,True
279166492,Tương lai của tiền tệ: Cuộc cách mạng kỹ thuật số đang biến đổi tiền tệ và tài chính như thế nào,274160,298000,8,5.0,2,18,Eswar S. Prasad,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,600.0,2026-02-01,ST Book,available,1000.0,True,True,True
278972919,Sách 99% thiên kiến,92000,120000,23,1.0,1,35,Nishimura Hiroyuki,NXB Trẻ,NXB Trẻ,,Bìa mềm,232.0,2025-12-26,Tiki Trading,available,1000.0,False,True,True
278837736,Lý Thuyết Trò Chơi Tài Chính,147800,229000,35,4.7,3,61,Dan McCrum,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,452.0,,Tiki Trading,available,1000.0,False,True,True
278813662,Lập Kế Hoạch Tài Chính Gia Đình,137100,195000,30,5.0,1,34,Mitsuki Okazaki,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,356.0,,Tiki Trading,available,1000.0,False,True,True
278781472,Quy Luật Của Tiền,124600,179000,30,5.0,1,49,Laurence J. Kotlikoff,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,316.0,,Tiki Trading,available,1000.0,False,True,True
278732862,Combo 2 Sách - Giải Mã Tâm Lý Hành Vi Về Tiền + Same As Ever - Morgan Housel,329760,458000,28,0.0,0,8,Morgan Housel,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,395.0,2025-10-07,1980 BOOKS HCM,available,1000.0,True,True,True
278118313,Sách Cổ Phiếu Không Khó,213900,280000,24,0.0,0,10,Alan John,Alpha Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2025-12-06,Tiki Trading,available,1000.0,False,True,True
