id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279262311,Thu Nhập Thụ Động,185250,195000,5,5.0,1,5,Rachel Richards,Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,352.0,2026-03-25,Nhà sách NetaBooks,available,1000,True,True,True
279188437,"Sách Hiểu tiền đúng, kiếm tiền dễ: Tạo lập tự do tài chính ...",128000,160000,20,4.0,1,6,Lewis Howes,NXB Trẻ,NXB Trẻ,,Bìa mềm,324.0,2026-02-10,Tiki Trading,available,1000,False,True,True
279121212,"Sách - Vì Sao Bạn Chưa Giàu? - Cẩm Nang Tài Chính Giúp Bạn Tiêu Xài Đúng Cách, Tiết Kiệm Khôn Ngoan Và Đầu Tư Hiệu Quả ( Phần 2 : Khóa Học Cấp Tốc Về Tư Bản và Tiền Bạc ) - GIVER",210000,210000,0,0.0,0,0,The Simple Sum,Công ty TNHH Truyền Thông Giver,NXB Thế giới,,Bìa mềm,348.0,2026-01-01,NHBook,available,1000,True,True,True
279116173,"Sách - Vì Sao Bạn Chưa Giàu? - Cẩm Nang Tài Chính Giúp Bạn Tiêu Xài Đúng Cách, Tiết Kiệm Khôn Ngoan Và Đầu Tư Hiệu Quả",183000,210000,13,5.0,2,10,The Simple Sum,Công ty TNHH Truyền Thông Giver,NXB Thế giới,,Bìa mềm,348.0,,GIVER BOOKS & MEDIA,available,1000,True,True,True
279056293,Kỹ Thuật Phân Tích Và Đầu Tư Cổ Phiếu Thực Chiến,135700,195000,30,3.0,2,12,Aswath Damodaran,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,320.0,2026-01-01,Tiki Trading,available,1000,False,True,True
278724730,Sách Tự Do Tài Chính,143200,219000,35,4.5,2,33,Chris Guillebeau,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,404.0,,Tiki Trading,available,1000,False,True,True
278724728,Sách Giải Mã Tâm Lý Hành Vi Về Tiền,175200,239000,27,5.0,22,714,Morgan Housel,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,395.0,,Tiki Trading,available,1000,False,True,True
278721570,Sách Tài chính cá nhân căn bản - 1980Books,195000,195000,0,0.0,0,1,Alfred Mill,1980 Books,Nhà Xuất Bản Tài Chính,,Bìa mềm,344.0,2025-09-25,Bamboo Books,available,1000,True,True,True
278711641,Sách Tài Chính Cá Nhân Căn Bản - Personal Finance 101,126300,195000,35,4.0,1,100,Alfred Mill,1980 Books,Nhà Xuất Bản Tài Chính,,Bìa mềm,344.0,,Tiki Trading,available,1000,False,True,True
278311293,Sách Vén Khéo - Bí Quyết Tự Do Tài Chính Trước 30,107030,139000,23,4.8,4,75,"A Nhữ Na, Chu Kiếm Thuyên",BeBooks,Nhà Xuất Bản Lao Động,,Bìa mềm,200.0,2025-07-15,Tiki Trading,available,1000,False,True,True
