id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279071468,IR MAP - BẢN ĐỒ TỚI TỰ DO - Tác giả Nicole Vu (Chủ biên),159000,159000,0,0,0,2,Nicole Vu,Công ty Cổ phần Truyền thông Văn hóa 25,Nhà Xuất Bản Thế Giới,,Bìa mềm tay gấp,244,,25 AGENCY,available,1000,True,True,True
277500059,Con Đường Chuyển Hóa,188000,188000,0,0,0,1,Thích Pháp Hòa,First News - Trí Việt,Nhà Xuất Bản Dân Trí,,Bìa mềm,432,2024-11-24,FishingBook,available,1000,True,True,True
276621887,Sách: Khi Bạn Đang Mơ Thì Người Khác Đang Nỗ Lực (TB),136000,136000,0,0,0,0,,Minh Long,Nhà Xuất Bản Thanh Niên,,,,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
276178163,Trò Chơi Của Những Kẻ Hiểu Luật,179000,179000,0,0,0,13,Dan Nicholson,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,303,2024-09-16,Nhà sách NetaBooks,available,1000,True,True,True
276047924,Sách Dành cho ai hướng tới HẠNH PHÚC (Từ An),79000,79000,0,0,0,1,Từ An,Công Ty TNHH Xuất bản và Giáo dục Mochibooks,Nhà Xuất Bản Hà Nội,,Bìa mềm tay gấp,192,2024-07-03,Từ An Nhiên,available,1000,True,True,True
276004593,Sách - Bí quyết kinh doanh thuê và cho thuê nhà,241000,241000,0,0,0,7,Hoàng Anh Minh,Công Ty TNHH Xuất bản và Giáo dục Mochibooks,Nhà Xuất Bản Lao Động,,Bìa mềm,424,2024-08-23,CTCP Đầu tư Tinh Long,available,1000,True,True,True
275452484,Sách Sức Mạnh Của Sự Tranh Luận,180000,180000,0,0,0,0,Jon Taffer,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,296,2024-01-01,Cá Chép Bookstore,available,1000,True,True,True
275298331,Suy Nghĩ Thống Kê Trong Đời Thường (Tái Bản 2024),140250,165000,15,0,0,4,GS.TS. Nguyễn Văn Tuấn,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,390,2024-06-17,NXB TỔNG HỢP,available,1000,True,True,True
275225173,Lãnh Đạo Bản Thân - Self Leadership,129000,129000,0,0,0,1,"Andrew Bryant, Ana Lucia Kazan",Alpha Books,Nhà Xuất Bản Công Thương,,Bìa mềm,264,2024-06-07,Nhà sách NetaBooks,available,1000,True,True,True
275154307,"Sức mạnh Momentum - Đánh bay trì hoãn, vươn tới ước mơ",152600,159000,4,0,0,1,,CÔNG TY TNHH TMDV & TRUYỀN THÔNG TYM,Nhà Xuất Bản Thế Giới,,Bìa mềm,224,2024-03-20,TYMBooks,available,1000,True,True,True
275149916,Dám Lên Tiếng - Cách Xử Lý Mối Quan Hệ Với Sếp Và Đồng Nghiệp Trong Công Sở,119000,119000,0,0,0,0,David Naylor,Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,296,2024-05-28,Nhà sách NetaBooks,available,1000,True,True,True
275105098,Sách Trái Tim Kim Cương,128880,179000,28,0,0,1,Cao Thanh,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,248,2024-05-01,Tiki Trading,available,1000,False,True,True
274989660,Sách - PowerShift – Đánh Thức Bản Thân Tỉnh Thức Sức Mạnh,97500,195000,50,0,0,0,Daymond John,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,388,2024-03-15,TTR Next Generation,available,1000,True,True,True
274989322,"Sách - Building A Second Brian, Thiết Lập Bộ Não Thứ 2 - Tiago Forte",136080,189000,28,0,0,3,Tiago Forte,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,352,2024-04-15,TTR Next Generation,available,1000,True,True,True
274932399,Sách Nghệ thuật tạo sức ảnh hưởng,141000,188000,25,0,0,3,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,NVP,available,1000,True,True,True
274932386,Sách Lỗi tư duy: 45 phương pháp giúp bạn thoát khỏi tình trạng nỗ lực ảo,144000,192000,25,5,1,5,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,NVP,available,1000,True,True,True
274932325,Sách Đời Người Lúc Nào Cũng Có Thể Làm Lại,96000,128000,25,0,0,1,,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,,,,NVP,available,1000,True,True,True
274350757,Nói Thẳng Chẳng Sợ Mất Lòng (Say It and Solve It) - Cách Nói Và Giải Quyết Vấn Đề Hiệu Quả,138000,138000,0,0,0,0,,Văn Lang,,,Bìa mềm tay gấp,288,2024-02-29,Bamboo Books,available,1000,True,True,True
