id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279163506,Sách Sự Sống Bất Khả,180000,250000,28,5.0,1,12,Matt Haig,Nhã Nam,Nhà Xuất Bản Văn Học,,Bìa mềm,538,,Tiki Trading,available,1000.0,False,True,True
279062791,Chân Tình - Cẩm Nang Chăm Sóc Người Cận Tử,118680,129000,8,0.0,0,4,Thích Chân Pháp Nguyện,PHANBOOK,Nhà Xuất Bản Hồng Đức,,Bìa mềm,168,2026-01-06,Nhà sách NetaBooks,available,1000.0,True,True,True
278456240,Sách Giảm Đau Đớn Bằng Thiền Định,188000,250000,25,5.0,2,17,Jon Kabat-Zinn,Viện Quản lý PACE,Nhà Xuất Bản Dân Trí,,Bìa cứng,208,,Tiki Trading,available,1000.0,False,True,True
278216495,Sách Hôm Nay Cũng Muốn Ôm Lấy Bạn,109000,136000,20,5.0,1,4,Trảo Trà,VanVietBooks,Nhà Xuất Bản Lao Động,,Bìa mềm,192,2025-07-07,Tiki Trading,available,1000.0,False,True,True
278037179,Sách - Sang chấn tâm lý - Hiểu để chữa lành,308000,350000,12,0.0,0,1,Bessel Van Der Kolk,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,572,2025-05-28,Zenbooks Official ,available,1000.0,True,True,True
277607739,Trở Về Không - Trải Nghiệm Ho'oponopono (Tái bản năm 2025),143100,159000,10,0.0,0,2,Joe Vitale,Phương Nam Book,Nhà Xuất Bản Thế Giới,,Bìa mềm,340,2025-04-04,PHƯƠNG NAM BOOK,available,1000.0,True,True,True
277522501,Sách Từ Căn Bệnh Trầm Cảm Đến Giải Thoát Giác Ngộ Nhờ Thiền Quán,74200,100000,26,5.0,1,8,Dương Thị Kháng,Thái Hà,Nhà Xuất Bản Thế Giới,,,180,,Tiki Trading,available,1000.0,False,True,True
277361874,Sách Tâm Trí Tự Chữa Lành,135700,195000,30,5.0,1,24,,1980 Books,Nhà Xuất Bản Lao Động,,Bìa mềm,464,2025-02-18,Tiki Trading,available,1000.0,False,True,True
277314375,Sách Điếm Đến Của Cuộc Đời,80000,119000,33,5.0,7,110,Đặng Hoàng Giang,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm tay gấp,228,,Tiki Trading,available,1000.0,False,True,True
277164134,Sách Chú Rối Nhỏ,103100,139000,26,0.0,0,20,David Almond,Thái Hà,Nhà Xuất Bản Hà Nội,,,304,,Tiki Trading,available,1000.0,False,True,True
276921578,Sách Bỏ Phố Về Quê,110700,159000,30,0.0,0,8,Chu Tử Nhất,1980 Books,Nhà Xuất Bản Lao Động,,Bìa mềm,247,2024-12-31,Tiki Trading,available,1000.0,False,True,True
276921576,Sách Hào Quang AURA,135800,195000,30,5.0,2,50,Mystic Michaela,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,378,2024-12-31,Tiki Trading,available,1000.0,False,True,True
276834430,Sách Thấu Hiểu Là Yêu Thương,421800,444000,5,0.0,0,0,Lucy Le,Thái Hà,Nhà Xuất Bản Công Thương,,,267,2024-12-19,Cá Chép Bookstore,available,1000.0,True,True,True
276833382,Sách Khai Vấn Trong Từng Hơi Thở,254000,289000,12,0.0,0,0,Ruby Nguyen,Thái Hà,Nhà Xuất Bản Hà Nội,,,344,2024-12-19,Alpha Books Official,available,1000.0,True,True,True
276653743,Sách Ba Bước Tỉnh Thức,66900,89000,25,5.0,3,132,Osho,Thái Hà,Nhà Xuất Bản Thế Giới,,,176,,Tiki Trading,available,1000.0,False,True,True
276653741,Sách Không Gì Là Quá Muộn,97000,129000,25,0.0,0,8,Nguyên Diệu Phúc,Thái Hà,Nhà Xuất Bản Công Thương,,,288,,Tiki Trading,available,1000.0,False,True,True
276653738,Sách Tầng Giếng Sâu: Nhận Diện Và Chữa Lành Nghịch Cảnh Thời Thơ Ấu,119000,159000,25,5.0,1,15,"Nadine Burke Harris, M.D.",Thái Hà,Nhà Xuất Bản Công Thương,,,328,,Tiki Trading,available,1000.0,False,True,True
276583955,Sách Băng Qua Đại Dương Đen,116000,145000,20,5.0,6,64,Trương Gia Giai,Bookland,Nhà Xuất Bản Dân Trí,,Bìa mềm,304,,Tiki Trading,available,1000.0,False,True,True
276450431,Đời Vội Vã Càng Nên Sống Chậm – Cuốn sách đọc chậm để chữa lành trái tim phụ nữ,81700,108000,24,5.0,4,31,Hoàng Anh Tú,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,296,,Tiki Trading,available,1000.0,False,True,True
276388833,Sách Ánh Sáng Từ Trái Tim,91500,128000,29,0.0,0,13,Nguyễn Mỹ Trang,Thái Hà,Nhà Xuất Bản Công Thương,,,204,,Tiki Trading,available,1000.0,False,True,True
276384308,Sách Âm Thanh Chữa Lành Thân Tâm,124600,179000,30,0.0,0,17,Ascending Vibrations,1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,352,,Tiki Trading,available,1000.0,False,True,True
276313958,Sách Vẻ Đẹp Của Cảnh Sắc Tầm Thường,166000,235000,29,5.0,64,1373,Đặng Hoàng Giang,Alphabooks,Nhà Xuất Bản Hội Nhà Văn,,Tùy chọn phiên bản bìa cứng hoặc bìa mềm,400,,Tiki Trading,available,1000.0,False,True,True
276246242,Sách Chế Tác Bình An Và Hạnh Phúc Trong Giáo Dục,149300,199000,25,5.0,2,58,Thích Nhất Hạnh,Thái Hà,Nhà Xuất Bản Hà Nội,,,312,,Tiki Trading,available,1000.0,False,True,True
276246241,Sách Thiền Tập - Con Đường Dẫn Đến Tuệ Giác Và Tâm Từ,111700,149000,25,5.0,1,12,Sharon Salzberg,Thái Hà,Nhà Xuất Bản Hà Nội,,,378,,Tiki Trading,available,1000.0,False,True,True
275550085,Sách Bếp Xanh Chữa Lành,180000,269000,33,5.0,4,70,Emma Phạm,Thái Hà,Nhà Xuất Bản Công Thương,,,300,,Tiki Trading,available,1000.0,False,True,True
275140709,Sách SỨC MẠNH CỦA EQ- Đánh thức trí tuệ cảm xúc - Làm chủ ngôn ngữ - Thu phục lòng người,77220,99000,22,4.8,18,600,Patrick King,R.E.A.D Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,176,,Tiki Trading,available,1000.0,False,True,True
272879967,Sách 39 Đoản Thiền Để Thấy - Những Câu Chuyện Chữa Lành (Bìa Mềm),68000,69000,1,4.8,4,92,Phan Đăng,Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,152,2023-12-10,Tiki Trading,available,1000.0,False,True,True
261962366,Healing and Recovery – Chữa lành và Hồi phục,173000,229000,24,4.5,8,101,"David R. Hawkins MD, Ph.D",Thái Hà,Nhà Xuất Bản Thế Giới,,Bìa mềm,500,2023-05-25,THAIHABOOKS,available,1000.0,True,True,True
252664543,Thả Trôi Phiền Muộn (Tái Bản 2023),85800,110000,22,5.0,1,45,Suối Thông,Saigon Books,NXB Dân Trí,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
251769246,Sách Thả Trôi Phiền muộn,73700,110000,33,5.0,26,941,Suối Thông,Saigon Books,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,256,2023-03-01,Tiki Trading,available,1000.0,False,True,True
242760911,Sách Làm người là như thế nào? (How to be human - The manual) - Nhã Nam - BẢN QUYỀN,170050,179000,5,0.0,0,1,,Nhã Nam,Nhà Xuất Bản Thế Giới,,,,,SÁCH ĐẠI NAM,available,1000.0,True,True,True
217730454,Sách Ta Dại Ta Tìm Nơi Vắng Vẻ (Tái Bản),68600,98000,30,5.0,2,35,Erling Kagge,First News - Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,187,2023-02-13,Tiki Trading,available,1000.0,False,True,True
205942280,"Sách Dám Sống Hướng Nội Và Cực Kỳ Nhạy Cảm - Cẩm Nang Về Ranh Giới, Niềm Vui, Và Sự Chữa Lành",71280,99000,28,5.0,32,240,Ilse Sand,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,157,2022-11-11,Tiki Trading,available,1000.0,False,True,True
201158670,Sách - Yêu mình đủ bạn có cả thế giới,238000,238000,0,5.0,29,693,Nguyễn Hoàng Anh,NXB  Thanh Niên,Nhà Xuất Bản Thanh Niên,,Bìa mềm,350,2022-01-21,Thiện Ngôn Book,available,1000.0,True,True,True
156234333,Sách Toạ Thiền Trên Ghế - Để Tận Hưởng Cuộc Sống Thư Thái,50200,65000,23,5.0,11,112,Shunmyo Masuno,Thái Hà,Nhà Xuất Bản Hà Nội,,Bìa mềm,152,2022-01-01,Tiki Trading,available,1000.0,False,True,True
136939563,"Sách Ho’Oopnopono: Phục Hồi Tự Nhiên, Chữa Lành Cuộc Sống, Hoàn Thiện Cuộc Đời",48130,66000,27,4.8,111,722,Ulrich E.Dupree,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,88,2021-11-01,Tiki Trading,available,1000.0,False,True,True
83789484,Sách Phương Thuốc Chánh Niệm Mầu Nhiệm,107000,119000,10,5.0,6,23,Chân Đẳng Nghiêm,Thái Hà,Nhà Xuất Bản Hà Nội,,Bìa mềm,328,2021-03-01,THAIHABOOKS,available,1000.0,True,True,True
71072209,Sách Nhân Gian Đáng Giá,115200,128000,10,5.0,1,28,"Tsuneko Nakamura, Hiromi Okuda",Huy Hoàng Bookstore,Nhà Xuất Bản Thanh Niên,,Bìa mềm,262,2020-10-01,Nhà sách Fahasa,available,1000.0,True,True,True
14643411,Sách Điều Kỳ Diệu (Tái Bản),135000,180000,25,4.8,283,3933,R.J.Palacio,NXB Trẻ,NXB Trẻ,,Bìa mềm,464,2019-04-01,Tiki Trading,available,1000.0,False,True,True
