id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279191119,DẤU VẾT KHÓ XÓA  – Đoàn Đình Đặng  – NXB Công An Nhân Dân,177600,185000,4,3.0,1,2,nhieu tac gia,Nhà Xuất Bản Công An Nhân Dân,Nhà Xuất Bản Công An Nhân Dân,,Bìa mềm,448,,BÌNH BÁN BOOK,available,1000,True,True,True
279127575,Giải Mã Tâm Trí Ác Nhân,157680,219000,28,0.0,0,1,"Suruthi Bala, Hannah Maguire",1980 Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,371,2026-01-24,1980 BOOKS HCM,available,1000,True,True,True
278892853,Sách Con Người Biết Nói Dối Còn Vật Chứng Thì Không,151200,189000,20,0.0,0,10,Hồng Mâu,Tủ Sách Kinh Dị,Nhà Xuất Bản Thế Giới,,Bìa mềm,384,,Tiki Trading,available,1000,False,True,True
278682210,Sách Chân Dung Tội Ác: Nhân Dạng – Tâm Quỷ,106260,138000,23,5.0,2,63,Hứa Đại Bằng,Moon Books,Nhà Xuất Bản Văn Học,,Bìa mềm,336,2025-09-22,Tiki Trading,available,1000,False,True,True
278603627,Ghi Chép Pháp Y - Những Thi Thể Không Hoàn Chỉnh,130000,130000,0,0.0,0,0,Lưu Bát Bách,AZ Việt Nam,Nhà Xuất Bản Thanh Niên,,Bìa mềm,272,2025-09-05,Nhà Sách Phương Nam,available,1000,True,True,True
278590968,Sách Những Tội Ác Có Thật,92000,129000,29,0.0,0,2,Jamie King,VanLangBooks,Nhà Xuất Bản Thanh Hóa,,Bìa mềm,280,,Tiki Trading,available,1000,True,True,True
278492057,Sách - Tà Tâm Và Tội Ác,164880,229000,28,0.0,0,0,Max Cutler,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,454,,1980 BOOKS HCM,available,1000,True,True,True
278440236,Giải Mã Tâm Trí Tội Phạm,179000,179000,0,0.0,0,0,Peter Suber,1980 Books,NXB Dân Trí,,Bìa mềm,299,2025-07-29,Nhà sách NetaBooks,available,1000,True,True,True
278310163,Sách Giải Mã Tâm Trí Tội Phạm,189000,189000,0,0.0,0,0,Peter Suber,1980 Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,299,,Bamboo Books,available,1000,True,True,True
278295198,Sách - Giải Mã Tâm Trí Tội Phạm,128880,179000,28,0.0,0,0,Peter Suber,1980 Books,NXB Dân Trí,,Bìa mềm,299,,TTR Next Generation,available,1000,True,True,True
277233467,Báo Cáo Pháp Y,218000,218000,0,0.0,0,0,Sue Black,Nhã Nam,Nhà Xuất Bản Công Thương,,Bìa mềm,602,2025-02-03,Nhà sách NetaBooks,available,1000,True,True,True
