id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279134448,"Sách - P.H.A.O Địa Lí Ôn Luyện Thi Tốt Nghiệp THPT, ĐGNL",64300,65000,1,0.0,0,1,Trương Thị Minh Hằng,Nhà Sách Hồng Ân,Nhà Xuất Bản Dân Trí,,,,,Minhhabooks,available,1000.0,True,True,True
278969101,Sách - V-ACT HCM - Luyện Thi Đánh Giá Năng Lực Đại Học Quốc Gia TP. Hồ Chí Minh - 300 Bài Đọc Hiểu Lí Hóa Sinh,172500,250000,31,0.0,0,3,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278969099,Sách - 100 Đề Minh Họa Tốt Nghiệp THPT 2026 - Môn Ngữ Văn,150000,200000,25,5.0,1,12,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278969093,Sách - V-ACT - 25 Đề Luyện Thi Đánh Giá Năng Lực Theo Cấu Trúc Đề Của Đại Học Quốc Gia TP. Hồ Chí Minh,182500,250000,27,0.0,0,16,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278969089,Sách - 60 Đề Minh Họa Tốt Nghiệp THPT 2026 - Môn Tiếng Anh,150000,200000,25,5.0,5,95,Trang Anh,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278969087,Sách - 60 Đề Minh Họa Tốt Nghiệp THPT 2026 - Môn Sinh Học,150000,200000,25,5.0,1,6,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278969081,Sách - 60 Đề Minh Họa Tốt Nghiệp THPT 2026 - Môn Hóa Học,150000,200000,25,5.0,1,13,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278969071,Sách - 60 Đề Minh Họa Tốt Nghiệp THPT 2026 - Môn Toán,148000,200000,26,5.0,4,57,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278969065,Sách - 60 Đề Minh Họa Tốt Nghiệp THPT 2026 - Môn Vật Lí,150000,200000,25,0.0,0,21,nhieu tac gia,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278498437,Sách - 35 Đề Thi Thử Kỳ Thi Tốt Nghiệp THPT Môn Tiếng Anh - MCBooks,160000,160000,0,5.0,1,5,nhieu tac gia,MCBOOKS,Nhà Xuất Bản Dân Trí,,,,,MCBooks Sài Gòn,available,1000.0,True,True,True
277996735,"Tổng ôn cấp tốc Toán, Lý, Hoá, Anh 12, sách ôn luyện thi tốt nghiệp THPT 2025",134000,200000,33,5.0,4,27,,Aladanh,NXB Dân Trí,,Bìa mềm,300.0,2025-03-31,MoonBook - Top 1 sách luyện thi,available,1000.0,True,True,True
276257666,[ TSA 2025 ] Sách Đánh giá tư duy đại học Bách Khoa Hà Nội Moonbook,154000,250000,38,0.0,0,49,nhieu tac gia,Aladanh,NXB Dân Trí,,Bìa mềm,224.0,2024-08-01,MoonBook - Top 1 sách luyện thi,available,1000.0,True,True,True
275538870,Combo Bồi Dưỡng Học Sinh Giỏi Qua Các Kì Thi Chuyên Đề Lý Luận Văn Học và Nghị Luận Xã Hội Theo Hướng Mở,156000,248000,37,5.0,1,19,Nguyễn Thành Huân,Khang Việt Book,Nhà Xuất Bản Dân Trí,,Bìa mềm,,,khangvietbook,available,1000.0,True,True,True
275274741,"Sách ID Tổng ôn ngữ văn lớp 12 Moonbook, ôn thi thpt quốc gia 2024",130000,200000,35,4.5,6,43,Vũ Dung,Aladanh,NXB Dân Trí,,Bìa mềm,,2023-09-15,MoonBook - Top 1 sách luyện thi,available,1000.0,True,True,True
262860192,Sách Tờ tổng hợp kiến thức tất cả trong một - Hóa học 10-11-12,31150,39000,20,0.0,0,19,Đào Thị Hoàng Ly,Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,1.0,2023-06-01,Tiki Trading,available,1000.0,False,True,True
195649296,Sách KNM - Mẹ Không Phải Người Giúp Việc,63700,84000,24,0.0,0,9,"Han Chang Wook, Choo Duck Young",Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,140.0,2022-08-08,Tiki Trading,available,1000.0,False,True,True
195649282,Sách HBR Onpoint 2021: Quản Lý Rủi Ro,200900,269000,25,5.0,2,41,Harvard Business Review,Alphabooks,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,,Bìa mềm,152.0,2022-08-08,Tiki Trading,available,1000.0,False,True,True
195649281,Sách Đọc Vị Tâm Lý Hành Vi Của Giới Giàu Và Siêu Giàu,209300,299000,30,4.7,19,248,Rainer Zitelmann,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,500.0,2022-08-08,Tiki Trading,available,1000.0,False,True,True
193978841,"Sách Kỹ Năng Học Tập Thành Công Ở Bậc Cao Đẳng, Đại Học 2 Những Kỹ Năng Học Thuật",131000,179000,27,5.0,2,30,Stella Cottrell,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,252.0,2022-07-01,Tiki Trading,available,1000.0,False,True,True
189940691,Sách Cây Vĩ Cầm Cuồng Nộ (Tái bản),150200,199000,25,4.7,3,80,"Joanne Lipman, Melanie Kupchynsky",Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,372.0,2022-07-07,Tiki Trading,available,1000.0,False,True,True
189940677,Sách Luật Trí Não (Tái bản),145200,199000,27,4.3,3,82,John Medina,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,448.0,2022-07-07,Tiki Trading,available,1000.0,False,True,True
188714540,Sách Mưu Hèn Kế Bẩn Nơi Công Sở Nghệ Thuật Nhận Biết Và Phòng Tránh Tiểu Nhân Trong Công Việc (Tái bản),103200,139000,26,5.0,1,20,"Colin Gautreys, Mike Phipps",Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,304.0,2022-06-06,Tiki Trading,available,1000.0,False,True,True
188057277,Sách Đánh Thức Bản Ngã Nghệ Sĩ,152300,199000,23,3.9,8,91,Julia Cameron,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,388.0,2022-06-06,Tiki Trading,available,1000.0,False,True,True
186880675,Sách Thế Chiến Thứ Hai,453300,699000,35,4.8,59,285,Antony Beevor,OMEGA PLUS+,Nhà Xuất Bản Hà Nội,,Bìa cứng,1200.0,2022-06-01,Tiki Trading,available,1000.0,False,True,True
186880666,Sách Lược Sử Vạn Vật (Tái bản),218200,299000,27,5.0,18,198,William McGuire Bryson,OMEGA PLUS+,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm,724.0,2022-06-01,Tiki Trading,available,1000.0,False,True,True
186880665,Sách Hackers Toeic Start Listening ( Tái bản),198000,279000,29,2.0,4,43,David Cho,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,576.0,2022-06-01,Tiki Trading,available,1000.0,False,True,True
186880663,Sách Fryderyk Chopin Cuộc Đời Và Thời Đại,374900,499000,25,5.0,26,170,Alan Walker,OMEGA PLUS+,Nhà Xuất Bản Dân Trí,,Bìa cứng,836.0,2022-06-01,Tiki Trading,available,1000.0,False,True,True
186112403,Sách Đọc Vị Người Lạ (Tái bản),148500,229000,35,4.5,8,100,Malcolm Gladwell,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,524.0,2022-06-01,Tiki Trading,available,1000.0,False,True,True
