id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279213208,Sách - Combo Chiến Thắng Kì Thi 9 Vào 10 Chuyên Môn Vật Lí (3 Cuốn),135200,169000,20,0.0,0,16,Trịnh Minh Hiệp,Khang Việt Book,Nhà Xuất Bản Dân Trí,,,,,khangvietbook,available,1000.0,True,True,True
277270058,Sách 50 Đề Thực Chiến Luyện Thi Tiếng Anh Vào Lớp 10 (Có đáp án),95300,139000,31,5.0,3,120,Bùi Văn Vinh,Nhà sách Minh Thắng,Nhà Xuất Bản Hà Nội,,Bìa mềm,264,2024-12-26,Tiki Trading,available,1000.0,False,True,True
187600387,Sách Giải Thích Bộ Đề Thi Vào 10 Chuyên - Khối Chuyên Anh,106000,159000,33,4.8,32,329,Dương Hương,Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,432,2022-06-06,Tiki Trading,available,1000.0,False,True,True
57595572,Sách Chinh Phục Đề Thi Vào Lớp 6 Trường THCS Chất Lượng Cao Môn Toán,107100,119000,10,5.0,8,49,Nguyễn Xuân Nam,Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,224,,Nhà sách Fahasa,available,1000.0,True,True,True
278003906,Sách Đề Thi Tuyển Sinh Vào Lớp 10 Môn Tiếng Anh,62100,90000,31,0.0,0,18,Lighthouse Writers,Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,192,,Tiki Trading,available,1000.0,False,True,True
279212047,Sách - Đề Ôn Thi Tuyển Sinh 10 - Môn Ngữ Văn,90200,110000,18,0.0,0,19,Nguyễn Phước Bảo Khôi,Cty Đầu Tư & Phát Triển Giáo Dục Sài Gòn,Đại Học Sư Phạm TPHCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
272731607,Sách Giúp em viết đoạn và bài văn hay Ngữ Văn 6,53000,69000,23,5.0,1,170,Nhiều tác giả,Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,2023-10-01,Tiki Trading,available,1000.0,False,True,True
279237290,"Sách - Hướng Dân Ôn Thi Tuyển Sinh Và Luyện Đề Thực Tế Vào 10 Môn Toán, Ngữ Văn, Tiếng Anh Mới Nhất (2026)",75600,90000,16,5.0,1,9,nhieu tac gia,Cty Đầu Tư & Phát Triển Giáo Dục Sài Gòn,Đại Học Sư Phạm TPHCM,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279209802,Sách - Combo Chuyên Đề Bồi Dưỡng Học Sinh Giỏi Và Ôn Thi Vào Lớp 10 Chuyên Hóa (2 Cuốn),141750,189000,25,0.0,0,5,Lưu Văn Dầu,Khang Việt Book,NXB Dân Trí,,,,,khangvietbook,available,1000.0,True,True,True
278698586,Sách Sổ Tay Kiến Thức Toán Văn Anh THCS,74000,99000,25,0.0,0,2,Nhiều tác giả,MCBOOKS,Nhà Xuất Bản Dân Trí,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
278969066,Sách - 80 Đề Minh Họa Thi Vào 10 - Môn Tiếng Anh,146000,200000,27,5.0,2,25,Trang Anh,Aladanh,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
277742021,Chinh phục 8+ luyện thi vào lớp 10 môn Tiếng Anh theo chủ đề (sách ôn luyện cho các bộ sách giáo khóa mới),106000,159000,33,5.0,1,38,"Dương Hương, Lâm Mỹ An",Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,332,2025-04-14,Tiki Trading,available,1000.0,False,True,True
278525269,Sách - Chuyên Đề Bồi Dưỡng Học Sinh Giỏi Và Ôn Thi Vào Lớp 10 Chuyên Hóa Phần Hóa Vô Cơ (Theo Chương Trình Mới),174720,224000,22,5.0,3,33,Lưu Văn Dầu,Khang Việt Book,Nhà Xuất Bản Dân Trí,,,,,khangvietbook,available,1000.0,True,True,True
