id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279246887,"Sách - Sách All In One - Sổ Tay Vật Lý, Ngữ Văn, Sinh Học, Hóa Học Cấp 3",81100,99000,18,0.0,0,1,nhieu tac gia,MCBOOKS,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279154825,Sách - Tổng Ôn Luyện Thi Môn Lịch Sử - Tập 1 + 2 (Moon),250000,250000,0,0.0,0,0,nhieu tac gia,Nhà Sách Hồng Ân,Nhà Xuất Bản Dân Trí,,,,,Khanhlinhbook,available,1000.0,True,True,True
279152607,Sách - Bộ Ôn Luyện Trắc Nghiệm Thi Tốt Nghiệp Trung Học Phổ Thông 2026 ( Combo/Lẻ),55000,55000,0,0.0,0,0,nhieu tac gia,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Sư Phạm,,,,,Nhà sách Khánh Linh 2,available,1000.0,True,True,True
279148512,Sách - Bộ Đề Minh Họa Tốt Nghiệp THPT 2026 Các Môn (Combo/ Lẻ) - Moon,200000,200000,0,0.0,0,3,nhieu tac gia,Nhà Sách Hồng Ân,Nhà Xuất Bản Dân Trí,,,,,Nhà sách Khánh Linh 2,available,1000.0,True,True,True
279148494,Sách - Bộ Đề Minh Họa Tốt Nghiệp THPT 2026 Các Môn (Combo/ Lẻ) - Moon,200000,200000,0,0.0,0,4,nhieu tac gia,Nhà Sách Hồng Ân,Nhà Xuất Bản Dân Trí,,,,,Khanhlinhbook,available,1000.0,True,True,True
279047527,Sách - P.H.A.O - Pro Hacks For Academic Overload - Sinh Học - Ôn Luyện Thi Tốt Nghiệp THPT-ĐGNL,55200,65000,15,0.0,0,2,nhieu tac gia,Fahasa,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279008149,Sách - Atlat Địa Lí Việt Nam (Chỉnh Sửa Năm 2025),32600,34000,4,5.0,1,8,nhieu tac gia,Cty Sách & VHP Quảng Lợi,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279005777,"Sách - P.H.A.O Toán Ôn Luyện Thi Tốt Nghiệp THPT, ĐGNL",64300,65000,1,5.0,1,3,nhieu tac gia,Nhà Sách Hồng Ân,Nhà Xuất Bản Dân Trí,,,,,Minhhabooks,available,1000.0,True,True,True
278971259,Sách 30 Đề Luyện Thi Tốt Nghiệp THPT 2026 Lịch sử,155000,189000,18,0.0,0,9,"Hồ Như Hiển (Chủ biên), Trần Mơ",StudyBooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,200.0,,Tiki Trading,available,1000.0,False,True,True
278938503,Sách Chinh Phục Công Thức Viết Đoạn Văn Và Bài Văn Nghị Luận Văn Học Dành Cho Học Sinh Trung Học Phổ Thông,120000,139000,14,0.0,0,4,Nhiều tác giả,VanVietBooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,272.0,,Tiki Trading,available,1000.0,False,True,True
278853203,Sách - Hướng Dẫn Ôn Thi Tốt Nghiệp Trung Học Phổ Thông Các Môn Năm Học 2025 - 2026 (Tùy Chọn),85000,85000,0,0.0,0,7,nhieu tac gia,Nhà Sách Hồng Ân,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,Khanhlinhbook,available,1000.0,True,True,True
278824771,Sách Nâng Cao Tư Duy Phản Biện Trong Văn Nghị Luận Xã Hội,80850,105000,23,0.0,0,13,Nguyễn Phương Uyên (Tửu Lầu Văn Chương),iBetter Books,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,248.0,2025-11-06,Tiki Trading,available,1000.0,False,True,True
278794359,Sách Chinh Phục Công Thức Viết Đoạn Văn Và Bài Văn Nghị Luận Xã Hội Qua Các Chủ Đề Kinh Điển,107030,139000,23,0.0,0,13,Nhiều tác giả,VanVietBooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,280.0,2025-10-29,Tiki Trading,available,1000.0,False,True,True
278700221,Sách All In One - Sổ Tay Toán Học Cấp 3,99000,129000,23,0.0,0,9,"Th.S Nguyễn Văn Phước, Nguyễn Xuân Nam",MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
277817402,[ĐGNL HCM 2025] Sách ôn thi đánh giá năng lực TP Hồ Chí Minh - Tổng ôn phần phân tích số liệu Moonbook,154000,250000,38,5.0,1,9,nhieu tac gia,Aladanh,NXB Dân Trí,,Bìa mềm,584.0,2025-02-03,MoonBook - Top 1 sách luyện thi,available,1000.0,True,True,True
277715963,Sách - Bộ đề mới luyện thi vào lớp 10 môn tiếng anh (biên soạn theo cấu trúc đề thi mới 2025) - HA,43400,62000,30,5.0,1,17,,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,Bảo Châu Books,available,1000.0,True,True,True
277344451,Chuyên khảo Phương Trình Hàm (Bồi Dướng HSG Chuyên Toán - Dùng Chung cho các bộ SGK Hiện hành) (HA-MK),122220,194000,37,0.0,0,5,,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,Minh Khang Books,available,1000.0,True,True,True
276915965,Ôn luyện thi tốt nghiệp trung học phổ thông môn Ngữ văn,60000,60000,0,0.0,0,14,,NXB Đại Học Sư Phạm,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,228.0,,NXB Đại học Sư phạm,available,1000.0,True,True,True
276634665,Sách - HƯỚNG DẪN LUYỆN THI VÀO 10 Môn TOÁN (theo Chương trình giáo dục phổ thông 2018),75000,75000,0,0.0,0,0,,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,176.0,,Khanhlinhbook,available,1000.0,True,True,True
276328191,Bồi Dưỡng Học Sinh Giỏi Hóa Học 12 Theo Chuyên Đề (Dùng Chung Cho Các Bộ SGK Hiện Hành) ,178000,178000,0,0.0,0,5,"Nguyễn Xuân Trường,  ThS Quách Văn Long,  TS Hoàng Thị Thúy Hương",Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,576.0,,Bảo Châu Books,available,1000.0,True,True,True
275147477,Sách - Hướng dẫn làm các dạng bài văn lớp 7 ( dùng chung cho 3 bộ sách ),129000,129000,0,0.0,0,1,,Nhà Sách Hồng Ân,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,120.0,,Nhà sách Khánh Linh 2,available,1000.0,True,True,True
275137771,Toán Thực Tế - Lớp 10,77700,96000,19,0.0,0,13,,Cty Giáo Dục Đức Trí,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
275058294,"Sinh 12 Chương trình mới Dành cho 2k7: Tổng ôn Sinh học ôn thi THPT Quốc Gia, ĐGNL Moonbook",200000,200000,0,4.3,4,58,TS Phan Khắc Nghệ,Aladanh,NXB Dân Trí,,Bìa mềm,300.0,2024-05-20,MoonBook - Top 1 sách luyện thi,available,1000.0,True,True,True
