id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278945409,100 Bí Ẩn Đáng Kinh Ngạc Về Tiền - 100 Things To Know About Money,95000,119000,20,0.0,0,21,Nhiều tác giả,Đinh Tị,Nhà Xuất Bản Thế Giới,,Bìa mềm,128.0,,Tiki Trading,available,1000,False,True,True
278777861,Bộ Sách Quiz! Khoa Học Kì Thú [Chọn Tập Lẻ],69000,75000,8,5.0,11,154,Nhiều tác giả,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,200.0,2025-10-20,Tiki Trading,available,1000,False,True,True
278475152,Sách Thiên Văn Học Trực Quan,405000,500000,19,5.0,2,55,"DK, Ian Ridpath",Đinh Tị,Nhà Xuất Bản Thế Giới,,Bìa cứng,352.0,,Tiki Trading,available,1000,False,True,True
278280386,Sách Chuyển Động Thông Minh Đa Ngữ Việt - Anh - Pháp (Giúp Trẻ Nhận Biết Thế Giới Xung Quanh Thật Trực Quan Và Sinh Động),82200,119000,31,5.0,12,22,Nathalie Choux,Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa cứng,12.0,,Tiki Trading,available,1000,False,True,True
278241199,Sách Bé Yêu Hạt Cơ Bản/ Kỹ Thuật Hàng Không Vũ Trụ / Lập Trình / Vật Lý Lượng Tử (4 quyển) Song ngữ,37600,49000,23,0.0,0,6,Ruth Spiro,Quảng Văn,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,44.0,,Tiki Trading,available,1000,False,True,True
278231117,Sách Peppa Pig Song Ngữ Anh-Việt,21700,35000,38,0.0,0,14,Nhiều tác giả,Tân Việt,Nhà Xuất Bản Mỹ Thuật,,Bìa mềm,32.0,,Tiki Trading,available,1000,False,True,True
278230910,Sách Bách Khoa Toàn Thư Tìm Hiểu Về Trái Đất,90800,129000,30,0.0,0,5,Lý Kế Dũng,Nhà sách Minh Thắng,Nhà Xuất Bản Mỹ Thuật,,Bìa mềm,112.0,,Tiki Trading,available,1000,False,True,True
278159115,Bộ sách English Zoo -Song Ngữ Anh -Việt,66900,95000,30,0.0,0,9,"Kevin Kang, Mr. Iwi",Tân Việt,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,16.0,,Tiki Trading,available,1000,True,True,True
278129054,Sách Trò chơi Đồ hàng (Hơn 200 Stickers),25000,35000,29,0.0,0,0,Little Rainbow,Megabook,Nhà Xuất Bản Thanh Niên,,Bìa mềm,8.0,,Tiki Trading,available,1000,False,True,True
278128724,Sách Dán Hình Sáng Tạo - Thế Giới Khủng Long,33300,42000,21,0.0,0,3,Phan Anh Lệ,Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa mềm,18.0,,Tiki Trading,available,1000,True,True,True
278070713,Sách Atlas Cho Trẻ Em - Hơn 100 Sticker Và Bản Đồ Địa Hình Siêu Lớn,56200,80000,30,5.0,1,15,Thanh Tú,Tân Việt,Nhà Xuất Bản Mỹ Thuật,,Bìa mềm,19.0,,Tiki Trading,available,1000,False,True,True
275300223,Sách Danh Nhân Khoa Học Việt Nam,24000,30000,20,0.0,0,54,"Nguyễn Như Mai, Nguyễn Hoàng Tấn",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,32.0,2024-06-01,Tiki Trading,available,1000,False,True,True
275300184,Tranh Truyện Lịch Sử Việt Nam,18400,20000,8,5.0,2,16,"Lê Phương Liên, Lê Minh Hải",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,32.0,2024-06-01,Tiki Trading,available,1000,False,True,True
275300116,Sách WHO? Chuyện Kể Về Danh Nhân Thế Giới,57000,60000,5,4.8,4,217,"Kim Seung-Min, Choi Byeong-Guk",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,184.0,2024-06-01,Tiki Trading,available,1000,False,True,True
273464136,Sách Dạy Trẻ Quản Lý Và Tiêu Tiền Đúng Cách,26700,35000,24,0.0,0,103,"Kangaroo Mother, Hoàng Nhữ Khiết",Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa mềm,24.0,2023-11-11,Tiki Trading,available,1000,False,True,True
272227226,Sách Mỗi Ngày 10 Phút Thì Thầm Với Con- Những Câu Chuyện Thai Giáo Hay Nhất Thế GiớI,103400,145000,29,4.3,7,174,Park Hannah,Tân Việt,Nhà Xuất Bản Văn Học,,Bìa mềm,205.0,2023-09-01,Tiki Trading,available,1000,False,True,True
270837078,Cuốn Sách Đầu Tiên Của Bé - Các màu sắc - Dành Cho Bé Từ 3-5 Tuổi,83700,119000,30,5.0,1,25,Jake McDonald,Tân Việt,Nhà Xuất Bản Mỹ Thuật,,Bìa mềm,10.0,2023-04-04,Tiki Trading,available,1000,False,True,True
270503767,First Sticker Book - Sách dán hình đầu đời cho bé - Đại dương,57300,75000,24,0.0,0,21,,Đinh Tị,Nhà Xuất Bản Thanh Niên,,,16.0,,Tiki Trading,available,1000,True,True,True
263035841,Sách Vòng Quanh Thế Giới,11400,12000,5,4.7,3,591,"Nguyễn Hào, Tuấn Huỳnh",Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,16.0,2023-05-29,Tiki Trading,available,1000,False,True,True
252561538,Sách 24 giờ,84200,93400,10,0.0,0,59,Nhiều tác giả,Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa mềm,64.0,2023-01-01,Tiki Trading,available,1000,False,True,True
207830870,Combo giáo dục giới tính nhi đồng (3 cuốn),135360,188000,28,5.0,7,174,"Tam Tam, Đinh Bằng",Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,120.0,2022-12-01,Tiki Trading,available,1000,False,True,True
207830858,Combo Gi gỉ gì gi cái gì cũng biết (4 cuốn),371140,482000,23,5.0,6,76,"Mima Noyuri, Hanazono Makoto",Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,720.0,2022-12-01,Tiki Trading,available,1000,False,True,True
170098838,Sách Hoá Học Hữu Cơ Cho Trẻ Em,26300,37000,29,4.6,11,88,Chris Ferrie,Nhà xuất bản Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,28.0,2022-03-03,Tiki Trading,available,1000,False,True,True
170098832,Sách Vật Lý Lượng Tử Cho Trẻ Em,28100,37000,24,3.7,3,79,Chris Ferrie,Nhà xuất bản Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,28.0,2022-03-03,Tiki Trading,available,1000,False,True,True
152464652,Sách 100 Bí Ẩn Đáng Kinh Ngạc Về Giải Cứu Trái Đất - 100 Things To Know About Saving The Planet,89900,119000,24,5.0,13,197,Nhiều tác giả,Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa cứng,236.0,2021-12-12,Tiki Trading,available,1000,False,True,True
129767997,First Sticker Book - Sách Dán Hình Đầu Đời Cho Bé - Sân Bay 75N,62700,75000,16,5.0,22,214,Sam Smith,Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa mềm,24.0,2021-10-01,Tiki Trading,available,1000,False,True,True
120509474,"Sách Hiểu Về Tài Chính, Vững Bước Tương Lai - Tiết Kiệm Cho Tương Lai",24700,25000,1,5.0,2,14,Cecilia Minden,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,32.0,2021-08-01,Nhà sách Fahasa,available,1000,True,True,True
79129127,Sách Vẽ Theo Phong Cách Kawaii Với 5 Bước Đơn Giản- Thế Giới Muôn Màu,47500,59000,19,4.8,26,233,Lulu Mayo,Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa mềm,64.0,2021-02-01,Tiki Trading,available,1000,True,True,True
75954477,Sách Stem Quanh Em - Nghệ Thuật Siêu Ấn Tượng,53100,59000,10,0.0,0,1,"Jenny Jacoby, Vicky Barker",Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,33.0,2021-01-01,Nhà sách Fahasa,available,1000,True,True,True
46755077,Sách Vòng Quanh Thế Giới - Canada,11400,12000,5,4.7,32,392,"Nguyễn Hào, Minh Tuấn",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,16.0,2020-01-02,Nhà sách Fahasa,available,1000,True,True,True
39909003,Sách Giáo Dục Nhi Đồng,61750,65000,5,4.7,20,444,Đạm Phương Nữ Sử,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,496.0,,Tiki Trading,available,1000,False,True,True
38545328,Sách Ghép Hình Phát Triển Trí Tuệ - Động Vật Biển(Tái Bản),85500,90000,5,0.0,0,3,Pandabooks,Pandabooks,,,Bìa cứng,5.0,2019-10-01,Nhà sách Fahasa,available,1000,True,True,True
35191890,Sách I Will Be Better - Những Câu Chuyện Truyền Cảm Hứng: Con Sẽ Tự Giác,46500,50000,7,5.0,33,325,Yuman,Nhà Xuất Bản Kim Đồng,,,Bìa mềm,192.0,2019-09-01,Nhà sách Fahasa,available,1000,True,True,True
13359663,Combo Những Chiếc Xe Hiệp Sĩ ( 8 Cuốn ),140000,144000,3,4.8,199,2252,"Mijika, Tianying",Nhà Xuất Bản Kim Đồng,,,Bìa mềm,192.0,1900-01-04,Tiki Trading,available,1000,False,False,True
10738198,Combo Danh Nhân Thế Giới (10 cuốn) - Tái Bản,300000,300000,0,5.0,6,61,,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,2019-02-02,NHBook,available,1000,True,True,True
1215677,Sách Từ Những Hạt Mầm: Hột Điều Của Sóc,12700,15000,15,5.0,7,885,"Nguyên Trang, Tố Ny",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,24.0,2023-07-14,Tiki Trading,available,1000,False,True,True
1215673,Sách Từ Những Hạt Mầm: Kiến Đen Tìm Mè,13000,13000,0,5.0,2,65,"Nguyên Trang, Khánh Nguyên",Nhà Xuất Bản Kim Đồng,,,Bìa mềm,24.0,2017-01-01,Nhà sách Fahasa,available,1000,True,True,True
1215671,Sách Từ Những Hạt Mầm: Vườn Đậu Của Giun,13000,13000,0,5.0,4,75,"Nguyễn Trần Thiên Lộc, Tố Ny",Nhà Xuất Bản Kim Đồng,,,Bìa mềm,24.0,2017-01-01,Nhà sách Fahasa,available,1000,True,True,True
606178,Sách 1000 Câu Đố Phát Triển Trí Tuệ - Khai Phá Tiềm Năng,76000,80000,5,5.0,3,480,Xing Tao,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,208.0,2017-04-01,Tiki Trading,available,1000,False,True,True
542982,Sách Bé Học Lễ Giáo - Bubu Tập 34: Bubu Đi Tựu Trường (Tái Bản),13000,15000,13,4.7,3,661,Tiểu Vi Thanh,NXB Trẻ,NXB Trẻ,,Bìa mềm,,2024-09-13,Tiki Trading,available,1000,False,True,True
278945406,Thế Giới Nhỏ Động Đậy,95300,138000,31,0.0,0,6,Minh họa: Teresa Bellón,Đinh Tị,Nhà Xuất Bản Hà Nội,,Bìa mềm,10.0,,Tiki Trading,available,1000,False,True,True
278830759,Sách - Quiz! Khoa Học Kì Thú - Nhà Sáng Tạo Nội Dung Youtube,75000,75000,0,0.0,0,0,nhieu tac gia,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,2023-12-21,Bamboo Books,available,1000,True,True,True
278819547,Mini fashion show (Lẻ/Combo),17700,29000,39,0.0,0,1,Little Angel,Nhà sách Minh Thắng,Nhà Xuất Bản Văn Học,,Bìa mềm,32.0,,Tiki Trading,available,1000,False,True,True
278728400,Sách Kinh Tế Học Vui Nhộn - Những Câu Hỏi Kinh Tế Ra Tiền,62000,75000,17,0.0,0,16,"Lý Huy, Vương Hiểu Nhã",Megabook,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
