id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278241138,Tranh Truyện Dân Gian Việt Nam:,15000,20000,25,0.0,0,10,"Hồng Hà, Đào Hải",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,32.0,,Tiki Trading,available,1000.0,False,True,True
278128847,Sách Cổ Tích Gần Nhà,47000,68000,31,0.0,0,0,,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,24.0,,Tiki Trading,available,1000.0,True,True,True
277522350,Truyện Tranh Cổ Tích Việt Nam - Truyện Mai An Tiêm/ Thạch Sanh/ Cậu bé Tích Chu/ Sự tích quả vú sữa/  Chú Cuội/  Cây tre trăm đốt,19400,26000,25,3.0,3,28,Búp trên cành biên soạn; Kim Duẩn minh họa,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,24.0,,Tiki Trading,available,1000.0,False,True,True
276951964,Thần Thoại Việt Nam Chọn Lọc (Tái bản 2025),102000,141000,28,5.0,2,46,"Hoàng Minh,  Việt Dũng,  Thu Nga",VIETNAMBOOK,Nhà Xuất Bản Hà Nội,,Bìa mềm tay gấp,256.0,2025-01-07,VIETNAMBOOK,available,1000.0,True,True,True
276526159,Sách Alice Ở Xứ Sở Diệu Kỳ Và Alice Ở Thế Giới Trong Gương,79000,108000,27,4.8,4,21,Lewis Caroll,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa mềm,143.0,2017-06-24,Tiki Trading,available,1000.0,False,True,True
274792660,Sách Ngụ Ngôn Ê-Dốp Bằng Thơ [Tái Bản 2024],76000,80000,5,0.0,0,14,,Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,2024-08-04,Tiki Trading,available,1000.0,False,True,True
274397292,"Truyện Ngụ ngôn cho Trẻ tập đọc (Sáng dạ, Đọc nhanh) Bìa cứng",80000,80000,0,0.0,0,13,,CÔNG TY TNHH IN VÀ TM TUẤN VIỆT,Nhà Xuất Bản Hà Nội,,Bìa cứng,80.0,2024-03-06,TUANVIET BOOKS Official Store,available,1000.0,True,True,True
271014726,Truyện tranh cổ tích Việt Nam,121000,170000,29,0.0,0,44,"Búp trên cành, Kim Duẩn",Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,16.0,2023-01-01,Tiki Trading,available,1000.0,False,True,True
270483781,"Kho tàng truyện cổ tích Việt Nam (Bộ 5 tập, in lần thứ 10, hiệu chỉnh đầy đủ theo bản gốc)",612000,680000,10,5.0,4,24,,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,2040.0,,Cá Chép Bookstore,available,1000.0,True,True,True
270483737,"Kho tàng truyện cổ tích Việt Nam (Bộ 5 tập, in lần thứ 10, hiệu chỉnh đầy đủ theo bản gốc, bao gồm 201 truyện chính kèm phần nghiên cứu và khảo dị)",612000,680000,10,4.8,17,111,Nguyễn Đổng Chi,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,2040.0,,Đông A Books Official,available,1000.0,True,True,True
244303528,Truyện cổ tích việt nam cho bé tập đọc ( Tranh màu ) Từ 0 - 6 tuổi,70560,98000,28,0.0,0,11,Christian Stang,Đại Mai Books,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,MCBooks,available,1000.0,True,True,True
242835268,Tranh Truyện Dân Gian Việt Nam: Sự Tích Dưa Hấu [Tái Bản 2023],19600,20000,2,0.0,0,32,"Nguyễn Công Hoan, Hồng Hà",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,32.0,2023-01-01,Tiki Trading,available,1000.0,False,True,True
242086747,Tranh Truyện Dân Gian Việt Nam: Cây Khế [Tái bản 2023],19600,20000,2,0.0,0,22,"Nguyễn Bích, Hồng Hà",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,32.0,2023-01-01,Tiki Trading,available,1000.0,False,True,True
225910739,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh (Tái Bản 2023): Little Red Riding Hood - Cô Bé Quàng Khăn Đỏ,33600,35000,4,5.0,1,30,"Daniel Howarth, Arianna Candell",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,36.0,2023-01-01,Tiki Trading,available,1000.0,False,True,True
225910737,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh (Tái Bản 2023): The Ugly Duckling - Vịt Con Xấu Xí,33250,35000,5,0.0,0,26,"Daniel Howarth, Arianna Candell",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,36.0,2023-01-01,Tiki Trading,available,1000.0,False,True,True
225910731,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh (Tái Bản 2023): The Three Little Pigs - Ba Chú Heo Con,33600,35000,4,0.0,0,14,"Daniel Howarth, Arianna Candell",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,36.0,2023-01-01,Tiki Trading,available,1000.0,False,True,True
216281409,Truyện Cổ Tích Việt Nam (10 cuốn),130000,130000,0,0.0,0,7,Ngọc Linh,Nhà Sách Hồng Ân,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,20.0,,Bảo Châu Books,available,1000.0,True,True,True
