id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278025225,Sách Bách gia tranh minh - Hàn Phi Tử,96000,139000,31,5.0,2,37,Nguyễn Hiến Lê,Công ty CP Sách Bizbooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,268,2020-01-01,Tiki Trading,available,1000,False,True,True
274537552,Sách Who? Chuyện Kể Về Danh Nhân Thế Giới - Antoni Gaudi,58000,60000,3,0.0,0,54,"Lee Sook-Ja, Doni Family",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,184,2024-03-21,Tiki Trading,available,1000,False,True,True
274537546,Sách Who? Chuyện Kể Về Danh Nhân Thế Giới - Simone De Beauvoir,58000,60000,3,5.0,1,39,"Toon-Jangee, Studio Ollim",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,184,2024-03-21,Tiki Trading,available,1000,False,True,True
274537524,Sách Who? Chuyện Kể Về Danh Nhân Thế Giới - Jeff Bezos,57000,60000,5,0.0,0,69,"Lee Doo-Won, Park Se-Jun, Yu Kyung-Won",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,176,2024-03-21,Tiki Trading,available,1000,False,True,True
274537510,Sách Who? Chuyện Kể Về Danh Nhân Thế Giới - Mark Twain,58000,60000,3,5.0,1,41,Team-Sinhwa,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,184,2024-03-21,Tiki Trading,available,1000,False,True,True
272557937,Combo Những nhà tư tưởng lớn (bộ 10C) - Vanlangbooks,735000,875000,16,0.0,0,4,,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Văn Lang Official Store,available,1000,True,True,True
272395575,Combo Who? Chuyện Kể Về Danh Nhân Thế Giới (Combo 15 Cuốn chọn bất kỳ),825000,825000,0,0.0,0,10,,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,NHBook,available,1000,True,True,True
270677462,Sách Các danh nhân nghệ thuật,84000,120000,30,5.0,1,7,Catmint Books,NXB Trẻ,NXB Trẻ,,Bìa mềm,156,2023-07-13,Tiki Trading,available,1000,False,True,True
270677454,Sách Những cuộc đời lớn - Các danh nhân khoa học,92000,120000,23,0.0,0,11,Catmint Books,NXB Trẻ,NXB Trẻ,,Bìa mềm,156,2023-07-13,Tiki Trading,available,1000,False,True,True
263028543,Sách Lão Tử - Tinh hoa trí tuệ qua danh ngôn (Tái Bản 2023),77000,96000,20,5.0,4,48,Hoàng Thần Thuần,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,223,2023-06-01,Tiki Trading,available,1000,False,True,True
249866930,Sách WHO? Chuyện kể về danh nhân thế giới: John Lennon (Tái Bản 2023),57000,60000,5,3.7,3,36,"Team-kids, Lee Heejung",NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,172,2023-04-04,Tiki Trading,available,1000,False,True,True
198816942,Sách Gia Tộc Murdoch: Ông Trùm Truyền Thông Rupert Murdoch Đã Kế Thừa Di Sản Và Xây Dưng Đế Chế Truyền Thông Khổng Lồ Như Thế Nào?,201000,229000,12,5.0,2,34,Tom Roberts,BESTBOOKS,Nhà Xuất Bản Tài Chính,,Bìa mềm,432,2022-09-09,Tiki Trading,available,1000,False,True,True
198198470,Sách Những Nhà Tư Tưởng Lớn - Foucault Trong 60 Phút,68000,99000,31,5.0,13,112,Walther Ziegler,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,192,2022-09-09,Tiki Trading,available,1000,False,True,True
197920819,Sách Những Nhà Tư Tưởng Lớn - Arendt Trong 60 Phút,59000,88000,33,5.0,11,90,Walther Ziegler,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,152,2022-09-09,Tiki Trading,available,1000,True,True,True
197920813,Sách Những Nhà Tư Tưởng Lớn - Plato Trong 60 Phút,59000,85000,31,5.0,16,159,Walther Ziegler,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,144,2022-09-09,Tiki Trading,available,1000,False,True,True
179063549,Sách Trump - Đừng Bao Giờ Bỏ Cuộc,66350,80000,17,4.8,20,265,"Donald J.Trump, Meredith Mclver",NXB Trẻ,NXB Trẻ,,Bìa mềm,218,2022-01-01,Tiki Trading,available,1000,False,True,True
178502530,Sách Danh Nhân Thế Giới: Lincoln (Tái Bản 2022),29400,30000,2,0.0,0,33,Neung In Publishing Company,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,160,2022-01-01,Tiki Trading,available,1000,False,True,True
178502497,Sách Danh Nhân Thế Giới: Newton,30000,30000,0,0.0,0,0,Neung In Publishing Company,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,160,2022-01-01,Bamboo Books,available,1000,True,True,True
178502492,Sách Danh Nhân Thế Giới: Helen (Tái Bản 2022),28800,30000,4,5.0,2,35,Neung In Publishing Company,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,160,2022-01-01,Tiki Trading,available,1000,False,True,True
176831135,Sách Danh Nhân Thế Giới: Einstein (Tái Bản 2022),29400,30000,2,4.8,5,32,Neung In Publishing Company,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,160,2022-04-25,Tiki Trading,available,1000,False,True,True
172069382,Sách Einstein Cuộc Đời Và Vũ Trụ,207400,319000,35,4.8,28,235,Walter Isaacson,OMEGA PLUS+,Nhà Xuất Bản Thế Giới,,Bìa mềm,720,2022-03-01,Tiki Trading,available,1000,False,True,True
153521900,Sách Những Cuốn Sổ Tay Của Leonardo Da Vinci,221100,345000,36,5.0,16,106,Leonardo da Vinci,Tân Việt,Nhà Xuất Bản Dân Trí,,Bìa cứng,200,2021-12-01,Tiki Trading,available,1000,False,True,True
153521892,Sách Abraham Lincoln - Các Tác Phẩm Và Suy Ngẫm,221100,345000,36,4.8,14,125,R.B. Bernstein,Tân Việt,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,200,2021-12-01,Tiki Trading,available,1000,False,True,True
102806471,Elbert Einstein - Tuổi thơ gian khó và cuộc đời khoa học vĩ đại,59500,59500,0,5.0,1,2,,Tân Việt,Nhà Xuất Bản Thanh Niên,,,,,Minhhabooks,available,1000,True,True,True
99321602,Bộ Sách - Bách Gia Tranh Minh: Bộ 8 Cuốn Quý Hiếm Của Nguyễn Hiến Lê,1003000,1477000,32,5.0,1,16,Nguyễn Hiến Lê,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,416,2021-03-16,Tiki Trading,available,1000,False,True,True
90481305,Sách - Mạnh Tử - Nguyễn Hiến Lê (Tuyển Tập Bách Gia Tranh Minh),98000,128000,23,0.0,0,15,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,119000,2021-04-10,Tiki Trading,available,1000,False,True,True
90480568,Sách Khổng Tử - Nguyễn Hiến Lê (Tuyển Tập Bách Gia Tranh Minh),129000,168000,23,0.0,0,16,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,268,2021-04-10,Tiki Trading,available,1000,False,True,True
90480504,Sách - Khổng Tử - Nguyễn Hiến Lê ( Tuyển Tập Bách Gia Tranh Minh),134400,168000,20,5.0,7,53,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,268,2021-04-10,NVP,available,1000,True,True,True
90480319,Sách - Trang Tử Nam Hoa kinh - Nguyễn Hiến Lê (Tuyển Tập Bách Gia Tranh Minh),192000,239000,20,4.7,19,143,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,520,2021-04-10,Tiki Trading,available,1000,False,True,True
90480255,Sách - Lão Tử Đạo Đức kinh - Nguyễn Hiến Lê ( Tuyển Tập Bách Gia Tranh Minh),122000,179000,32,5.0,75,747,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,296,2021-04-09,Tiki Trading,available,1000,False,True,True
90404641,Sách - Tuân Tử - Nguyễn Hiến Lê (Tuyển Tập Bách Gia Tranh Minh),188000,188000,0,0.0,0,0,Nguyễn Hiến Lê,BIZBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,416,2020-11-01,info book,available,1000,True,True,True
73409627,Sách Mozart,344200,459000,25,5.0,6,18,Maynard Solomon,Omega Plus,Nhà Xuất Bản Dân Trí,,Bìa cứng,960,2020-11-15,Nhà sách Fahasa,available,1000,True,True,True
56750844,Sách Tiểu Sử Steve Jobs (Tái Bản 2020),320200,449000,29,4.8,358,1879,Walter Isaacson,Alphabooks,Nhà Xuất Bản Lao Động,,Bìa cứng,758,,Tiki Trading,available,1000,False,True,True
53875091,Sách Khổng Tử - Mưu Lược Tung Hoành,98900,115000,14,5.0,1,11,Chu Chính Thư,VanLangBooks,,,Bìa mềm,296,2020-03-01,Văn Lang Official Store,available,1000,True,True,True
47280037,Sách Tư Duy Như Sherlock Holmes,53900,55000,2,5.0,17,104,Daniel Smith,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,260,2020-01-02,Nhà sách Fahasa,available,1000,True,True,True
6822831,Sách Maria Montessori Cuộc Đời Và Sự Nghiệp,150000,200000,25,5.0,109,1353,E.M. Standing,NXB Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,650,2018-10-30,Tiki Trading,available,1000,False,True,True
