id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278074009,"Sách Tiếng Nói Nam Kỳ Cũ - Địa Danh, Nhơn Danh, Thổ Ngữ (Bìa Cứng)",232000,280000,17,4.3,3,64,Vương Hồng Sển,NXB Trẻ,NXB Trẻ,,Bìa cứng,336,,Tiki Trading,available,1000,False,True,True
273690132,Sách Thực hành văn hóa tín ngưỡng Việt Nam,172000,230000,25,4.8,4,57,Nguyễn Hạnh,NXB Trẻ,NXB Trẻ,,Bìa mềm,504,2023-12-28,Tiki Trading,available,1000,False,True,True
278749470,Chu Du Hà Nội,172200,269000,36,5.0,1,17,Lê Rin,Thái Hà,Nhà Xuất Bản Công Thương,,Bìa mềm,128,,Tiki Trading,available,1000,False,True,True
75432184,"Sách Đà Lạt, Những Cuộc Gặp Gỡ - Con Người Và Đô Thị Đà Lạt 1899 - 1975 - Biên Khảo",139500,155000,10,5.0,18,79,Nguyễn Vĩnh Nguyên,NXB Trẻ,NXB Trẻ,,Bìa mềm,356,2021-01-12,Nhà sách Fahasa,available,1000,True,True,True
278723975,Sách Nhịp Sống Chợ Lớn (Tranh & Ký Họa),346000,399000,13,0.0,0,9,Phạm Công Tâm,Phương Nam Book,Nhà Xuất Bản Văn Hoá Dân Tộc,,Bìa cứng,125,,Tiki Trading,available,1000,False,True,True
271162834,Sách Sơn Nam - Đi và ghi nhớ,97000,130000,25,5.0,4,34,Sơn Nam,NXB Trẻ,NXB Trẻ,,Bìa mềm,340,2023-08-15,Tiki Trading,available,1000,False,True,True
70743633,Sách Tứ Trấn Thăng Long Hà Nội,207200,259000,20,0.0,0,3,Nguyễn Doãn Minh,Tri Thức Trẻ Books,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa cứng,216,2020-10-01,Nhà sách Fahasa,available,1000,True,True,True
12104070,Đặc Trưng Và Sắc Thái Văn Hóa Vùng - Tiểu Vùng Ở Việt Nam,371000,530000,30,4.8,28,209,Huỳnh Công Bá,VIETNAMBOOK,Nhà Xuất Bản Thuận Hóa,,Bìa cứng,944,,VIETNAMBOOK,available,1000,True,True,True
277460800,Việt Nam Non Sông Gấm Vóc - Miền Trung,132000,176000,25,0.0,0,4,"Võ Văn Thành,  Phạm Hương",VIETNAMBOOK,Nhà Xuất Bản Hồng Đức,,Bìa mềm,352,2025-03-06,VIETNAMBOOK,available,1000,True,True,True
278808760,Sách - Thói Quen Của Người Trung Quốc - Bìa Cứng,118100,139000,15,0.0,0,4,nhieu tac gia,Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
574745,Sách Ca Trù - Phía Sau Đàn Phách,52200,68000,23,5.0,8,100,,NXB Phụ Nữ Việt Nam,,,Bìa mềm,232,2017-02-14,Tiki Trading,available,1000,False,True,True
214672873,Thăng Long - Hà Nội Trong Mắt Một Người Hà Nội,166500,185000,10,0.0,0,1,PGS.TS. Nguyễn Thừa Hỷ,NXB Thông Tin & Truyền Thông,Nhà Xuất Bản Thông Tin Và Truyền Thông,,,450,,Bảo Châu Books,available,1000,True,True,True
277807880,Sài Gòn Thành Phố Hồ Chí Minh - Đổi Thay Qua Những Khung Hình (1975 - 2025),350000,350000,0,0.0,0,0,Tam Thái,NXB Tổng Hợp TP. HCM,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,272,2025-04-16,Nhà sách NetaBooks,available,1000,True,True,True
69999228,"Sách Hà Nội - Cõi Đất, Con Người (Tái Bản Lần Thứ 2 - 2020)",194000,225000,14,5.0,7,51,Nguyễn Vinh Phúc,NXB Trẻ,NXB Trẻ,,Bìa mềm,520,2020-10-01,Tiki Trading,available,1000,False,True,True
273202510,Sách Vương Quốc Hà Lan - Những từ khóa làm nên sự thành công và độc đáo,87000,120000,28,5.0,2,41,Phạm Việt Anh,NXB Trẻ,NXB Trẻ,,Bìa mềm,216,2023-11-02,Tiki Trading,available,1000,False,True,True
274883151,Sách Phở Và Các Món Nước (Tái Bản),116050,129000,10,5.0,2,15,Bùi Thị Sương,Công ty TNHH Bán Lẻ Phương Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,100,2024-05-01,Tiki Trading,available,1000,False,True,True
274746848,Chuyện Cơm Hội An,191500,255000,25,5.0,7,49,,PHANBOOK,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,456,,PHAN LỆ & FRIENDS,available,1000,True,True,True
68819766,Sách Sơn Nam - Tìm Hiểu Đất Hậu Giang & Lịch Sử Đất An Giang,93100,98000,5,5.0,20,70,Sơn Nam,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
278229100,Sách - Tác Phẩm Phê Bình Lý Luận Kinh Điển Về Văn Hóa Thời Phục Hưng - The Renaissance,208800,290000,28,0.0,0,4,,Công ty TNHH Truyền Thông và Giáo Dục Lyceum,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
272227382,Nhận Diện Đô Thị Việt Nam Đương Đại,258500,350000,26,5.0,2,50,Ngô Viết Nam Sơn,PHANBOOK,Nhà Xuất Bản Dân Trí,,Bìa mềm,188,,PHAN LỆ & FRIENDS,available,1000,True,True,True
167686049,CHUYỆN ĐỊA DANH VÀ CHỮ NGHĨA NAM BỘ (Tái bản lần 2),99000,99000,0,5.0,1,21,Huỳnh Công Tín,Nhà Xuất Bản Văn hóa Văn nghệ,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,,Bìa mềm,431,2018-04-09,TYMBooks,available,1000,True,True,True
445820,Sách Tục Thờ Cúng Và Những Điều Kiêng Kỵ Trong Văn Hóa Tâm Linh Người Việt,242800,335000,28,3.3,3,29,Hương Việt,Nhà sách Lao Động,Nhà Xuất Bản Hồng Đức,,Bìa mềm,423,2015-03-15,Tiki Trading,available,1000,False,True,True
278713768,Sách - Tiếng Việt Giàu Đẹp - Tiếng Việt - Lạ Mà Quen,118700,125000,5,0.0,0,1,Trịnh Sâm,NXB Trẻ,NXB Trẻ,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
