id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
922403,"Sách Italy, Đi Rồi Sẽ Đến",73500,99000,26,4.5,29,547,Fanara Lê,Alphabooks,,,Bìa mềm,260,2017-12-05,Tiki Trading,available,1000,False,True,True
273385214,Sách Những Nẻo Đường Nước Mỹ - Hành Trình Của Người Đi Xuyên 50 Tiểu Bang - Tập 2,220250,265000,17,5.0,1,36,Nguyễn Tiến Niệm,Công ty TNHH Bán Lẻ Phương Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,385,2023-11-11,Tiki Trading,available,1000,False,True,True
271096623,Sách Pack Your Bags And Learn Europe,69300,90000,23,4.3,4,48,The Wanderers,Zenbooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,216,2023-08-08,Tiki Trading,available,1000,False,True,True
244168756,Sách Bay Trên Bầu Trời Nước Úc,103000,129000,20,5.0,3,30,Duy Mathews,Alphabooks,Nhà Xuất Bản Lao Động,,Bìa mềm,272,2023-03-03,Tiki Trading,available,1000,False,True,True
11253095,Sách Nước Đức Trong Lòng Bàn Tay (Tái Bản 2019),64300,99000,35,5.0,1,20,Trần Mai,Alphabooks,,,Bìa mềm,224,2019-02-01,Nhà sách Fahasa,available,1000,True,True,True
1661331,Sách Cẩm Nang Du Lịch Anh,318200,335000,5,5.0,10,27,Dorling Kindersley Limited,Công Ty Cổ Phần Văn Hóa Đông A,,,Bìa mềm,672,2018-03-28,Nhà sách Fahasa,available,1000,True,True,True
162399349,Văn Minh Đông Phương Và Tây Phương (Tái Bản),54000,60000,10,5.0,1,7,Thu Giang Nguyễn Duy Cần,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000,True,True,True
249768039,Tìm Hiểu Văn Hóa Úc,58500,78000,25,5.0,2,43,,VIETNAMBOOK,Nhà Xuất Bản Hà Nội,,Bìa gập,156,,VIETNAMBOOK,available,1000,True,True,True
1582317,Sách Tây Ban Nha – Hành Trình Không Ngôn Ngữ,83800,129000,35,5.0,1,16,Uyên Nguyên,Alphabooks,,,Bìa mềm,362,2018-01-01,Nhà sách Fahasa,available,1000,True,True,True
276367839,"(Bộ 4 cuốn nước Ý) BẢN SẮC VĂN HÓA Ý, VỊ ĐẮNG TRONG ẨM THỰC Ý, NGÔN NGỮ CỬ CHỈ CỦA NGƯỜI Ý, LƯỢC SỬ THỜI TRANG Ý - Times",688000,688000,0,4.0,1,4,,Công ty CP Xuất bản Khoa học và Giáo dục Thời Đại (TIMES BOOKS),Nhà Xuất Bản Thế Giới,,Bìa mềm,,,BÌNH BÁN BOOK,available,1000,True,True,True
262870401,Sách Du kí vòng quanh nước Ý: Ngàn kì quan,149000,165000,10,5.0,2,7,Geronimo Stilton,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,224,2023-06-08,Tiki Trading,available,1000,False,True,True
275627087,"Sách - Châu Âu vạn dặm (Một cuộc đời sống, vạn bước chân đi)",139000,139000,0,5.0,2,18,,Công Ty TNHH Xuất bản và Giáo dục Mochibooks,Nhà Xuất Bản Lao Động,,Bìa mềm,284,2024-06-19,Nhà sách Mochibooks,available,1000,True,True,True
275074203,Sách - Phân Tích Và Khai Thác Dữ Liệu Với Power Query Trong Excel Và Power BI ( STK),174250,205000,15,5.0,1,6,nhieu tac gia,Nhà Sách Hồng Ân,nxb thanh nien,,Bìa mềm,400,,Bảo Châu Books,available,1000,True,True,True
986090,Sách Nước Đức Trong Lòng Bàn Tay,99000,99000,0,0.0,0,0,Trần Mai,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,204,2017-10-01,info book,available,1000,True,True,True
263303928,Sự Trả Thù Của Địa Lý,288100,339000,15,4.0,1,4,Robert D.Kaplan,Alpha Books,Nhà Xuất Bản Hội Nhà Văn,,,,,Nhà sách Fahasa,available,1000,True,True,True
274392736,Danh Lam Thắng Cảnh Việt Nam và Nước Đức,120000,120000,0,0.0,0,0,Dương Đình Bá,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Thế Giới,,Bìa mềm tay gấp,236,,Chính Thông,available,1000,True,True,True
