id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278949727,Sách Nợ - DEBT,160000,245000,35,5.0,3,42,David Graeber,Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,Bìa mềm,544,2025-10-12,Tiki Trading,available,1000,False,True,True
278323351,Sách Cổ Học Tinh Hoa (Bìa Mềm),88000,120000,27,5.0,44,12,Ôn Như Nguyễn Văn Ngọc,Nhà sách Minh Thắng,Nhà Xuất Bản Văn Học,,Bìa mềm,396,2021-05-15,Tiki Trading,available,1000,False,True,True
206231233,Sách - Văn pháp chữ Hán,420000,420000,0,5.0,1,7,Phạm Tất Đắc,Cty Cửu Đức,Nhà Xuất Bản Hồng Đức,,Bìa cứng,900,,BOOKCITY.VN,available,1000,True,True,True
249767462,Tìm Hiểu Văn Hóa Ấn Độ,58000,84000,31,0.0,0,32,,VIETNAMBOOK,Nhà Xuất Bản Hà Nội,,Bìa gập,168,2023-04-04,VIETNAMBOOK,available,1000,True,True,True
254078213,Sách Linh Hồn Nhật Bản,62000,89000,30,4.8,5,86,Suzuki Setsuko,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,224,2023-05-12,Tiki Trading,available,1000,False,True,True
207566815,Phụ Nữ Tùng Thư - Lịch Sử Vú,246000,246000,0,0.0,0,1,Marilyn Yalom,NXB Phụ Nữ,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,495,,SÁCH ĐẠI NAM,available,1000,True,True,True
456071,Sách Phật Viện Đồng Dương - Một Phong Cách Nghệ Thuật Của Champa,150000,150000,0,5.0,1,6,PGS. Ngô Văn Doanh,NXB Văn Hóa - Văn Nghệ,Nhà Xuất Bản Văn Hóa - Văn Nghệ,,Bìa mềm,159,2015-10-29,Bamboo Books,available,1000,True,True,True
163578543,Các Lý Thuyết Văn Hóa (Tái bản),230000,230000,0,5.0,10,156,,Công Ty Cổ Phần Tri thức Văn Hóa Sách Việt Nam,Nhà Xuất Bản Hồng Đức,,Bìa mềm,448,2021-12-18,VIETNAMBOOK,available,1000,True,True,True
53501164,Sách Hoa Cúc Và Gươm (Tái Bản 2020),119000,128000,7,5.0,6,30,Ruth Benedict,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,416,2020-04-04,Nhà sách Fahasa,available,1000,True,True,True
17495304,Sách Nhật Bản - Đất Nước Và Con Người,172000,245000,30,4.8,32,343,Eiichi Aoki,VanLangBooks,,,Bìa mềm,584,2019-05-23,Tiki Trading,available,1000,False,True,True
10604230,Không Gian Văn Hóa Nguyên Thủy,173600,248000,30,4.7,18,189,,Vinabook JSC,,,Bìa mềm,504,2019-02-12,VIETNAMBOOK,available,1000,True,True,True
277381886,Sách Salam! Chào xứ Ba Tư,141050,170000,17,5.0,2,19,Hồ Anh Thái,NXB Trẻ,NXB Trẻ,,Bìa mềm,440,2025-02-20,Tiki Trading,available,1000,False,True,True
274932208,Sách - Atlas Sticker Các Lá Cờ - Hơn 200 Sticker - ndbooks,63200,79000,20,0.0,0,9,,CÔNG TY TNHH THƯƠNG MẠI SÁCH NHÂN DÂN,Nhà Xuất Bản Dân Trí,,,,,SÁCH NHÂN DÂN - ndbooks,available,1000,True,True,True
270206359,Chữ Hiếu Trong Nền Văn Hóa Trung Hoa - Vanlangbooks,52000,80000,35,5.0,3,18,Tiêu Quần Trung,VanLangBooks,Nhà Xuất Bản Từ Điển Bách Khoa,,,,,Văn Lang Official Store,available,1000,True,True,True
1661337,Sách Cẩm Nang Du Lịch Trung Quốc,280500,330000,15,5.0,14,53,Dorling Kindersley Limited,Công Ty Cổ Phần Văn Hóa Đông A,,,Bìa mềm,658,2018-03-28,Nhà sách Fahasa,available,1000,True,True,True
10565345,Đại Bách Khoa Kỳ Tích Văn Minh Nhân Loại,301000,430000,30,4.3,20,117,Trần Giang Sơn,VIETNAMBOOK,Nhà Xuất Bản Thanh Niên,,Bìa cứng,824,,VIETNAMBOOK,available,1000,True,True,True
249767737,Tìm Hiểu Văn Hóa Hàn Quốc,63000,84000,25,5.0,3,68,,VIETNAMBOOK,Nhà Xuất Bản Hà Nội,,Bìa gập,168,2023-04-04,VIETNAMBOOK,available,1000,True,True,True
