id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
212213018,Sách Thọ mai gia lễ (phong tục dân gian về tục cưới hỏi ma chay của người Việt Nam),40400,55000,27,4.7,17,229,Đức Thành,Nhà sách Minh Thắng,Nhà Xuất Bản Hồng Đức,,Bìa mềm,184,,Tiki Trading,available,1000,False,True,True
273572930,Sách The Land Of Charm - Picture Atlas Of Vietnam - Đất Nước Gấm Hoa (English Version),350000,350000,0,0.0,0,0,Võ Thị Mai Chi,Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa cứng,172,2023-07-12,Bamboo Books,available,1000,True,True,True
279291040,"Ma cà rồng - Ma quỷ, tưởng tượng và bản sắc, xã hội Thái - Nguyễn Mạnh Tiến",216000,300000,28,0.0,0,2,Nguyễn Mạnh Tiến,Tao Đàn,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm tay gấp,374,2026-04-07,Tiki Trading,available,1000,False,True,True
279135160,Sách - Phép Thờ Cúng Của Người An Nam,127500,170000,25,4.8,4,36,Gustave Dumoutier,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
279135162,Sách - Muôn Hạng Dân Bắc Kỳ,92250,123000,25,5.0,1,36,Louis Bonnafont,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278972915,Sách Vương Hồng Sển - Tự vị tiếng nói miền Nam (Bìa cứng),485000,630000,23,5.0,2,51,Vương Hồng Sển,NXB Trẻ,NXB Trẻ,,Bìa mềm,1044,2025-12-18,Tiki Trading,available,1000,False,True,True
278945687,Sách Tri thức văn hóa cổ truyền Việt Nam,238000,299000,20,5.0,3,30,"Pierre Huard, Maurice Durand",Công Ty TNHH Sách Và Truyền Thông Việt Nam,NXB Tổng Hợp Thành Phố Hồ Chí Minh,,Bìa mềm,475,2025-01-12,Tiki Trading,available,1000,False,True,True
48035327,Sách Văn Hóa Tín Ngưỡng Việt Nam,72000,100000,28,4.5,24,379,Nguyễn Hạnh,NXB Trẻ,NXB Trẻ,,Bìa mềm,232,2020-01-02,Tiki Trading,available,1000,False,True,True
277281569,Sách Truyền thống Việt Nam qua thử thách 1920 - 1945,361130,469000,23,5.0,5,66,David G. Marr,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,644,2025-03-01,Tiki Trading,available,1000,False,True,True
252044621,Sách Nếp Cũ - Tín Ngưỡng Việt Nam,264000,365000,28,4.8,9,115,Toan Ánh,NXB Trẻ,NXB Trẻ,,Bìa mềm,840,2023-04-04,Tiki Trading,available,1000,False,True,True
279135179,Sách Văn Khấn Cổ Truyền Việt Nam,136000,170000,20,0.0,0,16,"Quach Trọng Hà, Trung Chính",Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
277281568,"Sách Biểu tượng, phù hiệu và đồ thờ của người An Nam",103950,135000,23,5.0,12,202,Gustave Dumourtier,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,212,2025-03-01,Tiki Trading,available,1000,False,True,True
273475257,Đạo Mẫu Việt Nam (Tái bản),448000,560000,20,5.0,3,42,GS.TS. Ngô Đức Thịnh,VIETNAMBOOK,Nhà Xuất Bản Tri Thức,,Bìa cứng áo ôm,900,,VIETNAMBOOK,available,1000,True,True,True
276922052,Sách Tết 3 Miền - The Stories of Vietnamese New Year,208000,269000,23,5.0,2,49,Lê Rin,Thái Hà,Nhà Xuất Bản Công Thương,,,168,2024-12-31,Tiki Trading,available,1000,False,True,True
276951904,Trang Phục Cổ Truyền Các Dân Tộc Việt Nam (Tái bản 2025),160000,160000,0,5.0,7,44,GS.TS. Ngô Đức Thịnh,VIETNAMBOOK,Nhà Xuất Bản Tri Thức,,Bìa mềm tay gấp,320,2025-01-07,VIETNAMBOOK,available,1000,True,True,True
273202454,Sách Nếp cũ: Cầm - Kỳ - Thi - Họa,169000,225000,25,5.0,5,83,Toan Ánh,NXB Trẻ,NXB Trẻ,,Bìa mềm,448,2023-11-06,Tiki Trading,available,1000,False,True,True
