id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279181640,DẤU XƯA TRÊN BIỂN LỚN – Sara Caputo – Hồng Quyên dịch – NXB Trẻ,170000,170000,0,0.0,0,1,Sara Caputo,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,Nhà Xuất Bản Trẻ,available,1000.0,True,True,True
278960263,LÃNG DU Ở XỨ SỞ KANGAROO - ALEX LONE,259000,259000,0,0.0,0,2,Alex Lone,Công ty Cổ phần Truyền thông Văn hóa 25,Nhà Xuất Bản Thế Giới,,,400.0,,25 AGENCY,available,1000.0,True,True,True
278940887,KHÔNG NGỦ Ở SAINT PETERSBURG – Trương Anh Ngọc – NXB Phụ Nữ Việt Nam,108000,108000,0,0.0,0,17,Trương Anh Ngọc,NXB Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,240.0,,BÌNH BÁN BOOK,available,1000.0,True,True,True
278831265,Sách - Quá Trẻ Để Chết - Hành Trình Nước Mỹ,116100,129000,10,0.0,0,7,Đinh Hằng,Công ty TNHH Xuất bản Thiện Tri Thức,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278691866,Sách Ta Còn Bao Nhiêu Ngày Để Hạnh Phúc - 17 Hành Trình Tỉnh Thức Qua Những Miền Đất Thiêng,129360,168000,23,0.0,0,14,Nguyễn Hoàng Bảo,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,219.0,,Tiki Trading,available,1000.0,False,True,True
278131787,Tina Yuan - Dưới trời xanh Hy Lạp (Sách bỏ túi),115000,115000,0,0.0,0,3,Tina Yuan,Đông Tây,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,207.0,2025-06-19,Đông Tây,available,1000.0,True,True,True
278074054,Sách Chu Du Nhật Bản - Mười Năm Ở Vùng Đất Mặt Trời Mọc,135000,180000,25,4.5,2,22,Chris Broad,NXB Trẻ,NXB Trẻ,,Bìa mềm,408.0,,Tiki Trading,available,1000.0,False,True,True
276565250,Đi Ngang Hà Nội,120000,120000,0,0.0,0,0,Nguyễn Ngọc Tiến,NXB Trẻ,NXB Trẻ,,Bìa mềm,356.0,2024-11-13,Nhà sách NetaBooks,available,1000.0,True,True,True
276305333,Vẻ Đẹp Của Cảnh Sắc Tầm Thường - Hay Vì Sao Chúng Ta Cần Thay Đổi Cách Thưởng Thức Thiên Nhiên? (Đặng Hoàng Giang) - Omega Plus,188000,235000,20,0.0,0,4,Đặng Hoàng Giang,Alpha Books,Nhà Xuất Bản Hội Nhà Văn,,,400.0,2024-10-03,Alpha Books Official,available,1000.0,True,True,True
275853507,"Sách Vòng Quanh Châu Á – Nam Kỳ, Trung Kỳ, Bắc Kỳ",149400,239000,37,4.0,2,54,Jean Marie Albert Marcel Monnier,Alphabooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,239.0,2024-01-08,Tiki Trading,available,1000.0,False,True,True
